project,test,bism,bism/test,imop,imop/test
asciidoctor-asciidoclet,58.883,1436.03,24.38785388,455.414,7.734218705
contentful-contentful.java,578.831,3236.702,5.591791041,735.89,1.271338266
jdbc-observations-datasource-proxy,180.356,3818.121,21.16991395,290.44,1.6103706
Pablissimo-SonarTsPlugin,20.574,494.385,24.02960047,28.449,1.382764654
pagehelper-Mybatis-PageHelper,286.124,3617.652,12.643651,492.397,1.720921698
sailthru-sailthru-java-client,33.319,867.755,26.04384886,49.358,1.481376992
sblendorio-petscii-bbs,108.717,4840.029,44.51952317,218.283,2.007809266
sigopt-sigopt-java,75.575,2054.606,27.18631823,166.641,2.20497519
valfirst-jbehave-junit-runner,44.173,1209.088,27.37165237,81.18,1.837774206
visenze-visearch-sdk-java,119.756,2423.759,20.23914459,188.993,1.578150573
