project,sha,category,reason,violation,reasons,discard,
alfasoftware-soapstone,11100798e0c0f2a8a84e26c7c31aa104311f0480,category 2,found by storeHashes,Specification Collection_UnsafeIterator has been violated on line org.glassfish.grizzly.utils.DelayedExecutor$DelayedRunnable.run(DelayedExecutor.java:136),flaky - even mop cannot find,TRUE,
alfasoftware-soapstone,f78f52ff7455e09fa03bb8cd7c071268cb0e3998,category 1.1.1,found by mop and missed by ps3cl,Specification SortedSet_Comparable has been violated on line org.glassfish.jersey.filter.LoggingFilter.getSortedHeaders(LoggingFilter.java:204),unsafe - second sha and never see before,FALSE,event in library
alfasoftware-soapstone,f78f52ff7455e09fa03bb8cd7c071268cb0e3998,category 1.1.1,found by mop and missed by ps3cl,Specification TreeSet_Comparable has been violated on line org.glassfish.jersey.filter.LoggingFilter.getSortedHeaders(LoggingFilter.java:204),unsafe - second sha and never see before,FALSE,event in library
alfasoftware-soapstone,885fcd6168ca23e93a1c24300f2ddcbda720258c,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Iterator_HasNext has been violated on line org.yaml.snakeyaml.emitter.Emitter.needEvents(Emitter.java:244),unsafe - static analysis,FALSE,
alfasoftware-soapstone,885fcd6168ca23e93a1c24300f2ddcbda720258c,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Iterator_HasNext has been violated on line org.yaml.snakeyaml.emitter.Emitter.needEvents(Emitter.java:245),unsafe - static analysis,FALSE,
alfasoftware-soapstone,821d1cf9581ecc2e170ab6775b7d637c27669671,category 1.1.1,found by mop and missed by ps3cl,Specification Iterator_HasNext has been violated on line com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._renameProperties(POJOPropertiesCollector.java:793),unsafe - never see before,FALSE,event in library
apache-sling-org-apache-sling-feature,ecec4f853f36df390e9f6dd61fea80eea9a32be0,category 1.1.3,found by mop and missed by ps1c ps3cl,Specification StringTokenizer_HasMoreElements has been violated on line org.osgi.framework.Version.<init>(Version.java:128),flaky/unsafe - shows up in the following SHA?,TRUE,
apache-sling-org-apache-sling-feature,9625b06daab6f2111dc0dc82451c139456527581,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Collections_SynchronizedMap has been violated on line org.apache.felix.cm.json.impl.OrderedDictionary$EntryIterator.<init>(OrderedDictionary.java:286),unsafe - static analysis,FALSE,
apache-sling-org-apache-sling-feature,9625b06daab6f2111dc0dc82451c139456527581,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Iterator_HasNext has been violated on line org.apache.felix.cm.json.impl.OrderedDictionary$EntryIterator.next(OrderedDictionary.java:296),unsafe - static analysis,FALSE,
apache-sling-org-apache-sling-feature,8ce2d5dc45f5d180ce16bf202ed4a1aaaa11f7d9,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Map_UnsafeIterator has been violated on line org.apache.felix.cm.json.impl.OrderedDictionary$KeyEnumeration.hasMoreElements(OrderedDictionary.java:190),unsafe - static analysis,FALSE,
apache-sling-org-apache-sling-feature,ded8124c50d75b92715b488eb944d027a9cff839,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Map_UnsafeIterator has been violated on line org.apache.felix.cm.json.impl.OrderedDictionary$KeyEnumeration.hasMoreElements(OrderedDictionary.java:190),false positive - not new violation,TRUE,
apache-sling-org-apache-sling-feature,47e790fba6dfe78c6eafc44fa59dcc43de3cf8ef,category 1.2.1,found by mop and missed by methodCIA dynamicCIA methodCIAThreads dynamicCIAThreads,Specification Collections_SynchronizedMap has been violated on line org.apache.felix.cm.json.impl.OrderedDictionary$KeyIterator.<init>(OrderedDictionary.java:238),"flaky - file is instrumented by dynamicCIA (has event in this file, and only this class can generate events that triggered violations)",TRUE,
apache-sling-org-apache-sling-feature,23978f6f1a84d1d58105cc8c33dbace779999238,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Collections_SynchronizedMap has been violated on line org.apache.felix.cm.json.io.impl.OrderedDictionary$EntryIterator.<init>(OrderedDictionary.java:286),unsafe - static analysis,FALSE,
apache-sling-org-apache-sling-feature,23978f6f1a84d1d58105cc8c33dbace779999238,category 1.2.1,found by mop and missed by methodCIA dynamicCIA methodCIAThreads dynamicCIAThreads,Specification Collections_SynchronizedMap has been violated on line org.apache.felix.cm.json.io.impl.OrderedDictionary$KeyIterator.<init>(OrderedDictionary.java:238),false positive - not new violation,TRUE,
apache-sling-org-apache-sling-feature,23978f6f1a84d1d58105cc8c33dbace779999238,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Iterator_HasNext has been violated on line org.apache.felix.cm.json.io.impl.OrderedDictionary$EntryIterator.next(OrderedDictionary.java:296),unsafe - static analysis,FALSE,
apache-sling-org-apache-sling-feature,23978f6f1a84d1d58105cc8c33dbace779999238,category 1.2.1,found by mop and missed by classCIA classCIAThreads,Specification Closeable_MeaninglessClose has been violated on line org.eclipse.parsson.JsonGeneratorImpl.close(JsonGeneratorImpl.java:523),unsafe - JDeps says file is unused,FALSE,loaded using Class.forName
asciidoctor-asciidoclet,6522cb0651600764b3148ad7cf00a87547710049,category 1.2.1,found by mop and missed by mopCache methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification CharSequence_NotInMap has been violated on line org.jruby.RubySymbol$SymbolTable.getSymbol(RubySymbol.java:765),not a new violations,TRUE_EXCEPT_MOPCACHE,
asciidoctor-asciidoclet,6522cb0651600764b3148ad7cf00a87547710049,category 1.?,found by mop and missed by mopCache,Specification CharSequence_NotInMap has been violated on line org.jruby.util.collections.WeakValuedMap.put(WeakValuedMap.java:48),mopCache failed,FALSE,
asciidoctor-asciidoclet,fcb41fc3ff39e638e604a69359693b2995a44109,category 1.2.1,found by mop and missed by mopCache cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification CharSequence_NotInMap has been violated on line org.jruby.RubySymbol$SymbolTable.getSymbol(RubySymbol.java:782),false positive - reused old bytecode so outdated line number,TRUE_EXCEPT_MOPCACHE,
asciidoctor-asciidoclet,fcb41fc3ff39e638e604a69359693b2995a44109,category 1.?,found by mop and missed by mopCache,Specification CharSequence_NotInMap has been violated on line org.jruby.util.collections.WeakValuedMap.put(WeakValuedMap.java:49),mopCache failed,FALSE,
asciidoctor-asciidoclet,82282b9b7694f1a726024641bc2d85952ddab447,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification SortedSet_Comparable has been violated on line jnr.ffi.util.Annotations.sortedAnnotationCollection(Annotations.java:51),false positive - reused old bytecode so outdated line number,TRUE,
asciidoctor-asciidoclet,82282b9b7694f1a726024641bc2d85952ddab447,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification TreeSet_Comparable has been violated on line jnr.ffi.util.Annotations.sortedAnnotationCollection(Annotations.java:51),false positive - reused old bytecode so outdated line number,TRUE,
ChannelApe-shopify-sdk,a6696849b3dc766d5ccbf0d6c66f24ee6dfeaccd,category 1.1.3,found by mop and missed by ps1c ps3cl,Specification OutputStream_ManipulateAfterClose has been violated on line org.eclipse.jetty.server.HttpOutput.write(HttpOutput.java:441),flaky/unsafe - shows up in the following SHA?,TRUE,
ChannelApe-shopify-sdk,4aeb92f4e5417e0602a644d8970f28e0753e5c77,category 2,found by mopCache,Specification Collection_UnsafeIterator has been violated on line org.eclipse.jetty.io.ManagedSelector$SelectorProducer.processSelected(ManagedSelector.java:262),flaky - finding more than mop,TRUE,
ChannelApe-shopify-sdk,bf89589c6c83c726c96533f33a1d4add276880e3,category 3,not found,Specification Closeable_MultipleClose has been violated on line org.eclipse.jetty.io.ManagedSelector.closeNoExceptions(ManagedSelector.java:400),flaky - even mop cannot find,TRUE,
ChannelApe-shopify-sdk,b3fee4a8060fbdca5936d19cff472a706e8e2af9,category 3,not found,Specification Closeable_MultipleClose has been violated on line org.eclipse.jetty.io.ManagedSelector.closeNoExceptions(ManagedSelector.java:400),flaky - even mop cannot find,TRUE,
ChannelApe-shopify-sdk,e936eba3239e59c1161c22b213563ad9d4e2edfe,category 2,found by dynamicCIAThreads,Specification Collection_UnsafeIterator has been violated on line org.eclipse.jetty.io.ManagedSelector$SelectorProducer.processSelected(ManagedSelector.java:262),flaky - finding more than mop,TRUE,
ChannelApe-shopify-sdk,1e8a120fc4e1dc3e33f4f4ad181d5e4978f2f88e,category 1.1.3,found by mop and missed by ps1c ps3cl,Specification StringTokenizer_HasMoreElements has been violated on line org.glassfish.jersey.message.internal.LinkProvider.initBuilder(LinkProvider.java:107),false positive - not new violation,TRUE,
