sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
fd7232206d6eddb19da1eefd3163e28392652706,16475,2230,132,72,2,296,15976,2271,136,70,2,293,16750,2312,140,69,2,311,16926,2407,154,71,1,290,19,720,132,61,0,139
e866c2c822cc73ae0726a1ab035aca850739ee26,16126,2149,132,83,3,317,10280,1498,123,70,1,269,979,496,21,14,0,153,893,635,165,49,4,185,14,658,141,67,2,114
783caf7c448142fb9fd044e849ebba3c8af7564d,16810,2194,143,79,2,286,16482,2038,122,66,3,272,16872,2110,127,60,0,281,1073,672,146,60,2,219,18,674,134,60,1,144
fabc0a73fb216922607afd377e2bb686dd1d265f,16386,2072,120,76,1,295,9840,1468,126,46,1,286,726,489,22,10,0,143,970,615,150,88,2,178,11,653,141,59,2,146
a6696849b3dc766d5ccbf0d6c66f24ee6dfeaccd,16608,2028,138,86,2,322,9895,1346,121,51,1,265,858,508,19,14,0,146,1002,668,157,63,1,184,17,701,134,68,1,114
0a9b673a204e46dfd02ea8a45ad64660da8e37b4,16324,2086,138,78,1,298,9887,1376,130,59,2,268,844,498,23,14,0,136,1023,690,164,65,1,208,17,720,161,59,3,137
4aeb92f4e5417e0602a644d8970f28e0753e5c77,17122,2285,141,78,1,295,10038,1492,120,74,2,262,835,486,20,11,0,143,976,722,150,75,1,167,21,682,163,70,2,146
7a7327a72bb2f291fcda307fd4aa674fbb22eb73,15638,2013,132,89,0,299,9977,1376,135,94,0,274,851,476,21,18,0,164,979,704,159,70,1,195,15,708,149,153,0,133
7c0fd98f5b15c7fd9e2273238946d75e22dca8ff,17091,3681,413,198,2,335,9479,2628,442,172,5,327,838,1561,17,17,0,163,1091,1693,466,195,5,295,29,1818,314,122,2,163
fafa343c95af2c30b759c5b8b9a929933d37bf8a,17005,3244,528,198,2,560,10477,2765,474,200,0,365,975,1746,20,19,0,174,1195,1641,532,197,2,288,26,1616,364,135,1,161
