sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
7ad2a52ea1973a429384c655217e902605a00a99,23016,353,72,5122,2,511,23168,345,69,5107,0,454,23030,343,82,5128,1,509,24478,330,86,5131,1,490,0,0,0,0,0,0
c267a2945b5c8122a33261f1e8e7e1acf9e8758b,22548,332,86,5125,1,474,13625,298,79,4974,3,388,695,268,30,4575,0,248,1046,351,98,4651,3,315,13,341,84,4510,0,244
2c0e04efab457f7d769a9ee09e6c58316b193122,22293,333,73,5135,0,468,22632,349,72,5111,0,495,23648,354,70,5147,0,470,337,406,97,4508,1,288,11,354,79,4513,0,271
2011e82f0e3bbf75279f7699a2416c8df1cff9f9,24133,360,96,5121,1,481,0,0,0,0,0,0,0,0,0,0,0,0,361,345,98,4511,0,311,0,0,0,0,0,0
c7e086df9f2dd3a0fdc066659c3068ba9c53bed9,23769,350,89,5103,0,483,22862,359,78,5151,2,475,0,0,0,0,0,0,401,375,83,4515,1,308,0,0,0,0,0,0
777ecac9596adbecd09bc68fcca4c64382a43b4f,22890,363,89,5191,0,453,23662,335,78,5129,1,480,23108,369,89,5159,0,482,5054,353,97,4664,0,353,15,364,88,4529,0,266
98a5a40bc209cdc749bc825a28bcb825aac7d6a4,22769,341,87,5193,2,492,14492,342,71,4976,0,398,502,269,24,4583,0,262,441,399,104,4595,0,311,13,348,96,4519,2,299
d97366bb59b9a687e44a1ea5151f861847d0a877,23196,367,90,5141,0,454,14316,371,76,4960,1,442,639,290,24,4598,0,247,674,375,92,4453,1,301,16,366,89,4532,3,280
5501bf93f6b4cbd53e4d9d790159cd7bbc975ddf,23009,347,66,5178,0,491,15255,333,85,4948,0,449,874,297,33,4589,0,262,591,380,92,4518,1,313,9,379,95,4526,1,264
7b1c2404e714848e673c0729cf43488a98e5bedd,27083,370,89,5157,1,526,24935,370,82,5161,1,468,25597,343,82,5155,0,505,19432,342,69,5052,1,469,2,330,67,4519,0,242
6499553bd4a8ea0152cb90f2b7b21c00255b0ff0,27033,376,72,5178,0,532,0,0,0,0,0,0,0,0,0,0,0,0,371,400,79,4561,0,314,0,0,0,0,0,0
ced5cae7413752c17b99deaef406769730d4455d,25993,320,79,5207,1,510,0,0,0,0,0,0,0,0,0,0,0,0,377,415,92,4520,0,295,0,0,0,0,0,0
dab2fdddd3dff75d495ac15f24bfc4b66ac0f840,25515,357,84,5193,0,480,0,0,0,0,0,0,0,0,0,0,0,0,397,392,90,4529,3,307,0,0,0,0,0,0
f4865e13ab93151f2b340cd62489ea1186420ae8,24439,362,63,5179,0,511,0,0,0,0,0,0,0,0,0,0,0,0,315,440,95,4520,0,314,0,0,0,0,0,0
