sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
80c7dedc1cf7ecaf81a206cd90c8f08975ed7d3f,9181,733,43,34,1,137,9341,642,39,42,1,137,8689,578,42,38,3,139,9551,672,44,37,0,118,3,731,43,8,3,52
381cca4018848c2fa75ae93efd44872c3d60cd59,9582,587,45,28,0,145,5745,698,39,31,1,116,5938,629,41,35,0,110,403,746,46,26,0,84,8,713,47,8,3,60
eaaff1d0687fc86a745ca8f3ea0b069b3cf54233,10034,663,47,29,1,148,5950,574,47,33,1,116,6344,684,32,39,0,101,633,667,39,39,2,103,5,645,38,8,0,48
ca7bec7931d244bf0cd344efe480aa9d9c54db9e,8975,657,41,25,1,127,0,0,0,0,0,0,0,0,0,0,0,0,178,702,41,32,0,75,0,0,0,0,0,0
4d84d89207088ff08fc76d00bf90a56525aa7589,8946,646,31,34,0,141,5613,661,48,42,0,123,1455,618,29,37,1,119,420,661,43,33,0,108,6,680,44,7,1,57
f81758e92881cb18bc1e0a84e2ac64464dd5ba85,9041,650,40,35,1,148,6176,626,35,29,2,119,1490,650,29,30,0,123,365,706,31,36,1,94,9,692,46,8,2,44
dc437656ff8b825e87d7edf72125dc368b21c885,8643,715,39,19,1,138,2355,639,43,39,0,128,220,644,16,37,0,82,194,648,38,33,1,96,10,675,33,3,0,46
fb2063b3f83610f29572b631edaa7e0471d249ac,8828,634,50,29,0,146,6108,671,36,34,0,105,1454,682,28,34,0,111,746,657,55,25,1,124,7,630,48,9,1,50
262448b391379d053451719f3d14024e7ed9e588,9312,706,42,27,1,155,6119,706,39,37,3,121,345,641,0,30,0,67,359,685,41,28,1,93,8,649,37,8,0,54
53922f2a5d3ca0750c22e4ead2194175545598d4,9147,666,39,26,1,142,5690,634,53,31,0,111,5594,645,41,42,2,104,711,685,39,30,0,116,6,686,40,5,1,47
114403818fe7cf194ab4f9fed4ee3e96737d9740,9065,688,40,27,2,148,5568,523,42,32,1,106,5962,692,37,38,0,100,314,668,40,30,1,81,6,720,44,7,2,55
52757eabf45fbecb04a877feecf1adc3ea765a3e,9491,688,47,31,2,151,5942,674,39,34,1,96,5964,690,46,45,0,101,375,714,43,30,0,88,2,675,37,6,1,44
acff94148b2110b95f7aeae6a1bdcafb756061f0,9497,663,50,32,0,140,0,0,0,0,0,0,0,0,0,0,0,0,253,669,42,31,1,88,0,0,0,0,0,0
67e9e5c65c662c4cba609d30cb7fa2726f2ce7a9,9287,653,35,33,1,145,5889,533,38,33,1,125,5521,699,46,34,0,110,412,670,37,28,3,84,4,653,47,7,0,52
1e7b4b694926cef7339e265bc2b3fad3b2370367,9270,676,45,25,1,150,5994,641,45,39,0,123,5833,696,42,38,1,102,416,716,38,35,1,79,3,694,40,5,0,59
b3fdbc28743019bcf855c3dccd7dd07a2372a53f,9367,676,39,26,0,147,0,0,0,0,0,0,0,0,0,0,0,0,136,657,31,37,0,78,0,0,0,0,0,0
66825d61bf5257445f62a8a91ffda9fff8dcc4dd,9382,562,47,32,1,143,6070,685,38,38,1,125,5740,634,39,38,3,89,263,652,47,36,0,83,8,700,46,8,1,56
3ba701b9d83dc9a6a1d45695c55f4f6edaa103c7,9335,641,43,26,0,145,6033,648,40,25,0,119,1571,668,29,30,0,113,686,677,35,33,0,101,6,645,40,6,0,49
b90efa845e300f3ef113458d656689bf187164c1,9765,681,38,25,0,144,0,0,0,0,0,0,0,0,0,0,0,0,146,704,34,27,0,99,0,0,0,0,0,0
e917d7964141615d4a653e4b24393088d8f35aa4,9019,710,51,28,0,145,6375,631,44,26,0,131,5906,639,50,40,1,111,438,642,44,27,2,87,5,697,40,10,0,56
c5c681c91c74a508e67911e0af4980846d676ba2,9087,675,36,28,0,138,5958,706,35,33,0,111,1592,627,37,33,0,115,550,652,37,31,1,86,5,646,40,7,0,58
dfc0d826b6908e629af0e6b0ac770b56243787aa,9635,682,49,22,1,142,5968,651,42,36,2,105,5746,655,35,41,3,93,398,674,40,29,1,96,9,705,38,5,2,62
f871b0a1c0561bcaf71dd03bdfce8bc4825d11e8,9411,676,33,29,1,143,5633,634,39,33,1,105,5862,678,37,35,1,104,244,652,38,35,0,88,10,667,31,7,2,54
a7e1672f4315d86f3cb95f06ac35d88d778e8c3a,9009,622,50,34,1,132,0,0,0,0,0,0,0,0,0,0,0,0,222,703,51,31,1,74,0,0,0,0,0,0
5f98d636174cc0c6b76c9f434ee17e2b36577414,9281,773,44,23,0,145,0,0,0,0,0,0,0,0,0,0,0,0,149,694,45,32,1,83,0,0,0,0,0,0
a0aead168930fdf739cd290e51a00ac95399af73,9277,577,41,28,1,164,6135,693,46,41,2,116,1611,673,32,42,0,121,556,677,47,32,1,104,6,693,47,20,1,61
e9b1365c47e47f502e7e95281296dc89cbe3d7ae,9120,609,49,27,0,140,0,0,0,0,0,0,0,0,0,0,0,0,150,717,39,27,2,83,0,0,0,0,0,0
