sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
08aa0c35e50780188b8e5c6f68d858ff591a2855,25516,1247,183,58,1,297,25717,1286,217,55,0,289,25934,1195,184,48,1,333,25822,1301,190,45,2,315,22,1178,258,63,4,122
ed381a9db75775eda38984059fe003a75ca65924,26310,1267,203,54,1,333,10698,1187,173,40,2,272,207,1032,16,1,0,91,3433,1238,216,59,1,239,13,1155,94,12,3,98
2fd2e07c61df687809c5764fbaffd45f9669694f,26269,1286,200,46,2,339,25586,1274,190,55,1,331,25826,1280,167,48,3,300,3517,1238,200,63,1,261,14,1106,86,16,5,108
07b98e6fd7fa09ffce013db29491574a91256349,26024,1296,203,38,2,327,2770,1161,41,9,0,145,39,1003,0,0,0,103,3555,1248,189,62,1,253,10,1151,95,13,1,109
5091ef4a3d9f64f6bd9fbc6dc1a3e58e24cfe3e9,24483,1167,206,46,0,339,11009,1196,187,51,1,288,440,1043,37,1,0,106,3633,1265,184,48,1,262,12,1156,82,11,1,104
f6896db1a208b2f7bdc708a183dc8dd66e412c1c,25977,1250,215,47,0,349,10376,1074,153,34,1,249,43,998,0,2,0,96,3622,1258,220,60,2,271,16,1138,99,16,4,104
23bd02f349339bb4df52e53d2fde0b6736312792,25745,1295,212,61,3,315,2696,1121,44,5,0,142,35,979,0,1,0,107,3518,1264,194,62,3,247,16,1120,90,19,2,102
e4e537ad9e6fc86fddc21af1aec30a9b054c617b,24639,1130,190,54,3,290,0,0,0,0,0,0,0,0,0,0,0,0,3620,1235,188,63,3,205,15,1124,99,14,0,98
980357c7a67e9131ff95195caa8876f447931b8a,25857,1242,207,39,2,295,11114,1187,174,41,2,257,449,1039,35,5,0,106,3712,1237,196,59,2,253,13,1152,97,11,3,98
6885ee6884752cef80c8e34ec6800005cf5f7c58,26043,1252,204,48,2,302,10416,1217,154,35,0,258,41,982,0,0,0,83,3626,1233,216,46,1,244,14,1127,75,15,2,110
337a9fe571d0fc8205cf6c7746b939e58c3f92cd,24364,1168,212,48,0,343,25167,1214,196,51,0,343,24903,1190,200,48,1,331,4396,1244,215,76,2,298,14,1099,95,16,3,103
3f9906667d726deea59486f6a737f2f40c21223b,26137,1229,198,62,0,381,1508,1095,22,2,0,132,44,981,0,0,0,95,4335,1250,223,61,1,293,13,1156,100,16,2,107
f944d366595ef3969e2bc3e2151d4e46c146e5e0,25905,1245,187,54,2,356,11153,1210,185,53,1,258,384,1044,41,2,0,114,4259,1249,194,51,0,307,12,1137,93,21,2,102
000d7ffe12599d788bb012087f4acb8cb0a8f291,27507,1246,235,42,1,328,10577,1145,183,45,0,291,409,1065,27,0,0,117,4264,1238,236,64,1,336,18,1130,90,26,3,105
ce57f3d54e955e240e7cb7d09e77eafa1f3dda36,32322,1380,202,55,1,402,0,0,0,0,0,0,0,0,0,0,0,0,24070,1294,211,48,1,384,12,1238,106,13,0,114
e75622f1377bcdd861f04eb1bb62c98c84b0e421,30916,1300,241,46,1,568,31081,1356,230,55,2,567,31869,1348,246,59,1,525,3054,1333,259,58,3,404,13,1198,104,15,2,107
0ef6a3ebed9037c7ac49f3ab385d5d5685b8b008,31940,1316,227,50,1,564,13112,1326,175,39,0,445,43,1097,0,0,0,245,3322,1412,259,55,1,386,7,1221,95,12,0,101
a32effba2c57e70d9db235721fd129f1291ade96,32403,1384,234,38,0,502,13053,1209,169,38,1,426,644,1177,48,3,0,266,2680,1388,268,45,5,425,8,1204,95,17,4,126
54422decba8c4c335bb4d826ea7225d3663e77bc,32566,1368,226,53,3,579,13813,1305,194,50,0,478,514,1185,37,1,0,304,2704,1394,249,54,2,432,13,1243,82,9,3,128
ad5cd7fd16d86f3ed4cac33d4987d15c3ac2d6e8,32257,1384,246,49,2,568,14516,1380,204,47,2,483,546,1209,49,4,0,307,2613,1384,256,48,1,446,12,1227,99,19,2,103
b060aeaedd744dd24042e722ae403eec2664abf2,32211,1392,224,51,3,490,14274,1332,192,60,3,458,392,1134,32,0,0,321,3674,1386,242,45,0,420,12,1241,93,8,3,125
b556fd15e7d2858f676bbbb383ed257486117503,32224,1370,232,41,1,512,13890,1307,201,54,2,450,483,1209,33,0,0,294,3550,1431,252,67,2,404,7,1195,82,14,0,118
a5cb49b8253de297fc23ca48b43ef82cc853de97,31499,1424,223,53,3,594,14130,1291,172,50,2,453,566,1212,50,2,0,310,2737,1394,238,70,2,444,14,1189,105,16,2,112
f6326ba2d283079008de54edfe2d4ae617cb4067,31448,1361,210,43,3,467,0,0,0,0,0,0,0,0,0,0,0,0,3835,1383,266,56,3,406,12,1252,84,11,1,108
6697ce8538ddb9151113cc76799e14dcdd54d348,31803,1394,233,53,2,520,0,0,0,0,0,0,0,0,0,0,0,0,2723,1409,256,48,1,440,0,0,0,0,0,0
f9d68373bd0c5c6c9ae26675c64855da73d5176d,31286,1420,230,54,3,580,0,0,0,0,0,0,0,0,0,0,0,0,3614,1358,264,47,2,389,0,0,0,0,0,0
931e616ab0fcd0798bb566f3500bba0bc7c184f5,31705,1345,235,38,0,572,0,0,0,0,0,0,0,0,0,0,0,0,2678,1398,258,51,2,386,0,0,0,0,0,0
e98c60adf5b8488ee61bc66fc58b1e4b81d43d11,32681,1393,234,51,1,553,0,0,0,0,0,0,0,0,0,0,0,0,3691,1411,263,52,4,409,0,0,0,0,0,0
81421f8b2374e546ee25760a3105ab47e7e56121,32129,1400,247,48,0,538,0,0,0,0,0,0,0,0,0,0,0,0,2651,1413,258,51,2,414,0,0,0,0,0,0
f2e9a015cbf48301be59cda1ec7e54bc774832d9,31898,1401,221,41,0,542,0,0,0,0,0,0,0,0,0,0,0,0,2684,1390,251,72,2,414,0,0,0,0,0,0
