sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
a2b382da0a7424c9861da2750b40f332543314eb,16122,399,270,63,0,283,15623,384,215,52,1,264,16340,426,252,66,1,282,16766,406,259,52,0,291,21,412,279,66,0,205
5985fb7361c4b21cf789a9f5d89276afaa49674a,16525,425,268,45,0,286,0,0,0,0,0,0,0,0,0,0,0,0,1032,421,250,66,0,141,0,0,0,0,0,0
10777466f2c5ea11e738f55430a70c911ce6c4cb,14801,371,266,62,0,266,8010,449,244,64,0,188,736,315,29,3,0,109,1165,433,249,52,0,136,5,328,31,12,1,85
4926c32d147a7ace1b1729cffb3f106783b2e921,15046,374,199,52,0,272,7979,378,236,39,0,189,739,302,27,2,0,114,1233,425,281,56,0,146,7,336,47,8,1,98
236ec5483c17b297a683493c74e55dcacbb6984f,14982,386,227,60,0,267,8065,413,252,45,0,212,330,288,18,3,0,71,1260,425,263,57,0,156,3,332,52,8,1,83
9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,15423,405,209,55,1,257,8312,377,248,48,0,183,752,300,33,4,0,100,1201,421,259,67,0,131,9,351,40,4,1,75
42e821c9948d2759c066fa35ab59ebf7a42ce70d,15113,369,212,61,1,261,8140,433,256,55,0,175,765,284,31,5,0,98,1217,486,262,54,0,143,5,333,50,11,0,78
dbece6b01144f7ec8ba4365895666ad0dbf7f53d,15163,408,253,43,0,258,7976,395,280,43,1,222,779,312,29,5,0,104,1158,446,251,56,0,136,7,323,50,7,0,74
922ccf0ce7597ce419fe208e67078b4ed7a0d047,16162,427,263,41,0,311,8171,381,252,63,0,200,728,329,26,4,0,148,1580,412,259,59,0,176,6,329,49,7,0,90
34ce5b5f35adfbcbb5973de648987530cc9e7057,16056,384,260,47,0,303,8268,413,227,56,0,194,753,309,27,3,0,105,1244,440,253,53,0,154,5,353,39,4,0,86
