sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
3fe584867a08a3bddc123066d23d961e9e5d237f,2746,65,32,1,0,140,2671,50,30,0,0,143,2758,58,32,1,0,124,2848,60,32,0,0,121,6,58,35,0,0,86
d3849b8167a2426a3036113c24a6b6358e1d183a,2712,49,23,0,0,122,1241,52,22,0,0,114,454,43,15,2,0,102,538,53,23,1,0,107,5,53,22,2,0,84
5931b168859aa25949b953f3e08b377612c78d67,2682,68,30,0,0,136,1442,53,31,2,0,133,594,50,20,2,0,108,994,50,24,0,0,130,11,52,29,0,0,86
29037c82dab332ce918f842f71ceb8f4ce424bd2,2374,48,28,2,0,133,2348,50,28,1,0,137,2373,50,39,2,0,126,724,49,26,2,0,111,7,44,26,2,1,88
78cf2eb3cf151fef35a36285bd2a006894c1d417,2485,47,32,0,0,135,2451,52,32,1,0,137,2511,45,24,0,0,133,627,51,18,3,0,109,6,51,30,0,0,102
59a7d4cee47e0f6450f9035100ae1bca9408ee27,2455,53,22,1,0,126,959,49,29,0,0,119,204,53,19,1,0,89,518,52,27,2,1,102,7,41,22,2,0,91
b512db9c66ab1269d90471f106b37c11e8213480,2457,63,34,1,0,115,0,0,0,0,0,0,0,0,0,0,0,0,866,41,18,3,0,112,6,49,28,1,0,88
771db7342b1ae2a9a8f44f9ef8488cb37e927599,2380,49,30,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,322,44,30,2,0,99,9,58,22,1,0,99
51a74f47d08beda645d114cf476aaf796cba7b6c,2445,64,30,1,0,130,0,0,0,0,0,0,0,0,0,0,0,0,276,39,39,4,0,103,0,0,0,0,0,0
9d1c81a15b732ed440253f8b69a67b9529149db7,2434,55,26,1,0,130,1099,53,25,1,0,120,241,49,20,1,0,89,652,35,21,2,0,98,5,54,43,0,0,89
7c3061bb186d73b51dc91bd335018c46e761034b,2429,52,23,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,492,49,27,1,0,105,5,45,23,1,0,83
be29c4d9ef7acb83a8701c1e02d84e590d40de68,2438,61,39,0,0,123,1152,52,22,0,0,110,193,37,15,0,0,101,607,46,22,2,0,115,4,55,29,1,0,104
b33fea213e256761d57fc09a4ef4943b6d3c660c,2451,44,27,1,0,139,0,0,0,0,0,0,0,0,0,0,0,0,283,55,22,4,0,89,0,0,0,0,0,0
019fafa4ae7162096fcb22ac9739df6d88268fd6,2468,50,36,1,0,136,0,0,0,0,0,0,0,0,0,0,0,0,361,43,25,1,0,101,8,44,36,2,0,99
2427889aa9bc96496f626bb21c4020e73c9d71d4,2566,61,32,1,0,127,1093,48,22,1,0,127,425,42,26,1,0,105,202,56,24,2,1,101,9,56,20,1,0,100
