sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,online instr,online project,online monitoring,online lock,online violation,online other
6a8ef6dfec9421e74f38267a772370b0f1cd2c9d,31645,2062,82,16,1,364,31616,2091,81,16,1,362,31905,2085,88,10,0,348,32863,2110,86,16,0,362,20,2281,91,15,1,145
4da97794eaa3a08d33e253d41ea78f50eb749170,31655,2032,74,16,2,340,21511,2058,72,19,0,279,6658,1927,36,4,0,211,1178,2096,78,12,1,147,18,2163,79,12,0,112
e6ec6fc9e6b05b27e2fbcab7f970a7509d755174,33328,2106,74,14,2,355,33220,2050,93,18,0,337,33187,2141,86,9,1,368,2293,2094,81,13,0,186,20,2183,75,22,1,122
f3dece2ee657ed38fbd1f952feaf3a3653b09d8a,33711,2111,87,19,0,387,23292,2057,75,17,0,303,6974,1950,40,10,0,183,399,2148,87,20,1,137,21,2121,71,13,1,126
96d6580a72a575d20cfb4c627b3eb7cef770b3f3,31762,2104,84,17,2,370,30931,2070,60,18,1,347,31794,2066,84,21,0,355,1946,2065,80,28,1,162,20,2089,84,6,1,133
fdd98e5113b599ff05734a6ceb3cfe85d44ab491,33605,2081,81,15,0,350,33454,2072,96,12,0,374,34335,2119,80,16,1,368,975,2131,81,18,1,154,11,2118,80,21,3,146
233ab917c942420a67b9ddd599098e310a08d3f7,32580,2079,86,15,1,386,24351,2073,81,17,0,309,7000,1937,42,5,0,195,760,2109,74,21,1,145,19,2128,87,15,0,126
9a95c9c30e6c8c3d59023197b96075a7795b27b5,33809,2133,87,18,1,386,24904,2081,67,17,0,327,7513,2006,41,4,0,196,1012,2127,73,20,0,157,18,2079,87,16,0,125
3970a46bdd9210893030963486a060015f82f68d,32949,2099,72,13,0,353,24329,2048,66,14,0,304,7525,1972,35,2,0,194,380,2174,95,23,0,138,16,2030,89,20,0,124
89b40011590c8aee8695e18ba3be0dc23a261108,33799,2128,80,19,0,356,24899,2104,72,12,1,342,7637,1991,43,3,0,206,1014,2154,87,16,1,159,20,2147,71,14,0,128
2b0ffca8dfd8575197d222f920b6ef8fba325f6b,33379,2138,75,18,2,353,24448,2005,72,17,1,317,7298,1943,27,3,1,185,655,2100,78,20,1,142,15,2160,86,14,1,117
43e9c9058a33da560ee3772072ba8fae704a6488,33002,2039,68,13,0,361,24435,2055,72,23,2,325,7658,1989,36,6,0,181,1234,2120,66,21,1,162,11,2094,84,27,0,118
