sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
aa58062a8ec228be2ab980001919f2e883f8a634,3344,16020,68779,4158,5,708,2520,16210,64553,1534,5,711,2699,15625,64619,1513,5,695,2790,17108,69565,4186,5,696,15792,16117,57119,1911,12,698
6a66455ad1e96559ece781ab446fbb93bdd40fd2,2818,16039,63620,1678,7,620,1397,17105,726,560,11,395,828,16483,997,320,17,423,495,16975,52010,1604,5,676,16480,15875,50573,9221,2,696
91d2157982edfc06ac7885c5baecb4e6f4c10896,2564,16484,64608,1511,4,680,1393,16619,29,12,0,233,177,16126,18,2,0,188,142,16852,64429,1979,6,572,16450,16368,56265,1894,12,693
c0e2386ba02a12e9e7a7a735e6f3e777c22c4dc8,11633,16545,63056,3496,7,692,1256,16267,269,695,0,201,721,16165,286,658,0,265,240,17170,65381,1809,7,567,16070,16215,55873,1737,5,724
63255dde90e90a3b9179fec2f1685957ede42e94,10940,16001,61926,3150,8,675,1202,15491,307,654,0,227,697,16616,256,713,0,304,385,16266,65507,1774,7,565,14209,16055,53982,7736,8,648
0f21839c0610d3cc8f589a408047ab073efefbcd,2872,16508,63752,1584,7,633,1476,16061,146,485,0,197,651,16522,153,532,0,232,327,16976,65226,1816,4,699,16220,16205,56027,1928,8,687
98b91386eff840b60d04306ea1f3620aef3d90d4,3552,15622,70074,4165,5,652,1492,16663,146,545,0,220,622,15385,137,490,0,259,1747,16817,54575,19081,4,679,614,16427,61481,12141,8,592
43aecb9fce9ed814dd3f4891bd75e3b6aad43cd6,3040,15693,74466,1722,7,656,1393,16060,274,714,0,233,731,15676,281,704,0,246,353,16888,64379,2010,8,671,650,15792,60941,13201,7,594
0c33f1e53055ec449055b19b07352280930016bb,3462,16136,70486,4422,8,686,1325,15779,171,527,0,199,595,15697,132,475,0,268,629,16003,64374,1872,13,690,19,15712,65613,1631,8,593
0eca1753f988fab904ad5315010467a9f0378048,14702,16310,52931,10049,4,691,1172,15992,110,190,0,214,610,16352,112,164,0,261,1898,16124,46551,26451,6,715,22,16783,66278,1879,7,571
7433eaede7d509016760ac9bc34231b03bb8b60c,14521,16330,53377,10589,10,625,1331,16212,263,688,0,276,743,16511,292,688,1,277,403,16892,44063,7142,2,651,27,16861,64252,1864,3,650
8da108e69a349ac5b55a64f418b7dfe019f8c3a6,2862,16483,72207,3705,13,3782,1362,16885,6486,1978,0,2796,803,16571,5943,2075,0,3313,875,16969,38651,11982,11,3831,30,16972,68979,4420,14,3370
7d085a90e12965d95e8d42b71e8c956e9c7c4151,2860,16621,71074,3506,7,3601,0,0,0,0,0,0,0,0,0,0,0,0,577,17266,70109,4076,7,3358,25,16623,69948,3701,1,3257
22654f8bcf9a0a959620e0c41d5e0e805072ee47,3701,17085,74124,6327,7,3720,33,16809,0,2,0,246,35,16104,0,2,0,251,250,18786,71728,3059,7,3365,18,16161,32902,4721,7,3340
35a0d3b87487edd8f409e19db9b71c5247d8a96b,2735,16174,64594,1843,4,653,2611,16818,63943,1656,2,679,2767,16787,64656,1790,9,668,164,17290,64766,2106,8,587,16179,15883,55891,2015,3,688
b5fc30ef76854193575c1e3407738f8f2a5cba28,2833,16413,70287,4268,7,3681,2855,16663,55365,18153,8,3160,2773,16475,71920,2575,7,3692,157,18020,71279,2628,4,3231,39,16536,29254,6141,6,3257
3ac200e147bfe5a004846bcd75ccc56f5066916c,2806,18473,70598,5017,16,3874,631,19837,22,2,0,241,247,19263,15,2,0,212,232,20407,55144,17187,7,3499,24,18704,71636,3985,4,3543
f0518e17df4200368311213e905259fb4286a486,2857,19442,69664,5799,7,3885,635,21975,20,6,0,239,429,20613,25,2,0,248,3025,22578,55821,19479,5,3399,628,20890,66495,14859,5,3406
8f31aae0ae6d3bc8b270d95ea16d72828e800849,2830,19598,70150,5057,9,3821,1727,20141,641,899,18,387,798,19210,655,703,0,385,332,21007,57639,25144,6,3433,31,21441,69699,4936,17,3544
573fa7a14938a7cca2ec032b9f7ea88e9f9be616,2836,15974,70844,3735,5,3225,710,16571,19,2,0,224,437,15875,22,2,0,202,689,17682,67074,4581,5,3354,32,17193,70240,3632,5,3271
