sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
11100798e0c0f2a8a84e26c7c31aa104311f0480,19573,3584,411,132,3,616,19121,3559,357,136,1,591,18820,3546,389,150,3,578,19944,3724,358,133,1,658,28,787,428,113,2,352
f78f52ff7455e09fa03bb8cd7c071268cb0e3998,18211,3723,507,220,1,670,11270,2313,510,154,1,360,303,717,19,8,0,186,584,1157,584,170,2,327,41,853,557,154,3,406
beafa8ed339f30a3347f1b20ef112380efdc7de1,18186,3751,519,176,5,667,18030,3752,531,222,4,672,18391,3717,495,197,3,676,702,1010,596,159,2,312,40,900,543,191,2,383
885fcd6168ca23e93a1c24300f2ddcbda720258c,19422,5394,713,301,5,791,19662,5268,655,303,5,860,19339,5486,689,274,2,774,2755,2971,720,232,2,665,42,1194,774,245,9,546
19192deeb489ab9213136006c3a433a060a7b29e,30300,5765,709,323,2,881,30630,5648,789,269,3,862,31852,5773,689,287,2,889,12317,1533,761,272,1,405,46,1355,779,220,2,365
bc98265f6d4650822fba6865e0ae591e8477897d,31100,6126,788,336,4,916,30630,6124,787,364,9,936,30819,6118,794,377,2,939,1268,1696,885,315,4,641,72,1463,899,263,4,386
060daed5a72a0e3d95c65319fd99e3285a5b213a,30129,6105,848,331,6,877,30470,6140,838,335,3,945,30153,6132,847,283,2,926,588,1547,841,283,0,680,55,1419,920,241,3,446
8a09e6e090f5eaf28d3f59e005eda059025b765e,29985,5941,773,370,2,891,29936,5870,824,296,1,866,29802,5928,858,315,3,881,926,1556,944,304,2,683,54,1416,876,252,1,410
5ff3901493ae27eb4ef54ab0116dfc60a9fff421,30372,5832,819,307,0,845,15661,3723,814,280,0,844,389,1041,21,11,0,253,494,1527,899,337,0,411,59,1389,864,251,5,421
60bd7d5cc1b515db30258a23c4949fc9b3964648,30678,6601,829,285,4,968,29849,6425,738,345,5,938,31230,6618,833,323,1,977,6100,3906,919,279,0,715,69,1442,891,258,6,390
145a4bf7c99cf768a671e5c874bd6db7b26a3aff,30762,6400,817,362,6,878,16373,4112,782,331,1,886,337,1123,22,15,0,218,512,1563,927,296,4,451,48,1463,848,284,4,436
818010687799c0fd5a63fa7a21ad7db4ad7986a7,30799,6688,864,331,2,961,16496,4326,825,289,4,850,417,1122,21,8,0,248,655,1884,922,299,3,587,52,1480,918,277,5,400
607165f39d022e9ce36324e3abdb21c40bd64a14,32575,4472,802,396,5,969,17534,2981,789,369,2,830,292,1092,23,6,0,238,562,1593,950,319,2,412,53,1470,961,286,1,393
8338e163b8cd4ff83f97fdd69527768338ffa5cc,29325,4465,829,378,2,900,32352,4418,783,395,4,977,31010,4393,893,339,5,952,520,1509,1018,313,3,393,74,1441,942,313,1,376
276fe86a305d726232767bfc003d8f943b4491de,31354,4452,832,380,3,948,17815,2955,746,374,1,793,305,1037,30,11,0,233,574,1597,992,321,1,683,75,1465,910,287,1,391
8841e30d9c1267941f5c7a54399eb20a5b63e65d,32061,4459,864,357,4,937,17622,3017,870,294,0,845,515,1087,20,13,0,235,805,1588,974,336,4,690,80,1469,941,305,2,405
71328521eae87bd7c3deef00b15a1de1fa2c0628,31003,4418,856,405,3,957,18519,2947,842,370,0,843,633,1107,28,9,0,253,816,1617,961,351,2,690,78,1487,953,268,3,357
821d1cf9581ecc2e170ab6775b7d637c27669671,30984,4441,830,407,3,919,17229,2960,761,366,1,786,307,1079,25,14,0,239,570,1575,926,362,0,657,61,1422,949,302,2,379
25916d170800b4ba3946b7469317ddd7442e303a,32098,4497,835,404,3,953,18731,3060,863,278,2,819,490,1082,23,12,0,265,543,1524,1013,299,5,421,57,1501,874,321,3,398
fb2347bd3b7bf1649b4e645b81003b611386f904,31872,4485,823,407,6,989,32249,4463,836,404,8,972,32249,4519,844,426,8,920,755,1621,941,313,7,657,60,1513,908,309,2,343
3df0f9a226733aa3691d04e0efe971b709371aef,33529,4510,801,407,2,952,32154,4473,792,424,1,892,32226,4435,820,429,2,874,389,1604,962,331,7,570,66,1521,906,326,2,405
b93c938a21493ec467b3263714002080d16c54b5,31458,4525,924,352,3,985,17493,3023,837,344,2,852,467,1078,24,14,0,260,616,1551,974,326,2,410,66,1456,912,313,5,371
