sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,online instr,online project,online monitoring,online lock,online violation,online other
c9bec5ce66db09420d2dd1191a6dcaca844b5087,3295,14777,189,285,0,185,3305,14868,189,359,0,244,3252,14909,187,302,0,241,3462,14913,250,310,0,225,14,14821,194,295,0,118
dba639465e33ca3511c1619152341050c9dd8f0c,3276,14449,284,289,0,183,0,0,0,0,0,0,0,0,0,0,0,0,203,14943,220,301,0,248,0,0,0,0,0,0
1416718949a9c79b859677eb0c8da7eb399e43e2,3287,14684,156,352,0,209,0,0,0,0,0,0,0,0,0,0,0,0,157,14905,202,296,0,128,0,0,0,0,0,0
b19355c40f70c4caeeb5b7c0e804b5f7550b6407,3358,14605,178,370,0,186,2021,9418,238,269,0,183,375,9373,32,244,0,96,390,14622,185,369,0,166,12,14774,203,298,0,132
43a6189c381c64f6c4308b4b19f5f05ab42c257d,3286,14829,156,377,0,191,2264,14768,171,369,0,183,689,9503,45,251,0,106,305,14731,201,372,0,177,17,14722,192,303,0,118
4475a0022d22d7a0433983546f89e7f58c713382,3344,14497,183,361,0,237,2319,14800,231,309,0,188,597,9518,32,252,0,97,361,14945,195,312,0,154,10,14733,209,308,0,117
43e1ab6e21b76f08526fb926a71d6dd70aaec5ae,3189,14608,163,303,0,246,0,0,0,0,0,0,0,0,0,0,0,0,185,14870,205,303,1,224,0,0,0,0,0,0
8c0391c2f38e1884b7c1e5ab6f714450302a0683,3351,14832,252,296,0,197,0,0,0,0,0,0,0,0,0,0,0,0,318,14816,200,370,0,161,10,14886,193,369,0,100
12f80ff3ac3d7d5b2dccf4f3ec4f9c93ec21c37d,3397,14880,176,364,1,203,0,0,0,0,0,0,0,0,0,0,0,0,155,14711,183,363,0,145,0,0,0,0,0,0
3ba4695aa9c2e39a26ebc83bdf5452a5351f10bf,3334,14796,164,370,0,186,0,0,0,0,0,0,0,0,0,0,0,0,167,14693,259,309,0,130,0,0,0,0,0,0
0f656aa336092cfb1662560da39c07bf575b2ebe,3400,14785,164,298,0,227,1349,9606,112,257,0,241,154,9454,14,247,0,92,258,14701,177,377,0,227,10,14799,187,301,0,113
6bcbadcc35c5f78cc04d6916beab6c5e10a1a016,3337,14589,197,293,0,210,2296,14637,170,375,1,171,973,9514,39,256,0,103,314,14615,192,364,0,182,7,14734,183,362,0,126
0b5b1be810baf881d835ef2a96d55f54f537a6a5,3266,15168,245,291,0,209,2241,14687,150,288,0,171,712,9423,49,254,0,101,167,14817,178,387,0,175,7,14721,195,298,0,124
f740290ca049e11fcb61439469d354a97272dc41,3333,14548,252,290,0,214,1895,9353,156,331,0,201,177,9418,26,246,0,111,223,14209,197,278,0,202,15,14975,193,291,0,121
8a1c1118558c8a4ec4d0b972d0c58906eaa3dd87,3286,14219,169,360,0,190,2242,14699,168,388,0,174,696,9442,52,249,0,111,434,14797,180,376,0,162,9,14406,287,294,0,130
e6543480ad73e45c7f02710b0ee15352664e118a,3442,14820,189,302,0,239,2335,14722,226,288,0,196,839,9514,43,250,0,103,368,14920,194,370,0,171,16,14644,193,360,0,112
861879edc67cdf244d1f7d1ea927f7c1a9399263,3310,14788,180,291,0,219,2267,14533,245,294,0,164,652,9412,23,250,0,109,236,14720,209,384,0,168,12,14763,199,294,0,112
6641cc08d9568fcd6a291cab8cb0a7c4860e43b6,3445,14608,262,305,1,247,2251,14661,259,302,0,194,599,9396,37,245,0,104,354,14654,204,301,1,146,14,14723,195,301,0,135
8408716a7f2909eab4618ac2ab6e9a1565a993d0,3546,14946,175,288,0,220,2310,14701,149,367,0,188,625,9471,29,248,0,101,455,14864,191,292,0,161,12,14714,188,303,0,123
6a6504247671ee1c36f35b24f5a87d75d92b79b1,3438,14752,268,300,0,244,2380,14682,229,303,0,184,872,9518,49,255,0,101,425,14907,203,298,0,176,8,14704,191,302,0,147
