sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,jarThreads instr,jarThreads project,jarThreads monitoring,jarThreads lock,jarThreads violation,jarThreads other
2e8379b55611ce891b968c2daa3ada4f8952188b,6797,3160,1846,5371,7,597,6819,3098,1877,5444,6,543,6511,3078,1879,5427,8,535,6553,2917,1912,5842,7,535,700,2965,2084,5336,8,491
cfeff18434fbe5075bbeed5b8dff2e974cf0980d,6766,3128,1941,5809,5,618,4080,3013,1795,5843,2,495,3006,2913,459,276,4,354,1028,3889,2202,6163,4,530,732,3164,2187,5854,5,467
2127270f3d4e930d4db1cef7ef1d39baca6ce63f,6687,2911,1785,5376,4,554,4157,3206,1820,5945,5,548,2928,2797,509,296,4,369,1043,3751,2253,6302,6,552,708,3113,2079,5614,6,458
a9cca21aac4e1712da67a54de7b7a9fcd50b2d85,6212,3094,1985,5557,4,563,0,0,0,0,0,0,0,0,0,0,0,0,1206,3044,1881,5352,6,536,696,3262,2262,5997,4,496
8a583a2d0b57a3e48c18c88add79e2061c39fe19,6264,3102,1879,5433,5,523,4158,3279,1757,5909,3,519,3107,3096,434,273,2,363,1012,3158,2175,5905,3,552,642,3271,1981,5620,6,486
f46d642f1c4893bcbb90dbd7aec867ab3cf0d62e,6632,2917,2030,5389,3,589,0,0,0,0,0,0,0,0,0,0,0,0,1392,3171,1885,5270,6,517,0,0,0,0,0,0
a32cb5b3d2179f55b1b23d372217c84ed20e7afc,6920,3049,1963,5255,4,552,3757,3209,1799,5659,3,471,448,2874,30,15,0,195,1360,3698,2203,6139,5,559,725,3336,2298,5650,6,499
6962d8b98a018e32a0ae0cb0bbd3ba9fab361b8c,6931,3081,2145,5066,8,543,3611,3309,2106,5468,3,499,411,2786,21,18,0,166,1282,3308,2070,5145,5,528,667,3273,2118,5702,10,454
62c8e6fe78529f410478d5830db32aa1ef7528da,6656,3215,1969,5066,1,572,6752,3204,1949,5774,6,606,6650,3344,2024,5696,6,530,1217,3611,2167,5744,8,546,655,3289,2061,5508,6,496
ae548ab3347924d1047b38c44fa9725a746511bc,6847,3133,1847,5493,6,575,3659,3130,1650,5552,2,558,1152,3000,48,35,0,185,1077,3466,2064,5599,4,508,656,3502,2067,5817,6,468
41d5cf52d24f954f7e2b2d2d26c786c1956c68f0,7019,3184,1937,5679,8,575,0,0,0,0,0,0,0,0,0,0,0,0,1681,3360,2024,5239,2,511,650,3197,2297,5603,7,464
b4374368a133614347ca4583cc3f34c84cf538aa,6668,3328,1869,5458,7,529,0,0,0,0,0,0,0,0,0,0,0,0,1246,3499,1977,5372,9,535,741,3283,1973,5472,5,465
fb0be4a4b561ddc3aa942f2929f734b0bdd9a035,6833,3137,2001,5472,10,524,4067,3415,1944,5703,3,561,2904,3100,502,252,0,391,1377,3611,2038,5748,6,593,637,3178,2025,5204,3,475
611c3bb5af022eb9e2f485dbc3368065d369de54,6281,3016,1894,5838,4,593,33,2944,0,4,0,130,37,3032,0,3,0,151,988,3303,2316,5931,4,559,1068,3357,1929,5446,9,473
40ab2ccf48eca2d8a019e3264187634af8590484,6803,3110,1861,5495,5,547,0,0,0,0,0,0,0,0,0,0,0,0,873,3219,2095,5675,9,558,735,3658,2286,5828,4,525
c5ca63fe3864a0fd7673641d08049741e94a0287,6603,2801,2006,5450,12,522,4400,3546,1792,5882,6,567,3055,2831,488,310,3,376,1285,3522,2050,5449,11,601,668,3275,2141,5504,3,443
4701b96281124b9ccd6ecd35c3f16aa73345f315,6686,3122,1855,5580,3,513,4380,3691,1896,5810,4,535,2978,3078,516,275,2,349,1149,3687,2163,5666,5,565,761,3378,2285,5855,4,458
7862d6028dafff8cd2b117b1cae0525ca655ba20,6738,3298,1808,5464,7,621,4517,3660,1925,5951,7,540,3418,2999,723,327,3,495,2193,3541,2196,5447,6,563,666,3578,2261,5387,10,469
51880b788df7130a1b6871559709b852379fbd8f,6714,3144,1948,5233,3,535,4489,3236,1846,5890,6,539,3028,3071,479,257,5,372,1796,3362,2164,5273,5,525,708,3569,2258,5555,12,462
0a61492fda0e82b0c01602e689f238051f9106ee,6850,3024,1788,5360,7,712,4274,3445,1774,6056,7,563,3047,3163,489,265,5,379,1768,3562,2140,5415,4,698,705,3343,2210,5695,5,465
