sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCode instr,cleanByteCode project,cleanByteCode monitoring,cleanByteCode lock,cleanByteCode violation,cleanByteCode other
06033035f09c662020ffe0300983697c78d3039a,856,0,18,9,0,52,817,3,21,0,1,68,869,2,19,9,1,66,201,3,15,1,0,33,0,0,0,0,0,0
2196ff68d3f53213f3d07e38928805920089a03b,850,2,20,9,0,61,909,7,19,0,0,68,943,8,22,0,0,71,143,2,21,1,0,30,0,0,0,0,0,0
65657b874c03a1b6fee23653b01a9baad6a518e8,865,1,18,0,0,64,894,5,17,0,0,69,902,8,27,0,0,68,131,2,16,1,0,44,0,0,0,0,0,0
6e2ac190ce379fb19acb8b5cf06c0a1b25d19059,863,2,16,9,0,56,738,3,15,9,0,69,108,1,0,1,0,30,140,1,19,1,0,36,0,0,0,0,0,0
b014a06d5b333a6fa30fbfde065d95bc0374d4a9,905,0,14,0,1,76,698,6,18,6,0,68,181,5,16,2,0,32,141,2,17,1,0,30,0,0,0,0,0,0
dcf6e82f8610b89075e00711e186792053928c7e,876,3,13,0,0,73,130,0,0,2,0,44,70,0,0,1,0,36,149,2,16,0,0,42,0,0,0,0,0,0
84a0d90783b095775b5d14b2a807497862d80db5,873,0,22,0,0,53,116,0,0,4,0,31,76,0,0,2,0,43,130,1,13,1,0,37,0,0,0,0,0,0
10c8db1b1ae0fd9be8b661dbf24643c0a9012d68,902,3,13,0,0,66,108,1,0,2,0,43,58,0,0,1,0,31,140,3,13,1,0,32,0,0,0,0,0,0
2bacf63927effbe494ea8888191b950037d4606f,900,2,28,0,0,64,173,3,14,3,0,39,118,3,22,2,0,45,161,2,17,0,0,32,0,0,0,0,0,0
4f50c37506de036bb34094095aaa6d4d831bfbb7,896,1,26,0,1,59,137,1,0,2,0,43,76,0,0,1,0,42,121,2,16,1,0,34,0,0,0,0,0,0
30280a9ba706b330cbf6b18e6f2f6660743c0f16,900,2,17,0,0,68,146,0,0,3,0,33,79,1,0,2,0,41,127,2,19,0,1,39,0,0,0,0,0,0
9cd31226588fa303886b9daac162d5aa753e8e15,861,2,26,0,0,70,124,0,0,3,0,40,69,0,0,1,0,31,122,3,26,1,0,42,0,0,0,0,0,0
c1b64e9d70875339f0f76bcc295cc0a735c1d4f3,884,2,17,0,0,64,180,4,16,3,0,43,120,7,16,1,0,36,141,1,22,1,0,41,0,0,0,0,0,0
65c4a9c0ec651dd99f28b9fae40378728d071985,888,3,21,0,0,61,195,5,20,2,0,44,121,5,18,1,0,32,120,0,22,2,0,38,0,0,0,0,0,0
86cc77e21e15d1750d051598296c081809d15652,856,3,25,0,0,75,198,2,12,3,0,50,133,6,24,1,0,46,142,3,13,0,1,37,0,0,0,0,0,0
d3fc1a2877c165a57949414f5737ef00ffcd867d,870,0,17,0,0,65,155,4,16,3,0,34,108,3,16,1,0,42,132,2,22,0,1,37,0,0,0,0,0,0
d19259a7774e23ebdaac4af5ee4def8602fe2969,879,1,17,0,0,67,175,6,18,2,0,39,128,4,15,1,0,42,134,2,13,1,1,34,0,0,0,0,0,0
ed15b09985a073d0b17769bb9a28d3e41419a43b,847,2,30,0,0,58,168,3,16,2,0,39,122,5,15,3,0,45,141,3,14,1,0,33,0,0,0,0,0,0
459cebc515b11fef06464b711b3b33cbc1dd8c26,874,3,19,0,1,59,162,6,21,1,0,50,119,5,20,1,0,40,131,2,20,0,0,41,0,0,0,0,0,0
947c01f6d8000122a174da3d668208eec877a799,918,4,12,0,0,64,182,4,22,2,0,44,131,6,16,3,0,35,142,3,19,1,0,43,0,0,0,0,0,0
