sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashes instr,storeHashes project,storeHashes monitoring,storeHashes lock,storeHashes violation,storeHashes other
fc409b5791ef8145a791cf7bd9b35d68a4ad3305,9950,2650,1082,867,0,608,10098,2613,1154,891,2,769,10074,2637,1154,891,2,676,10903,2611,1200,906,1,738,14,2788,1132,968,1,706
20de433aa24957e40d974b87aba54ae0688500ed,10393,2621,1162,839,0,957,0,0,0,0,0,0,0,0,0,0,0,0,899,2652,1104,929,1,590,22,2674,1138,915,1,690
8dae1f2904b93127f101bd36c1c79e801385a8f7,10457,2632,1139,983,1,704,6022,2602,1220,891,2,757,5344,2713,432,712,0,387,287,2711,1137,1000,0,806,20,2739,1165,903,1,713
4f928504ea91c3c1dd43ce696acadf76624240a1,9794,2713,1130,859,2,585,5970,2769,1196,936,4,810,5574,2765,396,734,1,433,296,2750,1147,921,1,720,15,2712,1180,945,0,705
22c30471564c730b02f5f7cedec28fcfe5749fc6,9926,2657,1181,876,5,666,2255,2542,124,641,0,259,281,2515,81,652,0,235,382,2708,1099,941,1,655,15,2673,1059,1004,2,688
10122741eac52e218771f30c6dc2c0aca54ff006,10496,2589,1175,891,3,670,2260,2536,122,678,0,271,278,2584,68,627,0,242,361,2710,1151,943,2,684,15,2765,1217,910,2,661
e863dcb2e7a654af6b8eb5865d8d1d8eee0a6d28,10153,2637,1019,1021,0,632,5667,2789,1096,987,1,782,5716,2681,403,748,1,411,321,2786,1140,1028,0,732,14,2688,1187,902,0,698
f7cbda67518ed7335566ebf942cd170a66746096,9789,2597,1184,880,2,793,6029,2634,1225,818,1,757,5710,2710,371,768,2,405,242,2782,1098,943,0,690,21,2772,1159,970,1,703
6049e77fdcd021544a60651fc6de4d80e2ef1c2d,10527,2676,1135,886,2,920,0,0,0,0,0,0,0,0,0,0,0,0,149,2702,1142,876,2,623,0,0,0,0,0,0
7d061e33e59e23dc4b03378f35f50a7d70f033b3,10565,2634,1097,959,0,637,1436,2542,49,641,0,271,1153,2542,39,657,0,245,334,2704,1227,874,1,678,24,2752,1185,927,3,692
bfb43d3fe2eafa80f45fc59a5b742d192efa8e3c,10345,2592,1209,921,1,752,0,0,0,0,0,0,0,0,0,0,0,0,167,2821,1152,892,0,717,0,0,0,0,0,0
d8ec011d770e1e04ef4f87fba673f3748f363278,10254,2575,1116,889,1,584,2658,2568,126,670,0,281,1575,2557,95,653,0,267,521,2643,962,1013,2,657,16,2713,1142,968,1,685
6dfc3e64037f10b84fe203415e79e2435acff558,10295,2645,1073,873,1,589,2272,2567,107,652,0,262,244,2538,0,630,0,215,250,2720,1139,973,0,661,16,2786,1177,933,2,684
5fb74a6618da0ca8b12a3346038164913a5d27d5,10536,2617,1285,892,0,741,0,0,0,0,0,0,0,0,0,0,0,0,212,2757,1118,933,1,724,0,0,0,0,0,0
c614fbcc79615f93d2c60a153db6e82d7474c425,10032,2694,1098,903,1,601,6027,2631,990,1106,1,748,5897,2652,437,702,0,412,333,2675,1120,910,1,698,25,2757,1132,963,2,690
0b70b01a9f1d9664bb5eac737175f58f06979b60,10482,2748,1119,854,2,567,10440,2605,1186,865,1,786,10366,2692,1140,894,3,662,424,2699,1050,958,5,670,15,2763,1147,975,2,743
63f11e9dc1874abdde1bfe1d900b5ebfa4d3a941,10569,2615,1122,878,1,740,0,0,0,0,0,0,0,0,0,0,0,0,255,2743,1098,868,1,591,0,0,0,0,0,0
f5ebb9a649e9dd0773f9bd3457d6ce1895266d59,10334,2800,1103,905,1,566,5608,2672,1185,871,1,762,5502,2693,409,788,2,405,289,2825,1117,921,0,647,25,2880,1140,1015,1,699
e72654ed5ad90e5dd1ec08b11760e2f27b64d5c7,10465,2694,1157,896,1,627,0,0,0,0,0,0,0,0,0,0,0,0,164,2769,1025,946,1,633,0,0,0,0,0,0
d575057852ab2be41abb39b8de69a35cace5c67d,10351,2627,1103,945,3,656,5901,2611,1171,945,0,770,5781,2736,389,763,2,416,529,2726,1247,905,0,773,19,2678,1145,1014,3,688
