sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
2bd1ad90f5d89ac15698b385ebcab8c8be152f5f,15136,272,78,17,0,239,15779,235,92,17,0,243,15336,246,82,18,1,240,15833,239,82,9,2,237,12,295,108,18,1,79
afb1e40cafbd906a4546ce0ee0074b08512d14c0,16307,245,89,15,4,218,8242,218,80,14,1,194,703,191,18,1,0,149,681,283,117,21,1,155,4,255,45,8,1,75
db5c93e9782ef6cbd44d1e9e6e041b299853e002,16014,260,106,9,1,237,11063,255,83,11,0,207,2901,208,27,5,0,151,497,279,98,22,1,98,4,230,56,6,0,60
333c9f2293cbe97212b8fabcc9a3bc219232e78b,15364,214,89,11,0,230,6718,269,86,14,0,152,289,203,25,2,0,74,452,291,106,19,0,103,6,220,44,4,2,64
49576b5f522497d03be09eb33f4f941005a901da,15813,230,91,16,0,226,8094,250,78,18,0,183,1502,203,23,1,0,158,1697,275,117,20,3,173,4,240,52,6,0,68
9958526ed2b81f0a7fe7b5156903f6d86e936d16,15533,251,80,14,0,250,8461,262,83,16,1,165,1467,195,24,2,0,139,1627,244,108,25,0,160,6,260,52,7,1,67
ecec4f853f36df390e9f6dd61fea80eea9a32be0,15353,228,97,16,0,236,10566,240,79,15,0,204,2959,197,26,3,1,153,759,241,97,23,0,170,3,232,56,4,2,69
4d71eb2effe2ce267883ef93769953cb7774632e,16202,274,78,22,1,244,7816,244,93,18,0,181,1509,187,27,4,0,138,1696,263,95,18,1,159,6,237,53,9,0,83
8990dc2c302f60eb79e6c545de9ad2d37c9107df,16610,272,82,13,2,236,8187,211,101,19,0,169,1493,183,24,2,0,137,691,308,107,16,0,109,9,257,52,10,0,70
f01b9b668466d98deb64883fd06d580897d504a8,15628,235,93,16,0,239,8600,264,89,12,1,161,2002,188,30,3,0,150,1318,278,106,24,2,180,8,225,45,9,0,72
4fee6a49731b1b012ce3c80b127e346a077c4b52,16393,266,76,15,0,216,10821,232,79,15,0,196,2828,177,31,6,0,152,540,281,105,23,1,139,7,244,42,8,1,67
