sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
a02f1ada716e9b601d0223922d7e594073a2806c,648,2,0,0,0,47,635,2,0,0,0,57,672,2,1,0,0,55,644,1,0,0,0,47,0,1,0,0,0,22
6134f3867e9ee8cd55de8a4774a7a88324dd64e5,24360,688,95,23,0,310,24708,693,103,11,0,326,23592,664,98,14,2,288,22375,662,102,9,0,292,20,679,119,19,2,188
7baa9558512be83501a7a55cc28d479f55fe5ee3,22953,624,107,15,1,341,22505,701,124,15,1,298,23606,683,90,20,0,357,13010,716,103,21,1,323,16,629,113,17,0,164
cb55d5257375727c2504152609abf52e815dff07,24744,765,110,17,0,328,10572,638,106,20,1,247,339,569,19,1,0,152,2443,695,108,17,2,235,15,695,134,21,1,194
ce6fcf061ac67083c372a9de00b6f2d9c547d716,25952,803,112,15,1,383,25215,694,108,15,1,362,24766,735,119,15,0,352,3168,714,115,18,1,259,18,684,115,18,3,195
06a32ee38abd15691f802949c797e428c8b9f07b,24982,879,194,48,1,358,26213,861,217,39,1,358,25161,910,194,44,0,404,16594,808,178,49,1,323,14,867,214,59,1,226
2f3ff1431ce1fb76d196d902a5475233b4a40fef,24177,810,176,38,2,387,12305,828,157,48,1,309,602,766,17,4,0,167,6053,906,219,43,0,323,27,915,244,55,1,237
4b279a4f9b5f6719ef1d99014d6967eb460488e5,24137,820,177,51,0,403,0,0,0,0,0,0,0,0,0,0,0,0,6055,899,209,36,0,288,0,0,0,0,0,0
e31ec7a8acded7cc6ed731a391ddaf86d13329da,24274,807,192,41,1,421,12635,823,178,53,0,320,581,741,23,1,0,169,6168,880,211,43,1,287,27,871,213,63,1,243
6a3723db00bc61b67e48e38180a7e8c483c36e78,24508,887,184,41,0,383,0,0,0,0,0,0,0,0,0,0,0,0,5806,889,199,38,0,283,0,0,0,0,0,0
53667945a46b21043ee0081cb4e79cad55a8a1cc,24849,869,170,42,2,400,12318,790,177,38,0,347,752,734,23,2,0,167,6079,881,196,45,2,291,24,903,208,50,0,223
7d68643eb689d405218fb0b16245742e54f845ac,25370,799,169,41,1,394,12070,793,154,41,0,326,774,780,26,1,0,188,6270,924,198,51,2,294,27,866,216,59,1,226
5c59d54443ad209047a7a9b03d1dadc614b3e86c,25268,877,191,50,0,398,1674,792,51,6,0,254,168,724,23,1,0,142,6033,862,178,39,0,295,34,862,228,55,1,250
511004a7d4b7bc94830bca223baf6c040f0c0ebf,25851,838,201,45,1,409,12289,839,187,34,1,336,726,709,22,1,0,180,6280,889,208,37,3,298,23,863,211,45,2,234
fe32984f0a4f8d859937281b380d84dc58bdd9e7,25306,830,180,48,1,356,12313,808,182,41,1,333,762,729,23,2,0,181,6311,888,187,43,1,310,31,845,217,50,0,225
802d8ad132617255852663e82e142666d46bfdbe,25718,847,186,49,1,352,0,0,0,0,0,0,0,0,0,0,0,0,7720,850,180,49,1,319,26,890,261,46,2,208
12dfa2f5e391134af41933386e47787b0c1235c0,26186,1001,293,132,1,408,24831,987,260,117,1,422,25547,943,234,105,2,357,21794,901,247,114,0,395,20,1053,319,121,1,224
9a692e1f226b30058ba4a190d8b51bc90c2e5540,25711,974,273,126,2,401,12308,932,246,96,1,342,776,851,20,0,0,172,10828,932,270,120,1,285,22,1042,309,133,0,222
6522cb0651600764b3148ad7cf00a87547710049,25101,926,248,155,0,377,25650,907,232,146,2,379,27228,961,232,150,1,397,17273,833,268,132,0,336,12,902,242,54,0,228
4bacdbf3254784b0148e2fd63bfb8655b609af04,26500,989,256,146,1,383,12092,840,274,88,0,327,609,827,19,0,0,192,6969,962,321,171,2,332,19,911,249,66,0,228
7319f9da0214261e63f0143386f69da123b75907,27069,939,270,193,1,396,12486,858,223,89,0,277,607,780,26,3,0,185,6663,929,298,134,3,320,17,910,236,69,0,213
be3165964a9991830da989154a468ef6881305aa,25994,997,272,159,1,432,12570,874,259,85,0,348,611,774,22,1,0,192,6995,950,339,130,0,334,16,912,267,74,0,224
1dbab50810188f63979fb01b6891efa36b99bbfd,26489,924,249,143,1,464,25488,901,257,141,0,467,24963,901,239,136,2,440,6485,951,272,162,1,324,28,879,273,61,0,241
fcb41fc3ff39e638e604a69359693b2995a44109,25878,976,322,148,0,412,26008,921,269,139,0,397,25578,870,270,167,1,406,15176,887,297,162,1,346,16,863,269,76,2,238
82282b9b7694f1a726024641bc2d85952ddab447,30149,1166,333,102,1,484,30473,1119,267,109,0,502,33092,1191,307,88,1,525,27720,1118,303,98,0,467,20,1116,370,98,2,268
