sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
ba326e6fb8c8f756ec3b5c1a3c795be0e46ee8a9,4050,174,87,58,10,145,3938,176,111,47,11,129,4092,184,82,77,5,149,4037,183,87,64,11,155,6,218,103,60,14,76
41789cd869b39b07cfd06f25a30dea4aee2574ed,4030,170,95,56,9,151,0,0,0,0,0,0,0,0,0,0,0,0,283,181,97,51,36,100,8,197,115,52,20,67
2e48ef788336a47618a75255a8704bfbde570518,3897,161,89,63,6,151,2843,186,79,79,15,121,1260,143,24,0,0,77,725,218,96,87,16,143,6,202,114,65,15,47
87d49765ed4947e7b7cc514b3fd5071780c2e2a8,3916,154,106,65,6,147,2974,184,95,50,23,131,1169,180,23,0,0,79,250,207,98,60,19,77,8,212,108,66,11,80
d34a95893f93227a83f1503086d5c7f5b50b62ce,4116,203,90,68,16,143,2923,172,80,84,11,119,1113,166,19,1,0,78,238,198,109,68,14,95,10,220,108,64,16,63
3cf022e01a8598c658a0c25d847f42838471c781,3976,172,99,61,13,142,2922,192,86,73,15,122,1155,163,30,3,0,72,300,216,105,74,19,92,10,202,103,73,17,53
b857077ac8ed7db9f6d09e37107934311fb81f5f,14257,233,61,7,1,186,14376,249,55,10,1,190,15308,243,68,6,2,197,14680,232,40,15,0,160,4,199,41,5,0,57
6af2b8653d1b613e90dfbbde369d5051ae3b00d4,14704,242,63,10,0,165,10843,242,49,6,1,170,1223,180,22,0,0,115,824,222,55,16,1,122,8,207,46,9,3,62
6f6654f86683a898ac86884cf4e19c193acaac3c,15571,267,71,8,0,195,15011,240,53,8,1,178,14672,251,54,11,2,208,1973,248,63,14,2,155,3,218,31,11,1,63
3495a64ba75287f55d5a26032f48889323d821c6,15619,249,68,16,2,202,15677,243,50,15,0,192,15670,279,63,8,0,195,476,269,76,12,0,97,9,230,33,6,0,57
990d2f3ba79ecc78adbef48e65b7d1bdd74f010f,15558,275,53,10,0,200,9726,258,54,14,0,141,1046,197,20,1,0,119,307,263,62,13,1,78,5,244,38,8,1,60
432f6494079a0c6f814ae600742df16d5dc2c470,15502,223,51,13,0,193,9245,232,49,6,1,159,1038,215,24,0,0,113,341,272,76,16,1,94,6,207,33,8,0,65
206d6b68d1aa6d282d692cec3e38d144e1474b43,14938,241,48,10,2,187,9250,223,66,7,1,132,1158,214,34,0,0,106,431,259,71,8,1,91,2,224,28,7,1,53
40093a67205b5e5ee86d982216de34ab76ff8956,15823,231,56,10,0,201,9918,251,57,9,0,158,1180,196,22,0,0,104,422,268,77,8,1,87,6,254,35,10,1,64
3aa0f112aa61d02e04838a9231bc207c5833c966,15307,239,57,13,1,196,9606,239,50,10,1,144,1132,185,17,1,0,105,359,252,67,9,1,86,8,211,38,6,0,57
37f399bf5a2181d08bd285d05bc1b5c17b1d728c,14918,251,57,11,1,203,9765,269,55,8,2,168,1198,183,24,0,1,108,354,244,54,16,0,91,7,243,33,3,2,56
c088c25b3934bc44cdbebdc6e09f9022595a8fb0,14276,232,65,12,2,189,9693,238,48,9,0,164,1165,189,23,0,0,108,440,282,68,11,0,102,6,243,37,5,2,53
be217b95d7478d1bf79ed8d733579af16caac826,15993,248,49,10,1,210,9629,237,53,12,0,154,1143,207,25,1,0,96,558,249,72,15,1,100,10,195,41,4,2,64
6b78cc26178041dec029ae7b8ee48108ccd2a526,16064,289,57,15,2,211,9326,262,52,4,2,151,1221,209,26,2,0,98,394,269,52,13,1,92,7,208,33,5,1,57
e4fa522af6fbc21e6df3b825a5d4c94043aa7784,14294,246,58,14,2,176,9168,244,55,10,1,148,1767,199,29,2,1,130,494,274,68,10,1,109,6,219,43,6,1,60
ffebf77ae01ef9b4cc795e87f9c1b3c9745b57e8,15845,220,52,10,0,181,9330,231,55,12,0,143,1196,225,36,2,0,110,566,279,67,18,2,104,4,255,40,6,0,76
de4cddb4e17e6a4afa10c79e65e535a00b68b58a,15850,254,67,13,2,197,9249,240,51,12,1,158,1069,199,20,0,0,117,322,276,64,11,1,96,6,195,39,7,1,56
a1995775d59288f497343fb428a6788ddfd8c27c,16064,258,62,15,1,186,9633,231,69,12,1,158,1142,196,24,1,0,120,352,251,62,17,2,96,6,217,45,3,3,59
ff83af4a9711c807c3ba81feb0a5118161b3d180,15314,249,58,5,0,186,9813,244,60,8,1,155,1181,185,35,0,0,116,492,263,63,12,2,97,2,233,42,7,0,57
4f7a19e248faca319263084d2f2a52e73464e149,14509,253,57,13,0,195,9979,271,49,9,0,169,1257,202,19,1,0,114,558,261,73,11,1,94,6,212,52,6,1,53
917dcf2efbe62ba2fa4507be5f3e05c0e5297dbd,14288,241,54,7,3,287,15540,222,68,8,2,319,16114,238,68,11,0,301,2123,281,61,10,2,252,8,232,36,6,2,181
3f3b0742cc151981b223cde96ef9056de220fd0d,15191,242,69,11,0,330,7324,267,54,9,0,241,288,232,18,0,0,208,375,267,65,11,0,214,5,225,43,4,0,207
772ff926acab6118fcee19e14dbb86b9e2bd5d4b,16029,238,68,12,1,316,10248,290,69,10,1,266,1210,196,25,1,0,224,414,261,71,16,0,207,5,211,40,8,1,165
41f1102b79de0e48d35397be91a42a9f8a2c28b5,16000,244,56,8,2,320,10121,264,54,14,1,262,1251,215,28,0,0,234,432,278,66,6,1,202,6,223,43,3,1,198
3e508adbd166252a2ee311e62e4d45d59f9dc01d,15100,271,48,9,1,307,10609,286,68,8,0,281,1130,238,23,0,0,225,322,272,74,16,2,192,4,266,39,6,1,200
