sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
e62c4357c30998c53e58f57bf96af6d4161fefae,16686,812,225,321,0,430,16599,805,220,326,3,427,16042,800,221,299,2,417,17751,809,231,294,0,437,14,763,240,262,2,258
84889ddc96596abc9722bd7e49918ad183ab5264,16489,793,224,319,1,404,9358,784,194,268,0,373,418,738,37,210,0,207,746,856,236,278,2,336,14,806,137,251,1,232
acf94238558df6351df7518d6770eee3c9eb74b3,16832,788,221,293,0,410,0,0,0,0,0,0,0,0,0,0,0,0,729,823,206,293,1,335,13,797,119,254,1,232
eadcc34b295d1c8e7a7b71747927cc84d5cfff04,17420,832,239,303,1,423,9095,774,180,287,1,386,948,730,36,219,1,247,903,830,242,279,2,341,14,839,136,235,0,216
2a3d527692b84600b402e8374e2828178e6b6074,16735,803,218,291,0,413,9697,806,179,290,1,389,994,736,33,223,0,232,654,836,222,267,1,339,13,812,124,246,2,238
e468fd406d5fe199b7a81bfea710d8dd06544384,16645,816,229,302,1,446,9851,802,199,279,1,386,970,720,36,228,1,264,621,803,222,290,0,345,12,775,141,244,2,248
28300ba17102a82578b5a43de1bda75d998ff053,17200,810,203,308,0,409,9667,790,210,290,0,383,1021,713,42,221,0,265,820,810,236,284,0,340,11,721,130,197,0,210
48911d8ad6e94637db88f49328d935b1098e30c9,16511,808,218,309,0,419,9885,785,199,278,0,398,1011,720,44,224,0,234,701,842,234,273,0,330,10,821,110,238,1,224
868b4ef3b4374f696731d4cdfd5b696de021ca45,17027,812,262,308,0,390,9446,791,222,278,0,386,1062,718,46,226,0,251,836,816,243,266,0,319,13,784,132,231,1,231
c5c311adc95449c472eb37c77e4a17e044fb51e7,16604,838,204,309,0,390,9183,800,166,280,1,352,1026,733,42,220,1,233,1220,820,236,273,0,329,3,843,141,243,2,226
6fee973deae4da8ceb40d64a6de88d9fd331acb6,16106,835,194,313,0,399,9195,822,218,279,0,345,1102,753,41,227,1,231,856,816,229,279,1,302,9,851,144,253,1,227
280e3326ca30746a4db66ccde2a7073da3142a07,16589,814,204,313,1,413,9668,831,207,274,0,368,1030,751,40,227,0,246,1047,836,228,265,0,284,9,824,155,247,0,217
a574b245044e988a2a2324af67987a239b98756f,17152,840,244,301,1,404,9530,830,213,271,1,353,1040,739,48,218,0,235,755,854,214,267,0,310,9,804,145,249,1,211
330acc5081e9f7451c95e40df86992151474c08a,16577,812,223,309,1,377,9764,824,220,274,0,375,1023,672,52,216,0,220,941,838,242,277,1,290,8,809,155,250,1,236
b29b2f1c38f2d00e91cd5c676e65d6ec1e4ce576,16992,832,246,310,2,392,9100,795,187,276,0,359,397,780,27,216,0,201,564,840,230,285,0,305,10,844,140,252,1,211
e7a0c412b94c97ff49e4cfac539c243f46821f11,16899,833,248,312,0,388,9803,870,225,287,1,349,1242,787,47,225,1,266,2153,875,252,291,1,312,15,854,169,262,0,207
de938fd4c6987511b1edf6c076507a7ce972d063,17051,834,254,322,2,390,8993,833,219,285,0,363,1146,773,43,216,0,248,940,886,267,276,1,304,14,860,168,269,0,225
bcb9da8213a12e7f6043e072bdc1902b274a2025,17059,849,273,306,1,384,9412,862,210,286,0,363,191,761,30,207,0,209,676,863,267,284,0,303,14,845,167,257,0,243
65d321b58adbf6a9f07d98fd0141883a33de740f,16231,874,246,321,0,374,9790,835,214,278,0,346,1153,775,44,222,0,239,946,906,246,290,2,315,15,851,169,258,1,216
7cfc170989c3ecec86bc7c6c95876f498ed0ec1c,19928,2397,244,318,0,399,19667,2399,231,331,0,436,19108,2410,253,352,0,390,18781,2391,234,313,1,364,18,2406,170,269,0,210
98bd3c57c736433a23507e68c1c5d2da8e3c45d3,19838,2502,271,341,0,386,10495,2499,204,306,0,355,1272,2435,53,232,1,258,1097,2499,269,338,0,277,17,2556,169,273,0,227
43ca580c8f3201053802b8eb3b2a0aadf9c9d3fa,18981,2508,215,336,1,412,11083,2519,243,301,0,393,1347,2462,63,232,1,257,1693,2562,250,302,1,325,26,2567,179,270,1,214
c07f68e533d3b71c013af5672ddddd2eb7ae0312,19236,2520,254,338,0,392,10950,2575,225,307,0,371,1429,2489,62,230,1,236,1006,2621,255,306,0,307,24,2583,196,276,1,235
1d5e8618c417b1f83c77fdcb2f9fca0f90fcfbf0,19734,2599,259,345,0,415,10736,2537,231,292,1,364,1375,2482,55,233,0,269,839,2613,226,298,0,312,17,2585,172,288,1,219
c47be99753b61496135fc734cb902edb5d74386e,19130,2609,254,354,1,442,11095,2559,221,313,0,378,1451,2498,52,233,4,254,716,2597,267,297,0,317,14,2609,178,291,0,228
573158ee6ba6c9268ce09587bba9ce08c758f4ea,20402,2614,223,347,1,416,20137,2625,260,331,0,458,20318,2635,260,318,1,437,1197,2666,250,313,1,316,22,2635,177,273,0,212
32a319c0e53392173f6338b3d1a33d09cd2763f6,20817,2607,261,315,1,435,10955,2629,234,309,1,390,1401,2557,60,240,1,261,723,2721,243,319,0,302,19,2659,187,270,3,218
69deb7f64e998185f7aef26b10cf4a11dcbdad2f,20292,2604,230,348,1,413,0,0,0,0,0,0,0,0,0,0,0,0,704,2626,275,311,3,279,21,2622,191,270,0,232
fa6c7fa31b3c987176834883af3f16656b7cd0b0,20825,2632,240,336,0,427,0,0,0,0,0,0,0,0,0,0,0,0,655,2710,239,321,1,315,0,0,0,0,0,0
c842906036fd56023dbab2570c226e85bf31ab4d,20160,2620,273,337,0,452,10704,2643,229,306,0,364,1394,2544,58,233,1,265,695,2689,256,320,0,300,25,2648,191,264,0,267
306f19c4732889a490828fcdac92b5f91ddc51d1,20675,2551,248,346,2,410,20205,2578,244,334,0,459,20319,2570,212,355,0,411,2071,2633,252,304,0,341,15,2645,158,267,1,221
2a1736ee7b58652491f4bc5917934192c67a5df2,20024,2556,267,323,0,424,10933,2576,235,299,0,382,1406,2507,53,233,0,265,910,2636,217,322,1,309,23,2600,168,275,1,250
40781e6e77511bb14bb11576c30f338c6cece5e7,25460,2779,281,343,1,491,24033,2698,289,352,2,551,25823,2776,263,338,1,536,8105,2767,299,306,0,442,27,2720,220,278,0,214
997a06131ed9705b73479290552d2c194de40877,24376,2656,284,333,1,579,25523,2764,268,336,0,571,24217,2779,305,337,4,502,2938,2751,311,309,3,349,31,2760,215,271,3,234
ae7eca23ac5ac62a45daa7e6fa014f3026c3edd4,25840,2711,284,370,3,512,13767,2692,244,314,0,473,1436,2596,58,234,1,261,887,2728,313,308,1,357,22,2727,211,286,0,249
e311e24110cfbafd54c07f1291c5cd1752d8707b,20461,2598,239,319,0,484,19300,2542,252,328,0,477,20104,2556,255,317,1,508,4507,2572,256,312,0,404,19,2626,174,257,1,243
e8162f5f9bbdcd201dd55d26266950ee6c3ddf97,20949,2554,248,320,1,515,10120,2610,208,296,1,334,1419,2508,60,231,0,263,1078,2612,243,316,2,342,16,2594,181,282,0,238
df95fe42213fdd79d75f8f8d019631ec724e78db,19959,2573,223,328,1,506,10943,2604,229,308,0,356,1440,2505,63,249,0,271,913,2642,237,308,0,309,24,2641,163,272,0,250
2c11b1a8ddf8a5e960ab9476c3dad2ccf5c9369a,20178,2603,245,330,1,482,11547,2563,252,299,0,395,1475,2536,53,237,1,234,843,2660,247,293,0,302,22,2633,176,265,0,238
