sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
c7820f9314b3987d87207fc2791d2e02db0ea7eb,13498,209,87,11,0,247,13561,221,83,13,0,248,13198,256,84,14,0,248,13504,230,78,13,0,235,10,202,91,15,0,95
0dc4677f3e816cbc394f8f0828ca2a650876aecc,13093,223,86,15,0,230,6023,211,92,21,0,166,727,173,30,10,0,121,526,209,102,22,0,141,6,175,40,4,0,109
c1ad2ec11a8bf5ea8d678ffaf04c2a70ed3a37e4,12951,224,94,19,0,239,6223,227,95,25,0,160,754,193,27,18,0,150,468,228,94,21,0,145,3,138,37,9,0,110
41bba04da8b41b6efc1cac98d7252fb8c6322d64,12806,225,81,23,0,223,6646,227,80,21,0,195,894,180,26,12,0,146,631,238,92,26,0,147,10,174,40,4,0,106
a9ddfe69439b469c4e194c7b9badc387c50c66aa,12694,213,99,13,0,253,6103,225,80,25,0,168,884,162,28,16,0,137,635,248,96,27,0,148,3,156,36,2,0,93
d66e0271a798d7568524674e05bf5d59175c5127,13090,242,78,17,0,221,6658,228,92,26,0,185,936,176,27,13,0,161,796,197,111,27,0,148,5,145,38,6,0,103
4ceed9585a1158e6a579540a2808c3ce96b7729f,13427,221,76,15,0,227,13021,222,76,19,0,215,12595,214,79,15,0,184,1414,216,101,17,0,120,3,144,40,3,0,70
b23658d5ffa35f3e37cce8683d69d6cb74623b2b,13323,239,86,20,0,210,6582,200,91,8,0,169,1059,192,28,5,0,108,383,208,98,16,0,106,4,164,34,8,0,81
40f0e44b81e58c227f41d4252b0299360b3ff96c,12576,199,72,18,0,202,6788,227,85,19,0,158,912,167,31,4,0,139,408,241,92,13,0,115,5,164,38,3,0,75
690b67570b406a012c7af93f57a69cc53bf5be86,12664,225,79,13,0,218,0,0,0,0,0,0,0,0,0,0,0,0,404,217,98,21,0,128,0,0,0,0,0,0
4a9bba81193030306ff5350ba30a26620c5408ef,12893,226,78,13,0,216,6441,214,62,16,0,166,867,176,26,1,0,113,575,224,83,23,0,133,6,161,35,2,0,67
7be22cbfbe1795f15f43d6e62a0bfc1c1737e95b,13381,228,81,13,0,215,6045,210,73,17,0,146,635,175,29,4,0,93,460,213,87,23,0,115,3,160,37,5,0,72
a6b255d38080ec73345cb5cc091f7afeb35f9af1,12557,195,84,13,0,215,6200,188,71,13,0,178,810,154,35,4,0,124,733,209,92,17,0,148,9,178,40,7,0,74
fd64976f9d0221c81394346abf40a779779128a7,12959,240,86,12,0,213,6533,217,76,26,0,171,940,158,34,4,0,117,723,238,101,14,0,124,3,165,34,7,0,77
ea689bb8281e6609992290c479b4ba1b143fcaaa,13077,222,87,13,0,216,6182,184,63,21,0,165,635,184,28,3,0,100,504,260,92,13,0,139,4,178,43,4,0,85
6c958a758a846dca2e5b03cf5cd1e4af315a913c,13301,231,95,8,0,217,0,0,0,0,0,0,0,0,0,0,0,0,424,247,84,22,0,132,0,0,0,0,0,0
bdedc873b26afd61327f28641f995e6678215d78,12682,230,83,16,0,215,6423,193,88,16,0,164,931,168,29,4,0,120,512,231,102,20,0,135,3,152,44,8,0,89
29cf271ab6523aabc090f92725bc79e7367c18a5,12830,220,86,13,0,211,6011,199,91,14,0,157,680,163,28,3,0,104,485,242,90,21,0,127,4,167,42,4,0,67
65d062129e999134b97e30108415d2d3e4cea02d,12995,219,76,17,0,223,6118,194,87,17,0,161,981,171,29,3,0,124,533,250,96,21,0,122,8,173,42,3,0,86
694102872865d8cc37052007892531bb3c205616,12930,239,85,9,0,211,6148,183,72,15,0,180,481,169,34,2,0,98,519,222,94,22,0,127,2,178,45,3,0,76
9537ab5b1b4eb1c86f85ed4de604dff048432bbf,12519,195,95,19,0,209,6044,206,70,14,0,154,541,172,24,3,0,91,437,197,102,24,0,114,5,136,51,3,0,79
ea0c8c67e94178d5e06d8c3e78d201fd417cbf90,12511,220,72,14,0,223,6421,210,76,17,0,148,867,162,24,5,0,98,516,228,90,16,0,126,6,165,38,4,0,79
5cc067248c39ef9bea5c7e7a919d2a9376f711e9,12582,203,76,20,0,201,6234,225,75,10,0,159,636,168,27,6,0,92,500,233,106,11,0,123,6,168,39,6,0,84
02d834fa646d2da5bc2a5783f0a3280b617edf34,13014,201,79,15,0,212,0,0,0,0,0,0,0,0,0,0,0,0,414,238,88,25,0,115,0,0,0,0,0,0
1c5c31b3e085b8aa3e98538b596acabe80148bdf,13338,248,86,15,0,227,5740,196,74,19,0,157,972,170,29,3,0,123,1294,217,85,16,0,155,5,161,47,0,0,98
635b52e6fdbd3473bc4595424644679f64e15b47,13233,230,73,12,0,213,5850,214,71,13,0,158,663,200,20,2,0,111,469,217,106,20,0,112,4,176,35,2,0,68
1261d355a146865dadce3ac5692d7236a4867d35,13114,220,91,10,0,234,6641,178,72,15,0,179,1219,198,37,2,0,116,1255,230,93,15,0,157,5,181,46,2,0,62
5d6c1de2b77e523abef8f960e558944ee6eece00,12654,217,97,15,0,228,6351,219,93,13,0,174,595,174,23,2,0,115,591,245,87,19,0,112,6,168,36,6,1,82
f2b30bd959487cb855976b40fe81306032d28b83,13249,234,80,13,1,226,6371,196,90,13,0,168,968,184,28,3,0,104,471,236,87,17,0,132,7,167,47,2,0,69
995a184285f7990a3be4e483959b276f8d3d64ff,13331,252,113,21,1,219,6648,226,81,13,0,163,668,163,33,2,0,127,453,230,119,19,0,120,3,169,42,8,0,88
314b646170b5bfbf69d5489b52337847e67b2688,12855,205,88,16,0,215,6241,235,69,10,0,181,655,158,32,4,0,135,495,236,103,18,0,123,2,174,46,3,0,85
