sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
c5c6eec1d913db26735cd47682bc4c57456be7eb,2034,27,24,0,0,66,2103,38,22,0,0,60,2119,24,21,0,0,81,2155,35,16,1,0,71,2,26,19,1,0,27
ca8c6a5553dcf3e71135229c49f094daf6fa5cc8,1948,34,29,1,0,71,283,27,19,7,0,49,135,18,21,4,0,31,347,40,24,7,0,43,3,44,21,0,0,33
6d38f560a9ec11aea41553c8bc7ad49e30b79833,2111,32,24,0,0,59,274,26,17,7,0,37,122,30,17,5,0,34,230,29,19,5,0,34,2,31,24,0,0,29
f93e6ff3fd04909cac196aa739e422bfe1a8d08f,2080,35,26,0,0,71,2105,36,23,0,0,68,2047,25,24,0,0,68,949,33,19,6,0,50,5,31,26,0,0,27
260e22857f5424b27b8e75a3326120ab6a85a002,1949,30,26,2,0,65,305,24,18,7,0,38,29,20,0,6,0,40,196,33,18,6,0,36,3,29,28,0,0,29
5ee811af0f9933343c2710b436ccf8607333c4fb,2045,28,22,0,0,66,302,22,21,6,0,36,133,21,15,6,0,28,362,33,20,6,0,46,8,39,25,0,0,31
d5d771211e8b6705208550c085cbbd4124f4550e,2056,31,27,0,0,78,303,25,17,4,0,40,157,30,27,7,0,40,261,25,20,6,0,38,4,28,19,0,0,29
17756b6bd56bf19db3a5d49cfbf8e9f059e5eb81,1999,34,25,0,0,65,304,22,14,8,0,36,154,19,17,7,0,35,384,32,22,6,0,42,3,31,21,1,0,32
a36c7bcd052771e57c1d5b739604a89b9d8e77ea,2044,33,23,0,0,71,307,24,16,6,0,36,148,19,26,7,0,33,392,23,20,9,0,38,6,44,22,2,0,32
e36cb33d49e72cdc0040cbb97d2deb908aee6c8a,2173,32,22,0,0,68,311,23,17,6,0,40,178,26,16,6,0,35,441,27,23,6,0,45,4,39,22,0,0,35
936dce57fad11e275d1f8a33abe6c695f26cca61,2046,35,28,0,0,68,305,27,22,4,0,45,142,21,16,7,0,26,322,32,19,6,0,44,5,26,21,0,0,29
a4da08960558a45bd96c45f25264fbd96101745d,2152,32,25,1,0,68,283,32,19,10,0,38,155,20,21,5,0,42,467,23,27,6,0,52,3,32,29,0,0,28
d9562d88d94cbb0f870d5ade7366670a210489fd,2205,33,26,2,0,71,275,21,20,6,0,33,141,23,21,7,0,37,200,28,30,7,0,39,3,34,26,2,0,27
54e5edaab1a59fc890b809d7acad8070839842fb,2162,38,28,0,0,69,291,25,24,8,0,35,158,19,20,8,0,29,336,31,27,6,0,51,2,32,24,0,0,30
0b8d87e17270bb1a8e72b8d732d3d1ecf546544b,2218,37,24,1,0,65,302,21,19,5,0,44,155,22,20,9,0,35,401,30,26,9,0,43,2,40,27,2,0,32
7369dcbd1895988e06c7118dc0501073fe698ee5,2175,25,26,0,0,69,289,32,23,8,0,44,158,22,24,7,0,32,403,39,25,6,0,50,4,43,27,0,0,34
29336eaffcba289ba406418f7079b859661e7175,2144,34,25,0,0,79,2084,34,31,1,0,70,2166,31,23,1,0,70,761,30,32,7,0,62,2,47,34,0,0,28
