sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
4cc301f9374b141e07fde7cfbb5e587669e8baad,2339,423,59,519,0,84,2218,420,57,497,0,77,2256,425,54,502,0,77,2365,431,62,498,0,74,2,434,19,37,1,42
ad7cd80aa311801c2529438fb2efd4a73420b491,2374,801,23,521,0,94,2400,789,23,541,1,82,2451,815,22,512,0,82,1173,807,22,460,0,69,2,789,20,31,0,40
647e9536565500df13d5f3584d098d2b7de9132b,2404,1250,28,531,0,83,1041,1239,20,307,0,66,339,1220,14,83,0,49,293,1239,24,46,0,44,2,1234,27,33,0,39
be7a2e19c587150f0ebeec0cda09d3efbcb99a30,2385,1234,25,518,0,98,1056,1251,19,281,1,63,333,1223,15,87,0,49,307,1242,25,35,0,46,3,1232,29,42,0,31
380957092c17b73d2fe3493b75639b5894ed1600,2371,1198,25,506,0,78,1065,1236,21,310,0,64,341,1229,17,87,0,56,319,1233,20,40,0,45,2,1225,21,41,1,45
c213f313c17a4161b30b41e0d9896f42c4333f8b,2394,1252,31,536,0,87,1061,1230,25,296,0,68,368,1234,14,82,0,53,311,1233,22,39,0,52,2,1230,20,33,0,30
f88b6a578907a3951c344f723fcf7612e98b31a4,2399,1233,25,543,1,68,1064,1233,29,305,0,70,356,1224,20,86,0,52,277,1237,23,44,0,48,4,1222,22,36,0,40
bfc67b2c33abcc215ea5ec691beb24cf1c4405ae,2622,1230,27,549,0,75,2655,1240,30,563,1,83,2540,1238,28,424,0,77,1475,1255,31,441,0,65,1,1232,20,42,0,37
97abe0865559a0f8abd98e9519f51613b0df80ba,2690,1230,21,530,0,78,2592,1250,35,494,0,72,2673,1239,26,540,0,79,328,1228,26,151,0,50,2,1239,25,43,0,44
e26b35b55a963d8379e5c2cf1104bd5a86afeca3,2691,1238,66,544,0,91,1387,1238,28,249,0,61,410,1220,27,114,1,67,556,1231,22,77,1,55,3,1238,25,42,0,38
1c8961061d594a4b5036b8c8fa018d01bc214332,2691,1721,23,542,1,104,1379,1719,28,268,0,68,396,1695,19,118,0,59,601,1711,25,140,0,64,3,1715,26,43,1,57
3e34b55f92e41bd052830dc67eb2224dc4407985,2686,1727,23,556,0,107,1387,1722,27,272,0,79,392,1705,16,87,0,67,368,1700,25,44,0,73,2,1713,24,32,0,48
278f34213cd95b3afc0ed002d1440853ba3f33c9,2326,1736,39,591,0,113,2317,1721,36,603,0,101,2345,1735,23,585,0,106,1673,1730,22,616,0,83,4,1715,30,37,0,55
082ae2bf09f7380b61a084832c18546757c371ed,2456,159,16,4,0,74,1209,150,19,3,0,73,253,149,19,6,0,43,2214,156,20,5,0,65,3,149,18,1,0,38
4d26c8afbe19ff3949c4805f3e3467b96a3fa329,2329,158,22,4,0,79,2418,156,19,4,0,71,2431,152,16,5,0,77,351,155,17,5,0,48,3,166,16,0,0,34
526b6eb28a6d6dcee4df9599e3e4a6a4f3c29504,2705,6200,33,2,0,85,1297,6202,24,3,0,71,292,212,18,5,0,49,697,6199,30,5,0,52,6,223,20,1,0,28
29087a578e4c0262169c15728aa6297f19f1c31b,2661,18219,24,2,0,76,1296,18201,22,2,0,68,258,213,17,6,0,37,241,230,24,5,0,35,6,215,26,0,0,29
b2b689b6e9986cdb17d4153c67f6cbcf414fd6e7,2890,18203,20,0,0,68,2954,18208,31,0,0,86,2997,18199,44,0,0,85,405,235,20,5,0,49,1,226,24,1,0,34
d88949f1363849f8b39cdea934be4f650302de2d,3091,18195,50,0,0,68,1344,18213,20,0,0,77,266,213,16,6,0,46,237,224,19,6,0,46,3,225,28,2,0,39
ac5cdd4cd0500100d01c12ffbfe94f6b70f1739d,3067,18206,45,0,0,82,1381,18208,19,1,0,81,291,217,17,4,0,53,396,239,28,6,0,48,2,236,18,2,0,35
1a2479faa3703a1932d889a1f6bafc89682bdaac,3106,18214,34,0,0,74,1354,18195,17,0,0,65,260,219,21,6,0,42,235,227,21,5,0,39,6,220,16,0,0,40
e68538184846b4cdb29b952b32f4785bda89296c,2954,18204,19,0,0,76,1357,18214,29,18,0,72,270,210,26,6,0,53,247,232,16,5,0,40,4,236,20,0,0,36
a527b3ffc5f95af85ff1983e55edbae48f20744c,3008,18205,18,0,0,63,1343,18206,31,0,0,70,281,214,17,6,0,46,255,224,19,5,0,44,1,239,20,1,0,42
91f3b00916963c1649ff9b3c40e86fcd6bc6e0df,2830,18207,18,0,0,65,1360,18204,17,0,0,74,271,215,16,6,0,50,237,229,19,5,0,44,1,226,26,2,0,43
469925afe133c34a58891030d21ae670ab878da2,3130,18211,39,0,0,89,1397,18204,16,0,0,75,262,217,23,5,0,50,252,234,31,6,0,46,5,221,25,1,0,34
7149eea027b637a0684be0e1db5ab41e9685bf9d,3059,18210,49,0,0,91,1400,18200,18,0,0,78,276,215,25,6,0,41,261,235,17,6,0,42,2,224,20,0,0,33
cebd369ddfd926a6453dca7c0bbd159c4e2cd2b1,2988,18199,44,0,0,80,1324,18210,17,0,0,74,259,215,21,7,0,53,264,231,21,6,0,38,2,227,19,2,0,32
b1a63c01549eeb5c3af886a8a491d0adcebf0035,2919,18206,23,0,0,85,1360,18209,17,0,0,67,250,215,15,6,0,46,262,219,22,5,0,50,4,238,19,0,0,41
96b2ecd5a46da12cefcada4cfc278f15251174f5,3660,19441,48,0,0,77,3553,19427,36,1,0,86,3631,19419,46,0,0,86,2004,19269,54,5,0,65,2,291,24,0,0,32
5fccb4c77d73601119a10d427411373319ed9d0a,4052,19471,31,0,0,92,1866,19342,24,1,0,75,375,282,16,6,0,49,439,291,27,5,0,58,3,319,18,0,0,41
539e71bae8193bcc01fa9b7f7df703826ce988ca,3512,19430,41,1,0,91,1917,19348,30,1,0,69,362,284,17,5,0,51,358,291,20,5,0,47,2,301,21,1,0,35
d9d750799871f01997dde722a1233e54c3d0cd82,3857,19437,36,0,0,80,3932,19454,42,0,0,94,3749,19439,36,0,0,89,2049,19326,38,0,0,69,2,295,18,9,0,48
