sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
beb456490aab88954c846cb31ffaf4212e387995,19854,498,116,31,0,303,21150,546,144,36,0,297,20798,536,150,33,0,307,19078,467,135,38,0,278,22,577,154,37,0,111
8a7d0ec477dce966830f315c8b4e70d7676d3718,20315,521,154,20,0,304,11214,501,145,26,0,258,589,409,25,3,0,125,8474,565,159,34,0,219,8,445,44,7,1,96
2c7a4986827cb794a9cec3982de99976ebbb771e,20518,536,117,28,0,306,10706,467,126,39,0,275,618,426,29,3,0,123,8439,503,135,38,0,205,8,464,47,11,0,87
ad5ae728c1dc296e74a480738b3a4473ebf13bc4,20442,507,153,30,0,322,10463,485,138,20,0,251,498,386,25,2,1,105,8338,550,143,35,0,209,11,475,47,7,0,93
7716b6ffb4dc28a03470b50d27a98c8883f70f76,21037,547,142,27,1,279,11500,515,122,32,0,268,813,417,31,2,0,136,8981,552,137,28,0,225,3,445,50,2,1,83
95175a7a907be4dd60f62e6fabf1242e33af93da,20129,519,137,37,0,330,11312,527,133,40,1,270,619,384,24,2,1,113,8645,524,140,25,0,193,10,408,45,9,1,91
12cca7c57116e25ec93fef24dc024e4e8effd448,19242,493,117,29,0,272,11125,518,138,26,0,284,591,394,31,3,0,121,8394,522,161,37,0,238,8,463,42,10,1,109
8591b5996aac1ce6c385a784ff6b7a1d61d6430c,20460,513,119,30,0,296,8992,526,135,16,0,262,132,431,26,1,0,102,8576,558,141,37,0,201,4,475,57,6,0,109
d8c2e0683d348c33deffeb57846792c371c6e1c2,21171,600,156,35,0,301,10115,476,109,26,0,253,614,402,22,3,0,117,8229,548,137,37,1,187,6,428,45,8,0,87
afcebefe261fe13c9aeac03bd7a0595f407588a5,19053,469,126,27,0,299,10634,491,123,17,0,262,600,397,36,7,0,118,8718,548,142,31,0,265,7,456,61,5,0,100
03395a7ebbb9455a002a82ecaf53c85da0ba4be7,19917,515,116,26,0,293,10909,493,145,29,1,259,586,379,32,5,1,136,8551,525,128,28,0,200,9,488,51,13,0,98
565124f83b7c48c60e769ef94ca2a36218bf6a76,21169,525,157,27,0,288,10697,438,123,28,0,241,755,376,26,1,0,132,8617,550,138,24,0,198,6,491,55,6,0,112
8bf5209eb763dcf70e0728de373634c751eabb80,20148,472,151,29,0,304,10591,472,125,26,0,276,616,389,29,3,0,124,8362,535,127,29,1,208,7,464,61,5,0,91
8536559ce22fe964b945763d74b8e264da105051,20819,524,151,28,0,303,10121,502,116,30,0,282,330,414,25,1,0,109,8741,540,135,28,0,200,5,473,74,13,0,103
1a70ec45bb122651de65e1a93e5eae6ab0951e07,20656,570,135,25,0,324,11315,519,114,26,0,273,805,391,26,4,0,132,8075,489,146,26,0,263,9,446,63,5,0,98
ef1dcb6a1da1d04e97130eb0048e798ab028bb4e,21470,552,140,36,0,318,10698,503,102,32,0,243,636,401,24,1,0,113,9051,521,145,31,0,251,11,489,54,9,0,104
a69c7752709e4bc01b4fe54d03640d618bd8785d,20434,522,156,31,0,290,10893,463,125,18,0,274,674,419,27,0,0,128,9408,537,143,29,0,235,6,437,53,13,0,100
1a81cd369f7d2477ef5792b4055a10a0bcf124ce,20859,496,152,31,1,350,11124,485,141,35,0,247,680,401,29,1,0,131,8982,533,141,33,0,253,7,494,63,11,1,104
9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,19683,487,129,23,0,318,11973,475,123,27,0,255,712,388,31,3,1,128,8741,498,128,22,0,254,7,498,55,8,0,83
2a5452de27ab86040dd0f17f4fda371bea121599,21926,558,133,26,0,328,11064,498,116,29,0,242,730,429,30,1,0,143,8991,533,145,29,1,248,9,474,59,9,0,93
d6615a20ad3fe3de4c67741e69737559a5d3cc71,20326,523,162,34,0,302,12229,518,134,31,0,263,725,391,25,1,0,136,8725,520,130,32,0,254,6,461,74,15,0,101
c4873f1f42e56c08e0bfe403531666a734b9dd41,19531,538,147,39,0,321,11294,441,124,40,1,270,748,412,36,1,1,131,9025,534,161,40,1,259,6,497,59,5,1,99
7db71f8fa215347f4510197854ff721b9f8242c1,19567,559,127,33,0,300,12343,523,136,24,0,258,740,398,32,3,0,109,9124,499,154,24,0,253,8,508,62,12,0,102
d96566d9d2f9d7d8420989c217b03e08e195aab9,20559,577,136,27,0,321,11619,488,148,29,1,245,765,461,32,3,0,130,9280,537,120,30,0,261,11,552,54,7,2,97
543421ab5d02687b427a6e68f67a95b24e4c4dde,21202,556,145,38,2,344,11129,465,124,30,0,257,943,420,35,3,0,141,9455,533,169,41,0,257,10,502,65,8,1,103
58b7c9f3b2a279f401cd208ad85dbd2282e2f38d,19958,531,137,35,0,314,7958,506,103,28,0,243,40,448,0,5,0,118,9428,492,137,37,1,268,8,478,64,6,0,95
edaa4709b92ab2f26a1c6ed76e7421ea88222b7c,19837,530,122,25,0,313,8302,499,121,21,0,248,45,433,0,3,0,94,9534,557,151,31,0,248,5,506,66,2,1,103
8fce0d834883c17a7660f392564efb9a4f484f5c,21245,581,165,24,0,336,10664,440,126,22,1,277,701,424,37,3,0,126,9406,592,137,27,0,266,3,496,64,5,0,116
b9c7ddff96a6fa92a47fae320f9fe85b1efaab33,21517,575,149,29,0,316,11561,512,118,31,0,261,190,430,21,4,0,108,9402,554,125,26,0,260,6,466,69,7,1,90
77b6af315a1662c8092d8ce43403b036d4b984bb,20057,497,116,27,2,327,11349,512,134,35,0,260,198,427,16,2,0,116,10281,560,143,40,2,273,10,514,62,7,0,96
b3e1c6ce1eda687e9622eecce544c97f9f81aee1,20282,534,146,31,0,291,12070,573,159,35,0,266,704,451,42,2,0,121,9516,573,123,26,0,276,8,528,60,9,1,94
26e8aa803eae93db6077babfefca2cdff5662f91,21483,546,145,39,1,325,12008,545,122,30,0,288,732,433,27,0,0,147,9568,532,150,17,0,275,6,508,85,5,0,116
c242a103c75eecd3faf74d11164a504bb8e03da4,20995,569,151,28,0,328,12483,542,145,38,0,275,731,419,31,3,0,134,9835,611,145,32,0,290,7,537,67,10,0,99
2b85a855a506c05a55c42b066436fff5099b0d29,20795,571,149,22,0,318,11537,538,128,29,0,265,279,422,17,3,0,106,9525,547,172,36,0,264,10,526,75,9,0,123
4f7ea781fd91a5ab1b6376870ddfdb0fcc9b4b56,19396,505,165,29,1,344,11045,485,153,31,0,256,874,427,32,4,0,159,9733,578,155,32,1,280,13,556,76,14,0,119
02ac8729031258820ae4cf4a7da98460fc246fce,20046,526,144,32,0,354,11205,505,144,33,0,257,268,434,18,2,0,113,9599,544,149,36,0,275,13,524,65,8,0,114
e48ba2df28166c69d70ed5d783a0fe9e4f6c02d7,21302,576,151,37,1,337,11967,530,116,32,0,260,713,443,30,5,0,139,9534,532,153,38,0,259,13,542,64,12,0,123
dc11cd64a04ad1218c2dffc1658d51194526886a,21428,586,132,49,0,309,11837,496,129,32,0,277,698,427,29,4,0,134,9226,532,142,34,1,273,8,531,77,16,0,123
c498e36c9837693b67b834408b3f61a64c4643d5,20049,521,163,38,0,339,12778,516,132,35,0,250,920,420,26,2,0,141,9398,570,143,33,1,274,6,575,69,17,0,101
6bc95656011e8f679f3f13e8704c44771472ceaa,21099,565,145,38,0,328,10828,518,124,31,0,275,32,439,0,1,0,96,9206,558,158,28,1,276,12,550,77,12,0,105
5bdf613cadc270e24adb327479ee9731216655a0,21843,512,131,34,1,300,23618,578,183,35,1,328,21742,508,166,48,0,318,19077,490,135,24,1,301,5,522,55,8,1,101
52c1f9b6784bcc7ad9ab0e424e86f2a7a96b7acb,22626,524,163,42,0,318,11760,542,168,36,0,245,964,442,41,4,0,137,9584,542,157,36,1,267,5,524,76,9,2,102
dfe4fe653ad07bbac0bca1b8ba0271a4c1c16fa5,21818,541,149,55,0,330,11842,470,154,45,1,258,932,426,26,4,1,147,10291,535,146,41,0,251,10,510,60,8,0,117
a5217ace56590316935bf01d54ab3abac0adf414,21249,506,149,32,1,315,11907,527,133,36,1,270,985,465,39,2,0,151,10254,555,170,32,0,256,7,525,68,9,2,107
48070b25d20890aa677320ce978b883a066a5976,21495,521,148,37,1,330,11533,518,171,34,0,258,303,436,19,2,0,107,10119,589,158,44,0,242,8,498,52,10,0,99
6e550d87c628e97544c438aed17c7e4720024ae5,22121,540,156,28,0,307,12778,526,128,35,1,238,923,437,36,5,0,129,9783,598,157,36,1,233,2,483,56,9,1,99
beebd88f8d511ffc76cf0ab0d21248068ba4354a,22315,517,146,32,1,309,11742,531,156,39,0,262,699,459,26,0,0,117,9779,530,168,32,0,242,11,521,68,8,0,85
98749589b0d72e2df95cdd2acd77b4ea8987f427,23246,536,167,44,1,314,12315,549,146,41,0,242,938,411,28,8,1,125,10946,564,177,41,0,257,14,538,47,9,0,92
7d9be09822ea8069bf727b1f14f15eeaab50a66b,23075,540,135,34,0,319,21392,567,115,38,0,303,22938,565,129,45,1,290,10312,561,144,35,1,220,10,541,61,10,0,86
bdc6dc339ff7156cfddf27c69ee79bd2438985b6,23445,519,123,19,0,292,24201,515,120,32,0,334,23487,552,113,24,0,322,17414,512,137,39,0,267,5,538,58,9,0,92
