sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCode instr,cleanByteCode project,cleanByteCode monitoring,cleanByteCode lock,cleanByteCode violation,cleanByteCode other
b558b1ad0664fa7ccd83ce9e47e029adda413d26,1489,1803,14679,523,0,983,1473,1862,15596,439,0,1410,1567,1882,14997,532,0,1015,1623,1881,15381,483,0,1254,25,2235,13080,648,0,839
9b52703a481b366f840c4f063f3bc054e92ef306,1512,1866,15212,467,0,1005,687,1846,13750,513,0,982,730,2176,13314,400,0,1139,567,1717,13640,562,0,1005,37,2145,14401,699,0,676
abf84e7ade12763f0913939be29e24a1773988bd,1502,2019,16042,517,0,1021,607,1655,13270,499,0,1038,557,1712,8621,225,0,815,432,1687,13481,554,0,1922,14,2339,13348,579,0,822
bfaeb2f64729e0755bb555845905d3d43a4d4f53,1592,1781,14405,526,0,1001,613,1692,13128,516,0,1108,539,1824,9291,309,0,773,401,2299,13473,586,0,1888,26,1959,13524,644,0,585
4346b2d3ce0f6c508df22a0d02b00445af8b44c3,1542,1888,15032,619,0,1033,683,1866,14877,511,0,1126,527,1169,670,9,0,206,405,2032,15465,604,0,1047,22,2141,14254,821,0,711
16f24958455e0b56753b03228aab223448395292,1500,1828,14745,522,0,987,599,1843,13985,530,0,1069,500,1180,645,10,0,212,432,1990,14024,583,0,1035,18,2256,12724,621,0,720
c339cc842e29e81e2bb2f946e92d8d3643f14b28,1472,1933,15810,656,0,1027,586,1839,13650,588,0,1137,504,1180,663,21,0,233,418,1752,14554,556,0,980,17,2125,13981,565,0,672
22419135272d09c01efa33501675efd621670901,1476,1910,14512,552,0,1152,692,1830,14315,612,0,999,639,1725,14427,605,0,999,1087,1896,14851,587,0,1190,23,2128,12656,575,0,707
5b63e1e4c2be1be0646fd0b7d697a854dd10dad0,1469,1633,15875,451,0,986,629,1633,13416,547,0,1017,527,1603,7826,164,0,746,443,2093,13999,633,0,850,20,2154,12484,539,0,654
76ffe66d9aaaaca2531da10a8a43394428ecf8fb,1516,1773,14626,483,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,231,2219,12093,639,0,784,0,0,0,0,0,0
f80e8bd4a45c4dbc1365f05c64abd68a238e0194,1518,1636,14414,489,0,1225,596,15107,227,180,0,967,212,1233,20,3,0,122,413,2174,12647,641,0,800,12,2091,12723,510,0,689
8ff4f16f49a7b0d6fb51bd7fbf05981d0af1916d,1557,1692,14495,489,0,1306,599,1602,12795,552,0,1091,500,1187,684,21,0,208,150,1649,13663,534,0,994,21,2199,12385,595,0,672
96c52ce7f3c4d50044ddf396777b613431698359,3286,1002,140,84,0,175,3290,975,170,77,0,201,3216,954,129,95,0,191,2890,964,150,81,0,199,69,975,112,122,0,105
9d76202e807c9fb79b4b6d0d8086fc0fc4415a11,1467,903,108,98,0,178,625,826,170,150,0,184,551,895,145,114,0,177,446,924,111,95,0,146,92,926,109,116,0,134
1640d4f52d6a2d6297b1f35a4899148df96d417c,1443,887,135,96,0,175,623,883,140,172,0,163,558,894,145,124,0,183,422,921,120,88,0,156,82,955,113,100,0,117
377eb0cb913ee9445f8b3773b5368ee078140c74,1505,889,129,86,0,192,610,909,125,127,0,176,574,866,142,167,0,202,860,877,131,106,0,158,68,922,115,113,0,120
b5b5755a361e64ccd1e432d4d226225fd87c5fae,1480,895,119,91,0,159,635,909,139,130,0,181,548,1188,24,4,0,108,483,920,96,103,0,140,93,927,106,106,0,136
1f4ac31a4992dd2d9c7655d213422d8607e0d605,1542,877,142,101,0,177,603,839,165,147,0,192,320,1182,19,4,0,104,475,903,130,84,0,141,69,928,107,117,0,136
