sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCode instr,cleanByteCode project,cleanByteCode monitoring,cleanByteCode lock,cleanByteCode violation,cleanByteCode other
995b10ba3a5bf15ceacecf92c64a8fa782023e98,12633,555,55,10,0,192,12655,509,49,14,0,208,11914,559,42,15,0,203,13427,563,58,13,0,208,13,402,56,10,2,88
78799a81c96d14ddc06e469d4e5fe00079e07120,12895,560,57,10,0,216,7853,458,36,8,0,170,606,318,27,6,0,108,558,403,53,15,0,100,8,429,41,5,0,79
e0cb224042974806977d8efc566f4720607669b6,10987,482,49,14,1,192,7354,446,39,8,0,164,619,320,29,7,0,98,601,398,36,15,0,92,12,386,43,12,1,91
37b5910ac6b6649a8430567089998ed57885f440,13004,731,44,13,1,192,12703,733,59,14,1,225,13070,773,47,13,1,226,1325,624,60,12,0,135,19,640,49,10,1,96
bf63a0d1edcf895778621e91cf6885e3a0ded013,12566,715,43,15,1,198,7673,648,45,11,1,185,711,527,29,9,0,128,573,625,53,19,0,99,13,630,48,15,0,69
1588187da57228e1bdee5f72f5cd36bc97f5b775,12394,722,57,11,0,224,7780,702,42,15,1,168,669,559,31,4,1,114,754,665,53,13,0,117,11,635,52,11,1,105
25adcdae8bb17c6ac02f032350ab52e0b2cfb0d3,12926,802,63,12,1,186,11796,717,54,17,0,196,12538,713,53,13,0,191,1006,661,58,17,0,100,11,626,47,12,0,93
ab030d3b556afae8113ba50b2a335ecf7a05ae19,11736,741,54,18,0,181,8265,690,57,8,0,168,669,555,30,6,0,112,807,648,55,11,1,101,17,633,59,12,0,88
95a34cbf988908f4f4b0ad4ad383bbc94e12d9f5,12624,787,51,13,1,219,8142,702,48,9,0,175,670,538,28,8,0,126,724,672,53,13,0,108,16,617,56,11,1,95
47c6da0c46021517ed19728249c986fa6c014542,11961,700,50,13,1,201,8039,677,61,5,0,192,665,559,27,10,0,117,808,633,60,17,1,118,18,648,55,17,2,97
04a79e2246aedfecdfe999a76e88b269854d9e48,12604,983,57,32,0,187,12180,982,62,24,1,194,13243,993,64,21,1,206,1610,875,52,20,0,157,14,952,52,21,1,106
ec1861a0d1a908baf6d94625c46059b588a97fe7,12734,1002,61,21,1,213,7491,868,59,20,0,169,788,802,33,6,1,145,651,965,69,22,0,105,12,932,62,19,0,102
bb3f28a3a01c2207d25fc11b9745f8fc6991a099,12408,1005,56,15,1,203,8110,917,58,16,0,168,802,797,24,9,1,140,690,900,75,25,1,111,10,908,66,23,1,89
1917d9d4003c489908fd021a1bfa6da5c631c679,12193,997,45,18,0,230,8116,964,56,13,0,176,841,810,34,9,0,127,1300,949,65,16,1,121,15,903,69,16,1,96
7746663f448edd616cc3b04c7f5699f8eb3f48b1,18649,3513,82,36,0,282,18577,3467,80,31,0,307,18516,3490,78,30,0,286,8978,3390,93,27,1,217,22,3426,104,30,1,117
