sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,jarThreads instr,jarThreads project,jarThreads monitoring,jarThreads lock,jarThreads violation,jarThreads other
3d5338b8680e57904440d860200d31f6a7579541,20776,962,548,154,1,625,20455,921,579,175,0,669,20534,911,534,152,2,506,19846,933,564,155,1,539,70,966,618,195,0,345
2fffa3091f578379e87509ef32ff637e0f518897,20906,918,535,134,0,566,9004,878,610,176,0,371,269,773,27,4,0,123,9542,981,566,167,0,498,39,955,635,200,0,316
43370ad7a73a3b18872bb54de624e0202b6bcf1f,20118,925,546,165,0,478,85,788,0,1,0,112,72,800,0,4,0,120,9888,1007,582,185,1,479,49,1007,656,203,0,301
869173dc53dffc6d7de53a317f9bc842ed1f6f9f,20073,963,590,175,0,482,11330,936,599,166,0,476,1670,803,24,4,0,150,1760,996,668,225,0,415,49,997,684,169,1,322
e2ebcf830d9622149689e73ba0da250e78edd136,19968,908,609,164,0,513,0,0,0,0,0,0,0,0,0,0,0,0,1774,990,704,212,0,447,0,0,0,0,0,0
3aa3e0a4c256249334a815e48d3d1ebf0efd0324,20012,942,563,168,0,491,0,0,0,0,0,0,0,0,0,0,0,0,1844,1013,676,208,0,446,35,974,704,193,0,296
e85d61d62521644dbbf1cada0566af35f8c49607,20129,937,548,154,0,475,10982,972,621,157,0,444,2188,789,40,9,0,138,1855,969,673,200,0,476,39,1032,691,165,0,329
8ad9ece9f00cc4c1bfc86109b3dd5e0ee0cae90a,21501,960,571,198,0,487,11280,944,647,144,1,442,2186,839,30,6,1,162,1934,983,682,196,1,437,59,1000,676,201,0,326
7f2e97908ca753dc87d0d78342aab9a6dd152cc0,20454,913,562,178,0,618,10953,950,609,172,0,448,2144,836,33,4,0,158,1901,1011,684,192,0,444,58,1016,656,202,0,326
e8b90de90c99106d76a8394d02317cf0a2e4c81d,20462,965,604,186,0,497,11931,973,599,175,0,436,2296,857,36,5,0,156,2195,970,654,173,1,396,64,1063,613,210,0,326
a2e04d538060d598565c1c781b7c1e14751afd17,21395,1026,733,240,0,759,10990,1083,813,209,0,574,1069,896,25,7,0,124,2835,1092,883,248,1,535,68,1079,866,238,1,341
482e8a4e8aa90acb951aa49e86e4f89ccb6039a1,21331,1068,762,216,0,773,11457,939,741,197,0,741,2324,876,30,9,0,153,2768,1053,827,257,0,539,63,1051,816,293,1,330
c1f62baf6fa13014982e8098fc3a22ffb592892d,20390,1078,760,241,0,598,11033,998,819,230,0,548,2056,918,42,4,0,161,2669,985,803,214,0,520,71,1072,879,231,0,368
32dbd8cadd41bf46dc0f8a02bf2b9b83fe0c898c,21311,1048,768,226,1,746,11006,983,809,233,1,548,1008,867,20,4,0,139,2797,1097,902,194,0,523,55,1072,858,268,0,333
f7e94f3b3a16d3f515c5e8f52f1c4552e2205701,21890,1084,749,259,0,678,0,0,0,0,0,0,0,0,0,0,0,0,2831,1101,870,241,0,468,0,0,0,0,0,0
c3432ac486ed955dbfcf6d277fd15c4af8b738d0,19950,996,631,194,0,566,10773,981,760,185,0,538,1107,849,23,10,0,164,2744,1025,808,224,0,461,62,1082,780,267,0,344
62163ccf9a569a99aa3ad9f9151a32567447a62e,21070,1020,681,259,0,711,9617,1018,770,233,0,537,560,857,31,5,0,138,2735,1076,832,230,0,493,66,1120,818,199,0,346
