sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
6f3a3b719164414c041a89e25ed30eab39b014f8,6138,141,30,29,0,131,6410,139,33,25,0,126,6316,152,32,23,0,135,6411,150,25,23,0,139,2,181,28,4,1,34
1b2955e501825f958c94b5589f4451630ccf7dcf,6028,140,25,2,0,136,4694,151,31,3,0,121,758,117,31,4,0,100,946,140,28,4,0,120,5,166,31,2,1,53
ef88f31f9e9b9ef75bcd0ae4aea94ef412baebfb,6432,145,33,1,1,130,4454,139,21,2,0,111,726,106,25,2,0,78,579,163,24,5,0,85,8,159,36,0,0,42
64e65af9f3679ea566ea8b3fdaa91f0812bd3b01,6139,137,27,21,0,130,4299,143,25,19,0,135,152,94,16,9,0,45,247,142,28,29,0,60,7,151,38,3,0,51
51e075c5d6284df128e6ae0df3a9fc33046812a2,6195,170,32,19,0,123,0,0,0,0,0,0,0,0,0,0,0,0,913,157,28,43,0,129,6,164,33,7,1,48
5bffe468993484854c3eee7761a7979a1d5d0cf6,5858,137,30,22,0,131,4659,151,28,20,0,103,669,104,20,16,0,94,312,149,40,34,0,65,4,163,37,5,0,40
59e1a40a98edd1e29781330a0368ba2d7e48679a,6147,148,26,23,0,134,4508,142,30,18,0,115,685,98,27,16,0,92,325,164,28,23,0,76,7,148,28,3,0,42
bf18d2bda545ce5a7a2d2218c7e8b0efa5d5c6d5,6296,160,30,22,0,133,4657,143,27,17,0,120,696,93,26,13,0,92,350,171,24,27,0,81,5,168,33,2,1,48
62c71b4ea375821ba8c9244f5504c25ddf35ce00,10077,93,46,7,1,410,11072,129,51,7,0,405,10639,106,49,7,0,387,5094,106,46,3,1,351,6,126,41,5,0,243
e4a4c20c1c5db9fdf3831c0f59326ffbd4ec87a9,10035,94,50,5,0,389,7811,99,51,5,1,343,246,93,15,3,0,173,262,118,51,16,0,284,6,122,50,3,2,243
