sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
98c48ea1415006b8a9302c0cdc100cd1ab899925,6700,6774,48,14,1,169,6484,6585,60,12,1,173,6497,6881,60,10,0,186,7090,6822,55,8,0,185,15,5859,51,8,0,81
e553d489636bbde683314ebd5a134782594eeb1a,6955,6880,56,10,1,175,4484,6336,51,5,0,162,339,5676,19,2,0,151,393,5853,64,11,0,138,8,6087,61,15,2,80
ce7b9aed692c8e16dff96c0ba7f692815a522329,6891,6750,64,15,0,158,6528,6584,51,13,1,157,6606,6680,56,13,1,178,401,5867,58,16,3,135,7,5872,56,18,1,85
8cd073c02a0cb19acb2dd5da23b4e76efaaddc5a,6669,6615,66,16,1,172,4595,6529,51,8,0,184,260,5804,0,0,0,151,358,6119,57,17,0,156,15,6012,68,14,1,86
6e794a46fc5966c579080b811c78305b01009570,6586,6950,57,11,1,181,4766,6586,50,6,0,161,582,6223,20,0,0,112,420,6219,59,8,0,153,19,6328,54,13,1,79
c77163782b228f908b14072f0bb6a30af34b6af2,6635,4402,58,18,0,176,4604,3788,59,3,1,186,221,3258,24,0,0,145,399,3608,53,11,1,140,5,3668,55,18,1,85
da51082874b43eaf0a7878042de51a80d8738d08,6303,3920,49,16,0,175,4617,3972,55,7,0,160,487,3312,21,4,0,118,367,3468,62,8,0,143,7,3327,71,11,2,84
7cc0747137b0625f75c72e5f451011fef8821c70,6803,4280,58,12,0,158,0,0,0,0,0,0,0,0,0,0,0,0,303,3457,55,10,1,135,8,3295,57,10,1,77
886eac0584ccef3d4bc3e92220a1c84e3abf75eb,6484,4064,46,16,1,199,4616,3736,58,7,0,153,580,3278,22,1,0,113,539,3347,60,15,0,170,16,3492,61,17,1,83
6404ef1f002ce88232249b054813f5e69165e696,6438,4068,62,16,0,173,0,0,0,0,0,0,0,0,0,0,0,0,805,3212,62,7,0,139,8,3354,58,6,0,86
a039b87192d05b4fdff1e5b7a9ec6eefec492c26,6475,4389,67,14,3,177,409,3416,27,2,0,158,116,3420,13,1,0,139,313,3465,70,15,2,146,12,3507,52,9,0,83
c450904fa31d36dc0cd89cb078394037588bd508,6717,4110,61,10,0,178,0,0,0,0,0,0,0,0,0,0,0,0,319,3394,66,10,1,137,11,3399,63,14,3,74
2af66c0fd889b912f805a316b2edb164714adaaa,6475,4257,54,13,1,184,4349,3781,58,7,0,181,151,3247,24,0,0,131,308,3535,68,7,0,152,11,3408,58,15,0,81
ab5a7fc04e55c1ba1e879d87e30e03eccd2e1788,6711,4278,60,9,0,166,4734,4046,51,4,0,146,535,3529,26,1,0,121,401,3331,51,16,1,149,10,3447,55,19,7,82
afd8e1a45fd65bdc17726da207ae051ef2ebdaab,6486,3836,58,13,0,176,4647,3822,47,5,0,150,597,3300,24,0,1,110,889,3082,74,11,0,126,14,3367,57,13,0,80
1cf7dd622cdd23038aac27ac5cf750a5a23696b4,6462,4226,54,9,1,164,4581,3750,47,4,1,164,549,3249,17,2,0,125,570,3327,53,8,0,138,10,3413,52,11,2,74
