sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
0b6b6a2ed3e4710a76a55aeac6e41a72b9ebeab1,14886,3496,54,38,0,305,14247,3701,58,48,1,306,15016,3446,61,46,0,328,15290,3737,54,40,0,296,6,891,66,11,1,104
a6b4031f9a574b9f7322194ec45cc6cc845a2da4,14500,3639,53,47,1,302,8817,2244,49,26,0,241,196,818,23,4,0,117,359,808,113,11,0,107,11,961,103,10,3,119
8d47d7d846e55d1eba6fbcb286909bb9e6c2b23c,14271,3515,53,48,0,312,8524,2232,44,26,0,229,145,821,18,4,0,91,291,776,47,6,0,95,20,1043,70,15,0,123
1c88a25efbdb7f9294b6f5e386debcfb51ade230,14483,3657,54,41,0,304,14435,3394,50,37,1,296,14626,3421,59,48,1,289,6233,731,76,5,0,203,7,952,89,15,0,129
a5430d96dd7af6eff5cfb0ae5fbab5e404f49038,14777,3854,54,50,0,323,0,0,0,0,0,0,0,0,0,0,0,0,4315,845,162,10,0,201,10,1097,73,13,0,128
979cbe8b2127495e5fd326ee05523924ac2f7ec6,14237,3745,57,50,1,307,8419,2340,54,31,0,221,186,783,20,1,0,89,278,934,147,14,1,92,5,1120,123,15,1,113
7159161974f3d2211a3185dd345976771bb6ef14,12007,6462,45,51,0,280,8535,7181,47,33,0,243,431,749,23,4,0,156,638,961,44,3,0,101,12,1007,83,9,0,124
bedb1d76063d1cd23be216e238e3e850e896440b,12369,19771,56,53,1,257,8429,4697,46,26,1,228,323,758,28,5,0,109,470,855,48,3,0,107,10,1010,113,8,0,124
0200591e68d89d1a1bcfe7f6f8145a43fb129542,11837,6379,58,53,1,286,8765,4767,47,32,2,250,285,746,28,5,0,101,235,795,58,2,0,96,6,975,98,10,0,127
a4142b9d31841aea41cb8d3560f6b4ba8e9ce9dc,12615,6896,64,56,2,280,12593,7034,48,40,0,281,12216,6454,60,31,1,285,4311,872,68,8,1,169,9,996,58,13,1,118
b5b316dd947356a40b4dc433dc9bf0cbc7f20fbc,12374,6876,65,30,0,280,8116,4826,49,23,0,233,288,754,35,5,0,124,286,876,46,7,0,87,7,1069,82,11,0,123
2f1033a0588c4f1b3cb69c2f4c66f3d02d4f1a4c,11977,7090,62,48,0,285,12474,6902,47,30,0,276,11866,6926,58,50,0,285,706,812,69,4,1,99,9,997,68,13,2,108
f1ab912108eec627afd45ac6ba4b3d34f9531aaa,14874,4239,63,39,0,259,9835,2960,46,22,0,225,323,782,25,5,0,125,388,902,49,9,1,138,8,1040,67,16,1,131
e680e98b2c0fa4f281c4889264781271f4342285,14794,4325,68,30,1,286,10347,3054,51,29,0,233,330,788,29,3,0,128,233,856,79,8,0,93,11,997,91,12,0,127
ab71efabaf1f1c4ddc955e813eec46a06bfe3c06,14691,3751,58,39,1,274,9857,2902,46,37,0,255,225,801,19,1,0,109,277,975,48,5,0,90,5,1059,70,14,0,122
29bf145d1a62492ad57ea698b97cbf7516b053d4,15128,4214,51,33,0,294,9943,2999,61,39,0,236,260,795,27,2,0,129,270,829,36,7,0,97,7,1040,70,6,0,122
c9258a07e0870398719537a0dcd4899cf6059528,14845,4055,62,49,2,259,15069,4011,55,50,0,294,15234,4422,52,52,2,278,6316,838,66,6,1,166,11,1001,64,15,1,108
8b03a3fc2899f03f1fd5a38af67ee2a3a6105c8b,15399,4260,64,51,0,277,10523,3118,51,33,1,234,331,791,25,6,0,132,346,918,58,6,0,85,10,1026,67,19,1,130
cb065e0459e8a2f96af5fc75d3a40e48cd4179fb,15366,3842,65,55,0,267,9609,2993,47,21,0,239,118,633,20,1,0,103,323,717,120,8,0,88,20,891,59,12,1,124
58933f01abcb1c913abb4dadda7a50cebcfa86c8,15664,4270,66,46,0,268,10485,3048,49,35,0,250,380,699,34,2,0,112,292,702,52,6,0,86,12,872,68,12,2,120
c44ca0051c4fd27117e54174b0d0f07cbc0aecc0,15616,4052,73,50,1,284,10186,2981,68,34,0,251,396,633,23,6,0,112,439,717,125,10,1,101,9,838,81,15,1,134
326352782b0ef56a31dcef08377a2cf34f5018b3,15432,4149,60,49,1,260,15411,4282,53,59,1,278,15301,4085,61,50,0,268,574,755,132,7,0,93,8,828,59,10,0,131
776c5e5f8415984c2d8400ee2f9738ebd7d5b37d,15403,4023,58,38,1,284,10545,2836,57,24,0,236,268,683,26,6,0,142,282,737,41,6,0,96,6,911,66,15,1,116
9ac7d6eb99b85782fb585ca2200b89b34dddcc6f,15467,4295,67,50,1,278,15380,4128,47,37,0,272,14975,3506,64,48,0,284,402,762,49,7,0,106,10,873,71,11,0,129
48914cf0436b93951720ff350f22bff06a849089,15397,4321,60,41,1,273,10710,3096,65,31,0,242,391,665,29,6,0,124,382,745,47,3,0,89,7,909,53,16,5,115
105eb88c47d0efd8800421c28f465c080ac5e48e,15445,4292,65,46,1,283,10117,3095,67,33,1,246,283,666,27,3,0,108,256,752,42,5,1,91,16,909,67,12,1,131
