sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
8a413067f0fa1fca5392740a538fd8b1276ba213,632,11,16,28,0,67,629,6,19,4,0,68,652,8,17,6,0,60,711,12,19,5,0,68,1,9,16,1,0,32
499f55f335ef36842d44b966416031fcc606a5d1,649,10,11,5,0,61,505,10,17,1,0,54,197,6,15,7,0,40,200,10,22,6,0,38,2,9,16,0,0,34
f359660f971aee4003b539bcd7cf0161974f8221,1389,18,30,0,0,66,1425,17,28,2,0,80,1389,16,33,2,0,82,894,12,24,4,0,62,2,13,23,4,0,56
e57507a2d2a55a073e49c34ba66079fe554e68eb,1416,20,22,0,0,82,890,12,21,2,0,66,536,18,18,5,0,63,653,14,26,0,0,63,3,18,26,6,1,59
0dbc32a2f0894cb6e0ebb47345f0c93e81098ea2,1424,19,29,1,0,72,883,16,25,0,0,70,537,23,17,3,0,61,359,16,23,4,0,49,1,18,35,2,0,61
4ec60c869b56723e941f9eb5ecdabbd7535aad94,1438,19,23,1,0,75,891,24,21,0,0,78,514,11,17,9,0,61,253,17,34,2,0,45,2,17,32,274,0,61
39da7e02834096d3a4cfbc3e5236de4d4bad9fd8,10478,171,52,8,0,170,11324,185,67,6,1,183,10524,172,56,11,0,166,9456,152,56,8,0,138,5,170,80,6,0,68
75c9556e4432afe896daeff3b73f299438eec8c7,10733,176,57,10,0,173,5463,158,57,11,0,108,519,108,23,2,0,72,396,163,60,12,0,84,1,174,59,6,0,62
8935f9939efc31b3acb874802dbd9e08306afd66,10601,172,58,6,0,174,5500,158,60,7,0,115,509,118,29,4,0,59,368,181,55,14,0,69,5,186,61,14,0,54
43624aa653b30d7667b25c37fa7e2de5f09acd8a,10350,170,60,5,0,169,5435,167,45,11,0,116,497,109,19,2,0,67,340,175,54,16,0,69,8,149,54,11,0,53
365758463762f2e9b83aa27e1df877d11797731c,11172,191,63,12,0,182,829,156,22,3,0,72,91,130,0,0,0,51,312,184,65,13,0,81,7,156,63,9,1,59
81791cbd50aff62a7254c3ff9cb1657a05e7d7db,9987,164,50,8,0,143,3510,147,53,11,0,114,102,120,0,1,0,48,286,174,62,15,0,71,4,165,55,7,0,66
e68ff53de73d6cdc14e54d87878d39302f4b6c09,10706,171,67,12,0,165,5134,157,57,10,0,114,630,119,36,1,0,65,670,180,58,12,0,114,8,174,73,13,0,53
3205f39ced771f4068dd36cfda78dc42dc3be65d,18992,305,67,13,1,207,17102,344,64,9,0,179,17642,346,72,15,0,201,8296,293,66,10,0,120,11,333,80,22,0,89
618eea344c257e82ca132b1954f73abd717e9f30,18824,309,85,9,0,189,17510,308,78,18,0,185,18012,348,65,15,0,192,7639,345,77,18,0,132,7,329,66,13,0,67
b610826f6f0363caac0413fbf6bef48b4100612d,26511,356,82,11,0,247,26676,343,78,10,0,218,27464,363,67,12,0,244,28453,340,70,17,0,241,9,319,80,10,0,79
cc815143e2bbcee8a4481baa6a803ea57b9b63ab,18553,285,78,18,0,209,17927,232,72,18,0,193,18391,245,60,18,0,187,18984,276,68,17,1,181,11,268,77,11,0,73
32e4a6ffaa7a02592e8b9623d67e284e67a6a451,17777,250,71,6,0,193,17428,260,80,11,0,184,18242,264,76,18,0,182,1147,273,78,12,0,96,8,269,65,22,1,68
