sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
83fa1c952215ae23799eb6b47f52e5fe2e2ae9d4,5373,72,19,2,0,81,6009,88,24,0,0,90,5680,69,28,0,0,80,5729,81,25,4,0,119,5,97,18,0,0,33
83da984ca26b59ee85d12a8a94cc26e464f1e8f7,5236,77,15,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,5447,77,15,0,0,104,7,92,23,0,0,29
f70cbf19abf0dca9de53d662800c8c5c17fad41a,6673,83,30,1,0,128,6208,88,32,1,0,110,6098,78,29,0,0,138,6838,98,26,3,0,120,5,93,27,0,0,37
1091a4c32c3d8a11bbc6d533ab23fce7c79d5cd5,6290,77,20,1,0,121,4688,70,25,2,0,105,303,67,15,1,0,61,6551,77,27,1,0,141,3,114,23,2,0,29
b3f243cd0a9b0fb53c217d2e3f195342c07af324,5844,92,27,0,0,102,5726,90,21,0,0,105,5807,82,29,0,0,110,5553,84,28,1,0,101,5,92,16,0,0,39
741c3d4b9d5aac016ea22e1274d2a3d8368bdec4,12746,200,32,0,1,145,13433,258,26,1,0,156,12485,248,31,0,0,138,13562,238,31,1,0,159,9,185,27,0,0,46
2ac9b9fdb9322f6e23dc55d923118525f05b941f,12925,239,24,0,1,151,0,0,0,0,0,0,0,0,0,0,0,0,4541,213,27,0,0,109,14,263,28,0,0,53
4804433fe4914a22adb0f77b01250c57a271fe0f,13322,231,29,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,4211,248,23,0,0,111,3,223,28,1,0,50
771d8f83e5ac069b007b2682fb8d0904a6815ba1,12872,238,32,0,0,150,1375,224,18,0,0,99,151,185,17,0,0,61,4594,229,21,0,0,112,9,234,24,2,0,63
1388b8786d12d39862069fdf8d92f2c14935f86e,12137,191,30,0,0,158,1336,216,18,1,0,101,163,185,20,1,0,50,4556,252,25,0,1,124,12,262,33,0,0,64
a90a3e459bb357e99c01ead9455bc6f5d1a7bcb3,13596,250,22,1,0,150,1390,231,16,0,0,103,129,177,16,1,0,67,4627,234,28,0,0,119,10,253,25,1,0,56
