sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
42fb97c38f16a211f9231ea1be926e771be0158a,4556,76,26,0,0,76,4907,85,23,0,0,77,5018,85,27,0,0,85,4859,83,30,0,0,93,3,84,26,3,0,27
cd27a2201f4e68b2011d0e9adb3c6d9b24ddd041,4634,75,33,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,326,86,29,2,0,48,4,92,25,2,0,39
cd1a4dfcf36e2358b00862dfb34e1b148dbc6f4c,4723,96,25,1,0,94,427,69,20,2,0,40,88,62,0,0,0,45,167,87,23,3,0,39,3,74,22,3,0,34
26bb9fa23bbdecdbd418d6ab91474c1861e6da28,4673,75,30,1,0,79,458,68,16,2,0,56,89,61,0,1,0,36,183,103,22,3,0,49,4,91,26,0,0,28
becbb1bbf8355e70a4a4a88d72c12e46cdb11626,4919,89,27,1,0,88,449,68,22,2,0,46,36,57,0,5,0,40,196,86,25,2,0,38,4,88,19,0,0,35
e6164825f2476dbdc1c52a40cf18933f9758b87e,5463,115,31,2,1,125,5426,93,34,2,1,125,5200,95,36,1,0,117,881,115,25,3,0,124,7,111,31,1,0,35
97a68375fc26f21655d380ed032be9ce6ebab4a8,5019,88,28,1,0,129,502,81,17,1,0,51,30,71,0,1,0,35,179,113,35,3,0,38,10,127,26,5,0,34
08363db033e064c12782ad374029ef9abea226d3,5095,97,29,2,0,123,533,89,16,2,0,58,105,80,0,1,0,49,225,102,40,3,1,44,7,117,31,3,0,37
cee296eea2cd50e62ff4d3ff6b9c6ef24e6d8b91,5309,104,32,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,171,121,31,4,0,39,4,99,31,2,0,33
5ba64cca53771984d5d73e4e8a6719b8b6dab686,5373,105,30,2,0,122,33,76,0,2,0,37,39,60,0,2,0,34,241,133,33,4,0,45,6,118,39,3,0,44
67efdffd6f3c2e646d84bcdecbebf432fc1afae5,5128,100,34,1,0,126,31,64,0,3,0,34,38,76,0,3,0,45,227,114,27,0,0,50,5,97,34,0,0,38
866f72dc2e7bfc548134fa2be86a392825ba04f7,5041,102,28,0,2,130,2573,94,31,0,0,90,38,70,0,1,0,41,672,108,21,2,0,100,7,104,31,2,1,35
00a78361d677eb2286258fb20f46551a4c8965ae,4700,86,29,0,1,108,2484,95,26,3,0,80,33,69,0,1,0,40,540,109,26,3,0,73,6,113,31,2,0,43
b99f46cc03072e6cf7d8c57e59f7665a4fae6820,5545,94,25,1,0,170,27,61,0,1,0,60,30,69,0,1,0,57,811,114,32,1,0,113,3,123,28,0,0,58
470fdf6a41cabb7edbb5d69714b2a4657fcc95f6,9141,182,45,2,0,198,8849,173,36,1,0,182,8825,182,40,1,0,175,8374,175,35,0,0,127,13,182,42,4,1,73
26cd1ee61469a46e5e786ec96e00d38ff4593180,8656,170,22,3,0,170,22,107,0,1,0,73,21,112,0,1,0,68,338,204,43,3,0,107,9,185,40,0,0,76
459f7b01e2cf39f5c75b9f1e02db17e2ec43f124,8887,168,32,1,0,173,3989,165,28,1,0,147,27,130,0,0,0,82,372,183,39,3,0,105,7,156,36,2,0,88
ef6525129496c020b9e5978ba8a572022ae7f9f3,9112,177,41,3,0,175,34,114,0,0,0,67,28,120,0,0,0,71,409,173,40,2,0,110,10,169,29,3,0,71
b687665b034890081b0ee5223e36ae99fac5fe09,9074,166,26,1,0,185,0,0,0,0,0,0,0,0,0,0,0,0,279,184,43,3,1,112,7,181,37,2,1,78
88ada822c8556aaeb13334c016c6d418cab62e66,8273,160,48,1,0,169,1931,162,19,3,0,154,257,123,17,1,0,105,263,189,38,2,0,106,6,177,39,3,1,78
bd8bf49443f734e9d21645e6807fca752625a8f4,10069,188,37,2,0,193,9708,212,42,3,1,171,9787,196,35,2,0,198,1451,220,42,4,0,118,5,167,31,2,0,71
39fe0ab5f8e4846340e88336e4d1129124157c54,9980,189,48,2,0,176,2027,185,30,3,0,162,39,130,0,2,0,82,293,218,41,4,0,97,10,204,38,6,0,76
7d7c4e5f5f90d53c971608a2ba6ac7e98e1cb8a7,9504,222,25,2,0,170,5094,170,31,3,0,152,274,146,17,1,0,94,475,240,44,4,1,106,6,202,37,5,0,65
ed86d03437b8e227810916507c7fdb96a7e6ec53,10627,188,41,8,0,203,0,0,0,0,0,0,0,0,0,0,0,0,6216,201,32,3,0,152,11,192,37,11,0,75
