sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
c1ae8247b9e9c5fa1f13a2b32e10edac343239c2,3336,226,41,4,1,148,3316,206,39,6,0,148,3658,204,42,6,0,157,3470,223,33,5,1,111,2,146,32,4,0,43
33e5055f2a555426f75ef369b6711a75b3480ba5,3295,198,34,6,0,117,615,145,26,9,0,69,134,100,18,6,0,33,3453,217,28,4,0,159,9,126,38,2,2,40
4b1e27cbf79d26834f8bc3a6b8318c7b0832eb79,3584,239,37,5,1,142,631,158,21,6,1,66,173,131,14,6,0,39,3467,222,30,8,1,146,4,121,42,3,2,40
98985bf0234db2f4bc3e9d7929b1cf7f33d8b471,3436,234,42,6,2,145,605,159,30,6,0,52,143,104,16,7,0,34,3659,233,44,7,0,134,7,139,32,2,0,41
1d5413904637b70649f5354762d19043445e1cd2,3521,245,36,4,2,141,582,153,23,7,0,67,173,107,17,7,0,38,3664,215,32,4,1,157,6,129,35,2,2,40
cb3a0b2030ccce48d38ae7f6a3fa01ef4733af2e,3381,215,28,5,0,136,623,138,19,6,0,65,165,106,21,8,0,34,3414,238,41,7,1,159,3,151,37,1,1,36
fa9d71c7f827be0e523950ad44d42d7d4b243c68,3640,252,33,2,1,117,0,0,0,0,0,0,0,0,0,0,0,0,3664,228,38,3,1,149,3,140,35,1,4,40
58e91fc8f4216ceb0d56612b973bac418382a16f,3523,218,43,5,2,110,2464,203,42,4,1,109,265,130,21,5,0,49,3599,208,45,7,0,122,7,143,42,3,0,35
8a41cf6785d7efc11cf6014ae7b05970f2a94d20,3539,280,38,4,0,127,2388,221,36,4,1,106,173,151,18,2,0,42,3708,234,35,3,1,114,8,160,40,3,6,34
6925e104b3726a278958e2ff2e4faae7dbcf7bd5,3629,229,46,4,2,129,1920,197,39,3,1,117,247,127,21,1,0,48,3752,250,50,3,0,167,10,159,45,5,1,44
5500d92c24d1b5a034e469fbf71c58ed78dd3763,3898,212,32,2,0,110,3917,209,44,6,1,127,3986,212,43,3,3,125,4022,180,39,5,1,133,6,170,35,3,2,38
32401f6f1199ad7cea265b49ffa41687a0121540,4152,235,48,2,0,138,2191,188,43,1,0,98,276,135,22,3,0,49,4000,231,36,3,1,144,5,170,57,5,2,54
b8405eae35ca5c8a2726e6ffdc68c05e0e217f0f,3735,204,56,3,2,134,2149,195,44,2,1,113,322,163,18,4,0,49,3802,198,41,3,0,128,7,179,53,3,1,51
c93ca1f100fb649825aa9a139e14d457e964b95f,3957,191,53,2,0,116,2126,187,43,5,0,99,278,141,25,1,0,53,3678,202,50,4,1,147,10,172,59,7,1,47
e9cc22c48026e8d6c76a637d9cb594973801e184,3952,214,47,2,2,135,2089,201,40,5,1,101,287,136,23,27,0,51,3842,198,45,0,0,130,7,198,46,6,2,43
1e3a0c88aeeb7572d0743f5a2260633b46a8f0ca,3677,189,55,3,0,125,2153,215,35,6,0,103,206,144,15,2,0,47,3964,238,53,4,0,156,4,170,52,5,1,43
60fe0965c3c9267333bfc3264c0f4693b06513df,3888,209,44,6,1,113,2131,207,39,4,1,99,329,152,17,3,0,56,4020,199,39,5,1,130,6,167,49,9,1,43
0afcc508efe985857345ede0f2d3478f5ac0af28,4143,627,45,4,1,129,4105,629,58,3,0,119,4192,622,42,7,0,126,4753,685,47,5,0,117,6,597,52,9,1,38
72583c5da6bd23299c6574fc287d728e4eef58ce,4138,2276,49,9,1,122,2233,2245,45,8,1,125,312,2220,23,2,0,58,4120,2293,56,4,1,121,7,2245,61,11,1,46
417b867fa9b5c9c1fa1a7134289eed2cb94902bd,4130,2244,67,11,2,120,2208,2259,39,6,2,124,327,2182,23,2,0,60,4168,2325,60,4,0,156,3,2247,47,7,0,48
