sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
9435e5252e70babd05539c857f0fce17c9c7cb3d,16992,1086,203,108,0,287,18308,1124,192,112,0,254,17632,1105,213,97,0,255,19446,1144,200,101,0,293,23,1227,206,106,1,112
f2d1889c11e6abc68d1518ddca8c6870ae47e300,17783,1119,205,104,2,292,12437,1095,166,119,4,252,1000,1023,31,5,0,144,277,1201,198,115,0,139,8,1123,214,128,0,127
e2a67fc8b3e1568e60a01da44a4f551cf0f399b8,17960,1081,195,133,1,271,12406,1165,207,80,1,243,1013,1029,35,7,0,132,290,1223,205,135,1,150,15,1229,221,111,4,117
554a524af2d2b30d09505516adc412468a84d8fa,18082,1098,201,128,0,282,16509,1136,184,116,0,264,17794,1106,185,124,1,281,6024,1080,200,115,0,230,13,1177,209,105,1,102
3a144732ddd24e4b1fac3e3d9cbd0370314e48d6,17945,1087,167,115,3,277,12930,1113,182,103,1,259,1034,1047,28,7,0,125,291,1247,194,111,2,162,14,1190,246,89,1,109
bf1b3b3f9ccf965b8a5dd5f38e63274dfef5378a,20052,1246,215,127,0,323,19894,1185,196,136,1,283,19308,1199,237,113,1,286,6709,1256,258,101,1,243,20,1264,243,98,1,171
873df3755f00cb12119a8646fa0a1ce0cf431c8c,17540,1078,195,123,0,281,18190,1098,203,101,1,260,18572,1149,222,99,0,251,325,1168,226,118,0,145,18,1208,207,96,0,121
e83fe79a4083496dcbf87e29645e4dbe578957f0,18428,1097,222,119,1,292,12449,1068,176,116,0,240,1149,1022,25,7,0,138,390,1170,205,127,0,178,13,1170,239,102,2,113
322c261bbb6fd36162716abc3474e44f03c9a796,18373,1124,203,118,2,260,12307,1075,172,104,2,256,1154,1025,31,9,0,143,319,1210,253,97,1,144,18,1172,226,117,1,105
6e0d8beb6fe1b3242ab1904065d8bd29d7da2e00,18218,1102,202,105,0,294,9826,1111,181,86,0,231,140,1054,18,8,0,98,249,1183,229,97,1,147,21,1196,229,120,1,124
b2bed20f32897bd7f582a1752ba0a5f2a6799191,18235,1162,207,119,0,270,19931,1294,248,101,3,277,19720,1185,213,144,1,276,324,1277,249,149,4,131,11,1285,236,133,3,143
b72cbaf5080b37c3c2bed2bb7ebd0bbb29183fd0,19555,1200,224,108,1,266,13586,1176,212,98,1,279,1157,1096,34,7,0,165,406,1275,267,119,2,167,16,1252,238,99,2,162
5b301ba50d647d4993635adcc3dc9eca0745f0c9,19142,1149,222,121,1,267,12292,1222,210,99,0,275,34,1104,0,4,0,80,224,1252,274,111,0,150,13,1323,240,104,2,178
084f488f87a12de0657400c066a71c3b0b4b36fd,19551,1161,238,117,1,295,13495,1189,200,110,2,266,1147,1133,32,6,0,145,262,1298,229,134,1,154,23,1292,255,108,0,168
10d22fcb31027635156e722e62685a1932fab515,19696,1194,197,125,0,270,13365,1170,182,139,0,254,1237,1095,28,6,0,141,602,1236,216,126,0,184,9,1294,251,132,1,167
46a4d9e300f90db33758e2d058ef5ade9b094aae,19400,1230,214,123,1,278,0,0,0,0,0,0,0,0,0,0,0,0,485,1264,260,128,3,150,0,0,0,0,0,0
997320f3270e3189b7bf2c960624f3f7a6c340b0,17672,1142,157,721,2,258,17437,1158,156,691,0,285,17449,1142,159,697,1,290,7614,1212,153,530,1,210,21,1248,164,385,0,110
