sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
217db4c0b2f1791ca4f22ab8c1b01d476073e7d2,21172,402,588,127,0,610,22853,431,604,143,0,644,20982,412,649,111,0,639,23002,423,676,129,0,686,51,433,739,170,0,359
eaa19527f19574b8092c5f459c401307d693b21e,22227,419,619,162,0,620,22520,408,585,149,0,627,22687,444,648,122,0,611,3033,450,713,159,0,438,51,420,778,130,0,346
0c41c0bb1def5c9e0042d7d0ca91f511a661aaf8,23891,455,627,145,0,635,10381,418,623,135,0,443,398,325,17,3,0,83,2427,444,752,141,0,477,55,409,757,165,0,346
4144dd7979d6ec6094277b0d24ee8d7b387b2f4b,23014,414,658,165,0,678,23054,437,658,155,0,697,22004,434,661,146,0,668,4505,413,602,156,0,338,55,431,736,154,0,338
be23c3112b0f5934b93039dc3617d85f5ec86ce6,21861,468,600,151,1,694,9602,413,667,131,0,571,272,327,24,1,0,71,2536,452,718,164,0,441,41,418,750,170,0,358
66eeff41db4770c1a4d16e82634dc4b5050405d2,21333,427,595,189,0,606,8989,411,634,130,0,463,279,309,20,2,0,82,2701,432,707,154,0,437,53,410,772,141,0,346
0feea3bf328a33f8f7c6947d7345f29e6fe2331d,23361,467,659,143,0,610,9762,432,670,142,1,485,264,338,19,0,0,75,2642,445,678,148,0,417,38,421,743,188,0,387
97d082473ab4213047ef6883e6e2f57b7d54419f,22523,445,665,144,1,617,9115,388,666,127,0,379,271,330,18,1,0,79,2660,466,745,137,0,532,54,411,782,141,0,359
ca9f3d013a624f6980daf2db01ffe852f046741d,22719,420,682,148,0,676,8915,371,643,150,0,427,264,323,20,0,0,84,2724,458,713,136,0,506,49,440,753,147,0,332
bc7cd9e91a9bfaba0c91fc152ad65ee9063de7ce,22716,442,641,151,0,677,8991,377,598,134,0,392,280,293,25,2,0,75,2797,440,722,154,0,562,48,437,742,161,0,347
63c56465264cb5d5a60e1cb2635ee1432fc46bd1,23357,421,610,143,0,654,8999,386,630,152,0,431,269,325,20,1,0,80,2880,448,724,163,0,475,48,420,742,138,0,359
d50289d33b91e720643849ace60230ff23d5475b,22598,430,639,145,0,669,9213,405,637,143,0,398,281,306,27,1,0,75,3049,462,691,143,0,463,44,419,775,137,0,362
d6cd0c7658c8ae67e42887b40eb53b82ff1171a9,22197,430,585,190,0,637,9328,406,690,131,0,455,324,323,20,0,0,76,3074,439,737,168,0,456,58,391,776,137,0,340
ad827705db67eef6551c819bd9ea1b89eff672e0,22612,421,627,167,0,633,9407,398,663,174,1,597,298,301,20,1,0,79,3174,414,681,159,1,415,45,401,756,155,0,373
80b49db935d9c982b8f35f017f2a4b1dda41d009,22731,444,650,124,0,653,9035,391,626,148,0,446,228,342,17,1,0,87,3104,440,745,117,0,436,32,443,783,157,0,352
a1ff9fa55e36b9c7c12e04fed2149689a622d185,22982,432,678,123,0,627,22417,428,627,131,0,580,22198,406,619,178,0,626,3118,448,714,148,0,462,51,416,762,159,0,353
755ee2863d73b80261dcbbdbb74f2e9cd7d5da97,22545,415,684,202,0,643,21795,419,642,150,0,577,21507,427,661,152,1,657,6180,447,689,156,1,512,37,450,770,181,0,332
438aaeeae2128d9bf6f4e7db2236bb8d61f32f44,19984,433,699,169,0,662,20491,464,701,198,0,718,20093,428,765,161,0,736,23247,443,699,172,0,616,54,453,819,189,0,378
