sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashes instr,storeHashes project,storeHashes monitoring,storeHashes lock,storeHashes violation,storeHashes other
c3083f49884b0b11d5b000b64eee96c3bf8cdd00,17277,292,111,34,0,253,18038,282,124,28,0,266,17365,300,108,24,0,230,17685,265,121,31,0,259,13,232,122,24,1,184
fac5e3d48a9f5fade7e2ea2f14ce3224de4dbe90,17649,287,113,25,0,254,8213,263,105,21,0,205,712,217,18,1,0,120,756,279,112,32,0,160,9,306,141,23,0,157
1fcbd3a23ce621b4b8ed448cda66238e779ff020,17932,294,107,27,1,271,8334,281,114,21,0,215,748,218,18,2,0,140,661,302,118,32,0,155,21,274,136,37,0,174
956a9b30ee71a54bcd40e981d9f3d3919f27939c,18208,281,119,29,1,255,7606,239,113,19,0,188,418,176,22,3,0,109,618,263,134,30,0,154,16,315,153,24,1,168
ecae46a87f3920ae3a1c9311e828cdcfd23bacb0,16520,247,105,14,0,225,8101,263,109,16,0,217,518,230,23,2,0,139,735,275,132,39,1,154,11,271,136,34,0,173
70b8809eebad7ebdcd9b7ed6f1ddd99ea1e30cb6,17253,300,115,26,0,251,7819,278,107,23,0,206,474,207,21,3,0,130,750,271,125,27,0,150,17,268,148,18,0,158
5e144b84c2052b42baab2a9fae900af0d523edaf,17934,322,114,23,0,247,8020,311,99,25,0,212,497,229,26,1,0,125,706,254,138,26,2,147,21,275,144,28,0,163
1d61d8243f0f9a5f0b9de0f7df6201b92d15024e,16701,289,122,23,0,263,7896,290,118,16,0,192,457,236,20,3,0,122,742,297,134,35,0,157,16,290,140,27,1,179
5125549558dd8d59df4ed2e990fb6cd3334fb5ca,17460,282,114,20,0,263,7577,266,119,21,0,195,406,206,23,2,0,135,739,312,135,31,0,154,17,283,148,22,0,189
6ac486614ab877d6971dec2b43157039bf7978f6,18074,273,117,25,0,249,7399,229,95,19,0,168,431,218,18,1,0,127,756,322,135,29,0,184,15,277,133,25,0,169
dd82aff217f12ef66fdce3b18b963becc0734435,17344,273,93,27,1,257,0,0,0,0,0,0,0,0,0,0,0,0,730,306,128,38,0,150,0,0,0,0,0,0
9145b3c51440fc3594cfd22e1b9aeb7221b552c1,16364,244,108,25,1,239,8337,274,119,32,0,205,440,221,18,3,0,126,777,310,140,29,0,164,14,268,133,27,1,167
a93ea4925ebf06f67e1efc7a19cf21bd5d94bd65,18533,271,109,35,0,286,7949,298,120,24,0,189,440,199,18,2,0,131,748,263,130,37,0,149,18,287,128,36,0,170
9b696806c08e6fc9deef5aeb8bedc03c51606561,17404,290,111,20,0,229,8688,268,121,25,0,196,457,236,29,2,0,103,793,304,143,32,1,156,14,288,160,26,0,170
b02dd3e1468a48f4763902002b5a390d47b606fa,17246,285,106,25,0,250,8502,257,127,19,0,216,426,204,28,3,0,127,719,287,116,32,0,135,15,291,125,36,0,182
8fa6c285eaf39a69ac368e3e1c2778ac2c33fa5b,17087,268,132,13,0,286,7843,216,109,16,0,206,449,193,23,2,0,126,625,320,124,34,2,155,8,288,138,42,1,166
21d0c13d749e34793dde913345daf23e6a08be00,17944,299,117,27,0,261,7655,259,110,27,0,223,426,202,18,4,0,119,714,302,127,38,0,141,15,296,148,35,0,157
ad86bb6b5138a03dbbd64517f4a283aa01fd9593,16868,287,123,25,0,268,8044,263,112,19,0,200,440,224,21,1,0,127,659,292,128,26,0,128,12,299,168,28,0,165
3d61b585c6dc8cfd465e2d0ef0b7a0e7fba950b1,17898,292,125,24,0,236,8074,279,117,34,0,195,444,218,21,2,0,122,658,277,131,31,1,143,14,284,138,32,0,186
9ea7b79a55e4c9d31ca061858aeca3d22a605ed5,17238,261,129,20,1,277,8300,263,111,22,0,207,719,251,18,3,0,130,734,280,133,29,0,154,7,295,134,32,1,180
239ac22ec54e6585b2a92f554e255cb16baecf5b,17245,247,120,20,1,224,8545,288,131,23,0,211,414,234,25,1,0,132,652,276,136,40,0,127,12,298,133,35,0,172
956922200886b753c57587d59900ce4e740ae775,17183,257,101,22,0,250,8059,270,99,29,0,193,735,234,17,3,0,126,726,274,124,37,0,155,14,248,156,30,0,153
