sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
18260e1ccbdb5fbf03fe752940193ffc7184f8b8,6805,101,113,19,3,274,6559,113,130,14,0,319,6488,130,140,19,2,311,6387,130,119,16,0,314,21,123,244,65,6,282
d5bd3a2f66a9d92e5b222303e2247b5c7f5966ca,6626,98,113,11,0,289,4417,96,122,14,0,261,563,98,55,1,0,214,634,110,130,15,3,252,21,100,206,42,6,251
11da199bb71f0496c2c00ea637bab089bc846603,6662,124,134,10,2,309,3623,110,115,10,2,266,229,91,16,0,0,196,433,120,124,15,3,251,14,103,211,30,1,282
620dd34a6b7bff998c56798adcae0c53903b552f,6695,101,118,9,1,283,4312,114,117,13,1,263,265,102,21,0,0,208,356,118,112,13,2,255,22,116,222,45,7,275
fc66bc6ecc3486418f63bbe35654a647b6039277,6532,105,108,14,1,277,4233,107,111,10,1,265,355,100,35,0,0,202,492,119,112,18,0,257,19,106,201,40,7,267
69b6f7f5b7b7a1597283322ee0c079cd51cbc196,6052,98,109,11,0,249,4262,116,113,12,4,256,373,92,38,2,0,190,505,111,140,27,0,255,17,105,238,40,6,277
abee8a0459dbf7651cf8c0ef9fb5018e85c387aa,6549,127,119,11,2,289,4213,106,106,9,1,280,383,100,39,1,0,195,395,107,127,18,1,263,12,117,206,53,6,252
a9605415da2153729f375cefa155230d402ab29a,6659,118,141,11,1,276,0,0,0,0,0,0,0,0,0,0,0,0,348,105,133,13,0,231,18,103,215,46,7,273
aca383f00275e55a479d68c9ac72e3eebf9dae3b,6963,120,128,9,2,264,4290,133,108,11,0,261,376,97,44,2,0,198,411,110,122,16,2,285,12,92,223,35,2,259
7b5d0c91522cb9e5ec0bb01baa4ffafd3ea6affb,5852,107,123,8,0,249,4260,122,110,13,0,256,246,95,20,1,0,188,336,117,133,19,2,264,17,123,213,47,5,264
9430f0c7b202e3b8c0db075eea217a67a49771d6,6877,114,112,10,0,320,824,102,23,5,0,272,0,0,0,0,0,0,348,120,132,23,0,236,0,0,0,0,0,0
b334963a55a911b63ef46c7be8e8cd0490417982,6632,112,133,19,1,296,4413,102,103,16,0,270,254,96,15,2,0,230,429,107,130,16,2,275,15,133,212,44,2,268
98f43f71bff9df873f41629810016f9d20b90e38,6540,113,124,13,1,286,4091,102,92,14,0,259,338,111,36,1,0,196,413,131,114,20,0,237,13,118,227,35,6,255
ed9c27b4231e747213c60581f2dd2864dae5496f,6726,106,114,15,0,285,4400,102,120,18,1,264,381,100,35,2,0,204,430,121,114,15,2,249,16,107,212,40,4,263
bc24abd8079234533f1f4bd5d6c7c8af50448ca8,6791,129,135,11,4,302,4001,95,79,11,0,256,383,108,42,0,0,201,560,115,123,17,0,264,12,105,203,43,5,252
757ed8182ced049e266a82c85cdf317db428c83c,6559,105,121,12,0,296,4455,115,112,12,0,278,348,94,35,1,0,199,493,111,122,16,0,249,15,120,203,45,6,279
588643a53afb09e8253888848945542f81f424c1,6395,121,116,11,0,252,4452,118,105,11,1,271,357,95,42,0,0,212,401,114,147,15,3,250,21,109,210,32,1,284
7f8e5e5833b87a3c0a190fa0ecc045e1c90fbed0,6557,131,126,11,3,283,4839,115,121,13,1,284,510,102,40,1,0,221,706,123,131,12,1,264,16,100,204,50,9,261
a968c4881c091fbbb407d74eca3a2d20af87b4eb,6682,118,125,11,0,295,4776,124,111,15,2,270,518,100,49,1,0,183,465,107,124,19,0,236,20,105,222,37,5,267
ccc13be1d8971ad63b0d47293ea9241962f7e0e1,6959,119,127,21,1,299,4635,116,125,13,1,268,503,88,36,1,0,207,397,118,130,17,0,262,13,115,202,43,6,273
f548e1d946e3e65585051a63af546b1d5b93a441,6801,106,124,14,0,288,4817,106,117,13,3,270,483,96,35,1,0,219,478,120,129,18,1,232,12,116,205,37,4,283
43404b142f799ce1c503daea97da0538d7160798,6348,104,119,13,0,282,564,109,61,0,0,196,139,92,15,1,0,190,363,119,126,22,0,272,23,126,220,45,8,262
60df018d04cb8c721b89afc8810d6cec4785e372,6763,126,119,14,0,312,3966,106,122,10,1,268,128,103,17,1,0,214,356,136,138,17,0,255,15,101,212,41,4,285
98e7c5dbe4d84191a597f7c893178ec0b225f43b,6567,121,110,18,2,292,4781,117,120,12,1,281,275,97,15,1,0,202,360,120,132,18,0,239,25,110,200,43,6,269
8a64213bbd8be24d248c2594317ce81915df42ed,6833,119,121,12,1,287,4878,113,103,14,1,273,541,95,33,1,0,227,511,113,152,14,0,243,16,113,228,51,2,251
5cd9ca272355892b0d4cd29eea92dc46cf5b0bfa,6564,107,124,11,1,284,4922,120,110,18,1,254,536,96,40,1,0,207,464,113,139,12,2,247,15,114,196,59,4,252
6b50e6767cd00834d30cfaed35a177111bd985ae,6389,108,113,25,1,279,4828,104,105,15,0,262,531,102,37,1,0,229,498,127,110,20,1,240,16,110,200,57,5,275
274383e0804cf329efcc6e20363e4ebf40e6f889,7170,114,113,9,4,278,7504,119,126,14,1,317,7289,124,122,16,0,284,436,106,130,12,0,263,10,126,231,42,3,278
9bc3611ced184c47c62bf6a536dacf6c9ac76056,7255,121,125,19,3,305,3969,96,114,11,2,220,268,92,16,2,0,218,475,128,136,24,2,261,19,105,220,52,3,247
b212358d39dfc3f27329ca75ae51492a0a90a7e1,7312,129,133,11,0,315,4502,128,100,12,4,297,520,90,48,1,0,236,533,112,132,24,1,258,17,120,217,49,2,274
c87191dfc90098c5c8b8bfe4488c97cf236cae46,7218,119,124,13,0,280,4500,103,135,16,0,273,300,103,21,0,0,206,368,124,131,11,2,281,16,113,209,47,5,279
8b37d7266d103ba926eaf8bba3091813ff6366de,7293,104,130,11,0,275,4452,85,89,12,3,248,532,92,37,1,0,238,484,117,141,13,0,238,18,112,219,45,7,270
ad072dd5218e37ab8e3f130a638e17d313d3a38a,7170,110,102,18,1,280,4314,121,110,10,2,276,268,87,16,1,0,202,457,119,126,18,0,265,15,110,221,47,3,269
325331efce79867d993288734baca73835365b56,7341,123,123,11,1,328,4383,119,113,14,1,271,282,98,17,1,0,215,461,121,123,18,2,248,20,115,205,52,4,259
8feb6c9548c9913dfec8237110125bf1c253741d,6992,115,112,11,0,279,4072,118,105,8,0,249,303,99,18,0,0,183,358,154,130,13,0,247,19,122,206,61,4,268
1ff6ad702bf4e534be62f13d662d8b1683e770fd,6958,127,123,11,0,301,4182,120,96,12,0,265,534,105,40,0,0,232,387,119,122,15,1,252,14,112,209,52,4,263
12dd5c6cc1cf9db67f2ee77f6f3fec05cd1d97d4,39425,432,236,43,4,626,41473,418,222,42,5,643,41136,437,235,40,2,641,29098,457,227,40,3,581,17,313,168,30,3,340
c06ee44be2b29ecac2195d6847862d907c4049d8,39092,399,233,39,2,606,22247,407,209,45,0,500,654,320,65,0,0,309,688,446,236,54,0,423,10,327,189,49,2,349
7e81fea8f53bab9a536898c9adb28c20fe936496,41536,465,252,40,1,653,22988,427,236,35,2,508,352,310,37,1,0,271,629,432,217,53,0,377,16,337,189,40,5,351
faece266ff48a79f85f7d44c4c9f75676539a409,41753,426,248,49,0,638,20189,416,223,42,2,476,182,332,46,0,0,265,500,448,246,45,1,403,12,313,206,57,3,338
