sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
8a148f0845336fefd69d60a054695c6b5f3626f9,27224,413,50,2,1,263,24983,390,50,4,0,257,25686,400,47,4,1,256,27610,418,45,10,0,259,6,391,57,7,1,85
130f01463d35c6258d25339945117732f4b52516,26630,390,48,10,0,279,6948,289,39,5,0,133,105,285,0,2,0,73,338,401,51,12,0,72,2,391,42,4,1,76
e2879c1dd2ee25e5dee7bf1bf5fc01575cf64a97,25473,384,40,4,0,279,0,0,0,0,0,0,0,0,0,0,0,0,321,429,51,8,0,84,0,0,0,0,0,0
8e77f963cbc0c688649504b95cc29bf09e4574c1,26145,405,39,7,0,275,0,0,0,0,0,0,0,0,0,0,0,0,271,415,65,8,0,85,0,0,0,0,0,0
cbcb094b9bbf190984564392f2ee0803f2d5f87b,27388,406,58,8,0,274,16454,428,49,9,0,220,188,305,24,0,0,66,396,406,59,10,0,93,13,420,53,10,0,73
d311fa0ccdfd6a3fbfcda59d8dd745e48d8d868a,25167,389,55,5,0,276,26899,439,52,5,0,279,25952,420,52,7,0,260,8493,353,53,8,1,158,9,416,46,12,1,70
6322f2e2dcd6013eb3d22f14e28c036fb35f75b9,26907,415,45,6,0,255,26955,433,61,5,0,280,25851,405,51,0,0,270,304,439,55,13,0,68,11,412,54,9,0,82
3e279e43dc87a67eef212c5325b9df3b80b3587b,27605,416,56,2,0,296,27003,430,49,2,0,261,26429,400,48,2,0,269,302,449,60,11,1,96,10,377,55,7,0,67
1b078592e738801f3fe84975a1b50360e275ce47,25519,400,42,4,0,263,26525,441,47,7,0,270,26203,387,49,6,0,270,612,427,49,7,0,122,10,398,57,5,1,72
b27b9f782d87244fda4ac8b5e58a297375992b1b,26008,423,44,7,0,290,16443,391,53,8,2,221,147,318,17,2,0,67,287,439,48,6,1,118,8,409,59,5,0,72
35781cc857d22160c77fc6d80686fabf3ec65af2,27101,397,42,11,0,271,15454,413,38,5,1,232,166,292,18,5,0,66,310,385,53,8,0,94,17,385,46,4,2,91
9b83e0ad4b3ff209c468af9c204ec1b900b75fb8,26329,395,34,3,0,275,16516,411,46,6,0,236,268,303,16,0,0,75,311,436,50,5,0,102,7,410,53,7,0,78
b6291a9712d1976dcef34a053f8ddc08719f0d85,26996,438,54,7,0,272,16033,435,39,3,0,219,274,300,17,3,0,80,311,392,57,6,0,97,13,383,77,4,0,79
408e5ce0131b11bda5d0efaa2bdaef3b7dc10b16,26331,436,41,2,0,266,15375,367,31,2,0,202,260,310,16,2,0,79,301,435,55,11,0,102,14,381,48,7,1,67
9f8a85135c9ca1cb2be7ddc810505f31087a5579,25395,413,42,3,0,258,16360,420,47,4,1,216,213,306,16,4,0,71,336,427,49,3,1,101,10,382,54,6,0,80
4cae9898d1fa100ce2d61249cfd8ee3a46d0d051,26812,431,41,8,1,252,15560,423,38,6,0,232,417,301,26,3,0,85,411,432,52,6,0,113,9,407,48,6,0,77
5c2e6b0538d2059e9d8ab31a4584e8cf904211ef,26320,406,48,11,0,281,16744,400,41,4,1,230,136,298,0,4,0,69,307,421,53,6,0,110,13,402,58,7,1,69
f997f7e03bda372f0175b52ceccc8a37e1467e90,26694,384,37,9,0,274,15884,405,43,8,1,223,216,320,19,4,0,81,327,425,69,8,0,97,7,410,46,9,0,76
2cd8e9951f92b79a0d3fb31385bf1243e78701a8,27669,436,43,8,1,275,15766,383,49,7,0,220,128,297,0,3,0,66,287,447,57,4,0,97,4,384,45,6,0,69
ba9fd95be1121423d902f48cf4156c6aa60aaaec,27767,439,47,5,0,284,15845,392,50,7,0,217,213,307,17,3,0,78,363,422,56,8,0,98,11,400,45,9,0,77
