sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
bd5243156217183e1fac0f29f82a16bf83191a18,5127,115,83,346,0,164,5212,128,83,326,0,168,4883,114,66,306,0,159,5567,138,80,386,0,167,9,113,82,45,0,69
cc78fad3acfbfc059aa105c24390b33bf5549fb0,5241,121,72,338,0,170,3177,116,60,183,0,103,1281,89,40,114,0,90,323,148,75,37,0,63,7,142,93,58,0,66
3a26b4eef29893153bfb0e1ed0f8389ec9e5fdb6,5385,120,69,378,0,144,5312,113,86,353,0,173,5226,117,82,342,0,164,351,110,82,38,0,63,8,120,85,48,0,73
c740e6b4c80ab9e6162a39dcc280b22429e0279b,5257,128,70,382,0,161,5346,105,62,423,0,157,5261,124,79,413,0,170,2502,113,73,229,0,127,6,112,84,41,0,68
ebf0f473e2af95c744d953e2a6dc95b6fc38e09b,5109,129,68,417,0,149,3422,108,56,244,0,99,1267,88,34,110,0,82,590,122,78,54,0,123,8,116,89,45,0,65
c20a74f4ebc41a6318e6e3e77a5091f3d7ad105a,5433,113,85,412,0,163,3071,112,49,237,0,102,977,91,35,135,0,94,342,143,84,66,0,66,8,138,96,49,0,81
8e59e82e2223034b952d4c7ba7d07de1d732cf8c,5076,104,64,401,0,164,3322,110,63,243,0,110,1295,104,26,130,0,80,659,122,78,41,0,132,6,142,78,47,0,62
4abc1c95f9ad92f1894c839ffad9e13b7afdf0a1,4756,94,57,364,0,166,0,0,0,0,0,0,0,0,0,0,0,0,205,137,80,52,0,67,8,145,87,52,0,84
a5eedc48923a7d3a88d1e2696994e0e8cec20af4,5251,115,68,413,0,152,3304,127,74,246,0,98,1307,92,36,121,0,78,527,132,89,47,0,88,6,131,69,49,0,73
11e3878768837c2263c73b698b1d1f5752be6de9,5210,114,84,413,0,174,0,0,0,0,0,0,0,0,0,0,0,0,327,128,80,38,0,69,8,144,82,47,0,63
46dda6528dd6c26560673e827c2755e1afd20180,5100,119,78,384,0,167,36,83,0,14,0,62,32,86,0,14,0,52,314,112,76,42,0,68,5,116,77,43,0,69
286a2eea43b630b9b281e4950b0e55f6184745d7,5280,121,69,399,0,180,3425,125,73,231,0,85,1321,98,42,119,0,75,588,139,88,50,0,132,9,145,73,56,0,70
4aaa90ce4cde75bd650886ef51e4d9915dae48af,16589,258,159,475,0,207,15483,254,107,433,0,222,16787,246,131,385,0,214,17460,286,143,446,0,221,11,260,157,72,0,76
