sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,storeHashes instr,storeHashes project,storeHashes monitoring,storeHashes lock,storeHashes violation,storeHashes other
59ba4332c95dce61a22989890ee49d8e2e5c2d98,14036,855,85,59,0,587,13270,863,70,72,2,565,13302,885,86,62,0,552,13612,859,108,49,1,528,34,941,80,78,2,556
16cd72b20ba9f36a184b170f01c4a4a1db80bdbd,12284,854,73,56,0,521,7401,830,83,56,0,491,1644,848,48,9,0,459,3202,866,76,44,2,486,34,955,84,72,1,575
868524732babecd9e88f1a5c2cd65d672f62fafd,12745,851,82,71,1,528,7494,886,89,34,1,530,1704,849,45,7,1,440,3398,879,79,38,0,518,21,960,101,70,2,569
61b0faf17728e28afac1240c3a565f95b083183b,13512,886,77,52,0,584,7420,857,83,50,0,495,1678,822,52,6,0,453,3208,890,81,47,0,477,32,1005,98,57,1,558
bc65a0b33398eac6e0f80d480ccb16fa13f33b9a,13115,848,81,58,0,575,7530,863,91,25,0,545,1667,837,49,4,0,447,3777,878,96,46,0,490,29,988,88,57,0,574
19b9d73a1be5bba5890b194260d115d664c8b5ce,12985,844,87,65,0,548,7609,856,90,65,1,546,1669,829,61,14,0,459,3596,885,74,40,2,484,23,953,98,72,3,587
01f7076cabdeb4444bf0606b4c88daf93a436af4,13072,867,79,65,0,533,7348,849,80,78,0,507,1701,823,65,6,0,434,3368,844,87,58,1,498,25,1006,72,84,0,574
fa5c19032459214bbb241202e435cfd2f21bbf43,13194,868,90,53,0,595,7489,890,72,53,0,494,1673,831,59,9,0,452,3255,902,81,52,1,513,31,994,76,68,2,552
ff50d7b60ad15fed7ed294ca2295cb356cbc4273,13556,854,81,76,0,547,7500,884,67,56,1,536,1695,828,46,8,0,457,3576,860,109,43,1,492,30,940,104,80,2,618
b66d3d543982755f1d2397066ac9ccbc5ba8c327,13129,878,71,58,0,531,7621,858,67,59,0,508,1645,822,50,9,0,438,3557,898,66,56,2,495,42,971,103,85,2,600
414da301b9d58f7cc169a70bb7e68fe71e02822c,13037,859,80,58,2,501,7817,877,72,57,0,569,169,840,20,4,0,472,3591,891,86,38,2,486,27,954,74,65,3,595
647b93bc63c3bc3a43310e00e80f1bd86a5a3963,13064,828,87,69,0,543,7880,815,86,62,2,487,1670,841,54,9,0,463,4407,865,91,57,2,479,36,940,90,57,1,605
e11279525524d12f8eb4687b1f4e926d75bf1371,13191,864,56,58,1,575,8185,857,84,40,0,531,1684,843,62,8,0,485,4016,885,74,61,0,494,30,937,88,49,1,589
40dfa0cf36d844ca733bef0d4a61e87c9339af2c,12641,850,77,64,0,548,7657,862,73,60,0,508,1686,835,61,7,0,459,4332,864,85,83,0,530,20,953,94,65,0,566
4cd975b9649ec87f9a71ce48916fba8d9d460e4e,13897,894,88,55,1,622,7798,819,73,80,1,480,1697,851,54,5,0,427,4319,878,82,62,0,504,23,933,99,78,0,589
ca12c7bafd2d7033f8cff7770ecf2260d45aa4ab,13156,887,89,59,1,558,7844,850,97,65,0,525,1632,850,50,7,0,442,4152,834,86,54,2,522,18,977,94,69,4,573
08c7148ab302a364517f993c0fda33b1dca7bfe6,13206,866,89,57,0,542,7995,850,65,46,1,510,1669,840,54,11,0,449,4239,876,88,50,0,514,38,911,89,67,0,578
a5694ac69113d815dd6588775dbccf22747f556b,12330,855,92,54,0,534,8028,876,74,42,0,502,1699,837,54,6,0,448,4271,864,94,60,0,499,40,969,96,68,4,581
384395d53cccde5a93932dba78328a5888db7ee8,13296,900,90,37,2,562,8106,854,76,78,0,502,1727,858,62,4,0,440,4078,874,82,76,0,502,34,967,92,54,3,588
f5b1b622d2d4141898bf850bd3cd54ee3d153aa4,12969,848,94,69,0,554,7925,875,90,55,0,504,1705,855,55,9,0,469,4086,872,70,85,4,479,25,980,105,58,1,628
