sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
c6d5faf38703f9930b754483aafc7d96670efd65,2337,61,26,6,0,78,2649,62,23,5,0,83,2540,46,22,5,0,78,2520,54,21,3,0,67,5,64,27,9,0,55
326c3996fed38a2945c441b67b908755fefb330e,2865,49,19,0,0,79,3044,59,37,0,0,80,2768,53,32,1,0,79,141,59,24,7,0,38,2,73,24,6,0,48
a4a836590882416c5f9d6d584e561a91aeb3261c,3415,89,28,0,0,108,2092,80,31,1,0,64,202,77,25,3,0,38,804,91,21,2,0,105,3,106,22,6,0,52
592263bb36a87e9b299185ccbc6ef6cab5fe9ad6,3493,93,32,0,0,120,2005,83,21,3,0,69,219,72,21,2,0,35,298,104,26,5,0,55,4,112,25,3,0,57
279b074c230a4d38041a9f40726739b0100e67fb,3355,96,30,0,0,113,1990,71,26,2,0,64,238,83,17,2,0,48,306,92,25,2,0,67,4,105,21,2,0,49
e87be91b7284e0c95fb987b4626ada8fb2bf3884,3344,102,24,0,0,124,2060,83,24,3,0,61,199,72,18,3,0,52,150,85,24,5,0,37,4,102,27,3,0,52
a7997642e89f63ea994271d7f163d186bd19ee98,2834,88,25,1,0,104,2870,87,26,2,0,126,3095,116,31,3,0,116,853,107,30,3,0,85,1,96,18,3,0,46
507e6b54112d96df593652c6ab07625415a7be58,2825,99,27,0,0,105,2267,105,24,3,0,108,163,97,0,6,0,47,187,115,20,2,1,39,3,110,19,3,0,56
424160bb1c2cd5c9594142c5b13c5770081a8da9,3155,108,30,0,0,110,2283,119,28,0,0,104,105,78,0,4,0,41,135,104,32,4,0,38,3,112,27,3,0,50
134926fe66ac8df811df849bba452676292be60d,4028,112,30,4,0,122,3858,93,27,0,0,110,4297,104,27,2,0,139,1756,120,28,1,0,129,2,122,21,2,0,54
