sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
9b15b2008bd9dc654127629d40009899a4104e67,18408,706,456,105,0,626,16838,627,427,115,1,633,18427,671,414,87,1,632,18908,684,414,106,1,610,26,461,484,112,1,515
a345812f8fe6e80b8626b44eeb9f960842737bb6,17697,677,453,112,2,633,9276,572,417,113,0,578,596,390,32,3,0,292,1383,446,466,108,0,429,11,433,144,47,1,263
bae558d829400e0fee781cf60de295841afcf68b,17300,635,475,92,0,595,9264,605,451,92,0,577,149,387,25,1,0,224,1400,464,412,116,1,436,6,431,144,42,1,250
989cea121f33b6a4e35d99a0fdd3f8d599abff0c,18564,710,435,107,2,648,9130,583,452,111,0,553,270,371,19,1,0,230,1458,433,462,97,2,450,18,444,151,39,0,252
9f8fe5b1bfed58169a01c6f2d8648f77b8743b89,17755,622,438,74,0,666,9507,561,401,92,0,583,607,390,27,2,0,302,1450,468,447,95,1,420,9,440,149,43,1,239
3c2e5880e592b327c179c59efb269bbfbfe2d52f,17802,723,409,95,0,603,9623,570,464,109,0,554,285,365,24,3,0,238,1708,466,404,112,0,442,8,468,167,38,2,263
6756fd62dd70a8eaa6f53527a96a87f3ec54c765,17877,706,401,103,1,600,9454,561,443,85,0,580,287,353,19,2,0,242,1515,492,376,107,0,440,9,458,147,34,0,265
eafa46e2f5e53791f6dbaa1acab007b2394909aa,18261,706,440,90,1,605,9337,565,422,88,0,584,246,405,25,1,0,227,1421,445,436,109,1,449,14,441,170,34,1,255
15cc3d301ac848eddc1dfbb6df9745d61c2f76f5,17598,671,451,104,1,649,0,0,0,0,0,0,0,0,0,0,0,0,1509,438,427,109,3,422,0,0,0,0,0,0
0be34d87125f0e5a14feb6dd27cd1d9ecca0ad51,18023,756,463,72,1,624,6026,482,238,55,0,379,213,360,16,2,0,235,1567,467,421,109,4,445,10,449,145,38,0,257
c76b75f68c5f90e8d82198130877042d4ff388e3,17520,688,434,101,1,584,9069,584,380,104,0,587,394,349,26,3,0,263,1610,484,439,109,1,442,7,463,146,32,1,288
1c33a71c86d499bbc0381552763c759ef22134c8,18217,729,466,95,1,633,9716,579,432,97,0,570,657,392,27,6,0,251,2112,436,464,117,1,436,14,422,137,34,0,259
63b64ba9d1a7d0e0a5fcbd3259335e364a84d441,16848,630,401,78,0,504,17260,716,392,93,0,549,17967,697,372,94,0,585,4116,414,342,76,0,307,26,442,476,96,2,450
8dc4eec3bc4dd7fe3eb698c5cae8e204317d3e67,17964,720,387,107,0,574,9344,607,413,96,0,532,361,401,19,2,0,233,1599,441,372,103,1,365,22,452,431,107,3,467
c78e510a6d557740eb1c692bf385dbc71bf6dd09,17517,717,387,93,1,547,9385,572,388,81,0,515,360,390,26,2,0,228,1580,490,371,100,1,399,24,497,485,100,0,456
9c0b8ad67142f44e7dcc84583c8182e20351d992,17490,708,389,90,3,541,17639,735,384,89,0,538,17482,722,388,87,2,509,4368,573,409,80,0,464,24,468,465,120,0,435
b68a9cf2a9662d8243498a0c8131fbad5102014b,18015,730,433,89,3,581,31,400,0,2,0,203,29,398,0,4,0,209,1504,471,401,101,0,378,22,454,442,110,2,458
3389583fd6c1960c48f3e384067617659a255bed,17540,693,410,94,0,574,9219,586,392,89,0,527,260,375,26,1,0,205,1567,524,392,100,1,384,27,476,449,100,0,452
0faec47ffceada0c9909fb28e794366f752d5fe5,17849,785,400,105,1,542,40,399,0,2,0,233,40,382,0,2,0,200,1481,476,437,100,2,372,35,459,448,111,2,423
