sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
be6cebca842900b3b120a96528e2280f77c00021,23374,764,114,29,0,329,22409,724,141,24,0,297,22996,825,123,24,0,296,24254,838,131,29,0,298,17,412,114,28,0,94
d2b421fc6ea659541106c85bdd7e769882d047da,23398,811,120,22,0,252,1456,407,18,1,0,122,157,358,22,1,0,70,539,473,117,29,0,104,6,460,143,35,0,98
1b7f1c54814a02fdf7fe537e85c8b23b2bd9eea3,23530,842,186,39,0,322,1453,439,21,2,0,129,167,344,20,1,0,65,1219,491,156,40,0,152,20,447,167,37,1,115
808ac2a6382024bf34cbb5bf7e5ab3c96f28f0a4,23556,834,156,47,1,320,1447,445,24,2,0,132,174,367,16,2,0,70,641,547,152,44,0,177,15,499,157,39,0,101
602da94084675c47e5ef2c298e8539f1a2a50c0a,23695,826,165,49,0,334,1429,465,21,0,0,114,189,353,20,1,0,75,595,501,172,26,0,170,25,478,171,40,0,129
7678c1d9f8c4fe82d394686eaac0dad23f2da68a,23076,774,165,40,0,305,1404,482,26,2,0,133,124,388,22,1,0,70,533,504,166,39,0,189,12,456,167,38,0,107
1c734c75379c7e146c454c33a049959a81568473,22797,894,144,64,0,304,1451,468,22,1,0,131,203,391,18,0,0,74,598,537,175,49,0,150,14,488,171,46,0,112
bcb5f8e58716226af9664668d1551a2fa32a9049,22828,818,177,49,0,316,1497,455,21,4,0,142,200,400,26,1,0,79,711,546,147,35,0,153,15,475,164,31,1,125
6739fbe3f6425582066ae6fdfcbdd49eee24e3e2,23901,850,170,38,1,332,1490,462,27,3,0,124,174,369,21,1,0,67,1019,564,161,55,0,177,20,508,168,41,0,129
87bc7f2ec4d65dfa05357dcbda267fad82e9443d,22939,895,184,39,0,331,1456,432,25,3,0,142,188,364,25,1,0,71,607,480,178,45,0,178,21,458,175,48,1,120
1552d9772df1e9e496b48bf459af4690ac77a3e7,24041,818,169,50,0,350,1456,460,23,1,0,133,29,342,0,2,0,71,628,508,170,50,0,182,22,474,164,33,0,136
2f4018a90f0ba8994b677c640b6cb15a6f17803e,23682,890,178,27,0,308,1511,510,23,2,0,146,181,405,24,16,0,71,649,531,189,44,0,181,15,457,170,49,1,119
84019fb037abc6df54e2b90ae46c9957a5e2abe1,23579,888,193,45,0,322,1432,463,23,1,0,130,35,326,0,2,0,78,665,520,194,42,0,196,25,507,192,42,1,120
2184b72af9479a073d807d9365ec78dd4d5f8371,23573,864,175,44,1,317,1428,464,20,4,0,127,146,402,20,3,0,68,577,483,186,49,0,165,11,461,188,53,0,122
59401d2f6ab9da532ac3a095668248eea7366bfe,23534,865,179,42,0,327,24162,865,191,39,0,315,22908,852,183,54,0,332,1538,532,168,41,0,196,16,444,187,39,1,119
7f0a0231922276c5e1304175a7dffe82a370d684,24035,798,153,48,0,308,1444,484,20,1,0,123,40,366,0,2,0,61,655,494,190,47,0,171,14,489,188,52,0,126
c27afa76de5b48573b62ce31889936e403e1fb1d,23813,885,159,45,0,330,1450,461,24,3,0,122,33,330,0,1,0,85,659,527,194,49,0,178,16,487,159,46,0,111
9153aca5a293e3030fe81f543b13f0730fadf47c,23475,831,184,31,1,337,1503,454,26,2,0,109,191,359,20,1,0,79,689,509,191,56,0,180,13,462,174,47,0,133
031cf27433bbdb8627b0572d573090bca12486e3,23460,836,201,34,0,327,1466,465,23,1,0,143,169,385,20,2,0,70,685,476,175,61,0,183,14,448,162,56,0,119
0f5d5034176328953e3060dec1d1296d53caa32f,23822,862,191,40,0,309,1393,464,30,2,0,135,35,358,0,1,0,63,743,512,182,45,0,172,17,503,175,50,0,121
3c2a001805c160dc7aeb6b9377f52593a355151c,24360,858,167,39,0,329,1407,484,25,3,0,134,31,366,0,1,0,70,647,545,190,49,0,161,29,455,171,35,0,110
e84ccaa1aa5a94ec702412e82cd3b131bbf5a7d8,28056,915,157,46,0,325,26103,955,142,41,1,317,28436,952,156,46,1,340,25218,962,160,35,0,262,16,535,180,43,0,122
68eb6fd77592e71c59b2f0bda9e289c1de4816af,28015,917,147,55,0,332,1687,451,22,4,0,117,201,399,20,1,0,64,812,575,176,40,0,148,21,535,177,44,0,125
24b788ee032afe3dd31b0ea30bb90143d7471d6e,28380,876,163,46,0,311,1751,476,22,0,0,120,187,381,25,2,0,67,697,569,160,44,0,133,19,538,167,41,1,110
55602cc93587626d916abf75382264a5f04bd2b0,27991,979,173,42,0,344,0,0,0,0,0,0,0,0,0,0,0,0,683,558,165,49,0,133,0,0,0,0,0,0
e7aba9929d8bc34f3a473f1f259ef290bfa9820e,28413,926,174,39,1,323,28366,970,159,46,0,326,29118,927,176,37,0,354,5702,590,189,49,0,164,14,562,197,38,1,115
