sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
a51c95783db026cd20d46bd74b96f2c95a71429d,703,2,20,0,0,62,718,3,24,0,0,63,761,3,15,0,0,62,516,4,23,1,0,66,3,2,16,1,0,31
d1f8470cf3b1aa8624449e90bec3db961459952b,448,2,18,2,0,53,0,0,0,0,0,0,0,0,0,0,0,0,846,2,17,0,0,52,0,0,0,0,0,0
343e636bda736e2d1596139b5da5fe7a562e2344,442,2,26,4,0,55,481,2,15,0,0,55,469,3,17,3,0,54,866,2,24,0,0,62,3,1,19,0,0,28
192c9ebd667d4c69e51212ad67015fb062977486,1217,1,24,0,0,97,1226,0,20,0,0,115,1231,1,21,0,0,123,1142,1,25,0,0,114,3,1,18,0,0,83
54a1e5d1d22428c34713bea5ce5acde166a0e004,1268,3,13,0,0,95,175,0,19,7,0,95,85,1,19,8,0,86,1172,2,23,0,0,110,2,1,16,0,0,81
48496e6233c0ea81961858cba978d9c5f991f2e8,1215,1,21,0,0,105,186,3,17,7,0,90,87,1,15,6,0,78,1199,1,22,0,0,103,1,4,17,0,0,83
52f855926525bfc98ca807c95631ac8efed12782,1265,2,27,0,0,109,180,1,17,8,0,96,90,2,15,8,0,70,1215,1,18,0,0,108,0,3,15,0,0,85
fb19114afbeb77d7e60ed03f5bf8201084c13420,1787,51,21,1,0,115,26,45,0,9,0,98,27,41,0,7,0,94,1767,38,25,2,0,155,3,43,13,0,0,96
c984455050bd7a3dff0892687db711170d062f2c,1818,52,18,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,1768,43,24,2,0,153,2,48,22,0,0,81
92e7794bdf498f97e25e1114d8a753b2851b42bd,1170,56,16,0,0,70,1180,55,16,0,0,77,1184,49,19,1,0,75,1206,49,24,0,0,62,0,59,14,0,0,54
e8f0072be75e9098e3a6a63f767b01a751abada6,11783,81,212,45,0,508,11576,86,199,46,1,475,12227,94,199,48,0,477,12109,107,210,48,0,495,5,107,17,0,0,236
d8cd52e46b47ebd48785c5715dea25cbd0d4586f,11716,88,222,38,0,461,6035,87,193,47,0,454,379,76,31,2,0,272,1452,96,209,47,0,441,5,104,29,1,0,228
9bd19b0fcf89fe0e15f9ce9189533b78a87d9233,14713,179,215,49,0,556,14300,182,226,47,1,561,15530,149,222,54,0,471,5154,190,218,43,0,473,7,183,42,1,0,231
c51cc81d9157c99a8970c92e2f6b9c5444148c9b,16072,212,244,46,0,683,8387,155,213,44,0,498,276,176,17,2,0,250,4997,162,211,57,0,484,5,179,37,1,1,288
74f38d894d7f26c902918ba8c58f82c77c11a18e,15169,182,226,63,0,626,7856,161,204,58,1,482,429,167,18,2,0,285,5305,189,210,63,1,490,4,181,35,0,0,261
13d5dd5b8a7456fa848ba18aeb59c3abd8e94f93,15644,168,251,52,1,622,8238,171,246,57,0,458,658,171,26,1,0,287,5298,182,228,41,1,460,6,192,31,1,0,257
d33e6c912d23d88887060afcc531d7059db763a6,15672,194,245,55,2,636,8651,149,223,52,0,453,736,161,29,3,0,277,5692,199,248,51,1,434,4,204,27,4,1,266
4513571acf4b8ae5c0a7665ab4108de0440b23b5,16032,191,257,46,1,490,7142,152,227,48,0,449,153,159,21,3,0,267,5463,178,282,40,0,480,3,172,35,2,1,242
4a59a21be1fe6174026ea6ffca8d8a00ce3fecd1,15568,187,220,49,0,619,9189,169,212,41,0,422,620,154,18,9,0,266,5800,210,259,38,0,434,2,198,25,4,0,231
f79a6ca5b36429b801eec501fee6e7d056cf2528,15304,184,222,47,0,462,7822,160,196,34,0,446,265,169,17,1,0,264,5409,157,221,43,0,463,7,193,38,1,0,246
ab3ff9f1a2680dff412b0c0e5fb7d1a630ccf8d2,16090,251,224,53,1,599,16259,217,226,52,0,582,16071,228,253,49,0,594,6927,213,228,57,0,553,8,229,44,3,0,260
