sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
2d7b0d1949403a5cce39c893da5f047fb596070b,16715,512,114,20,3,371,16542,397,115,28,2,353,16560,409,129,28,0,346,17542,415,115,16,2,345,26,434,179,51,3,313
845f651300dbcdbfae00ec75db0c9a94244b6e93,15712,382,105,15,2,332,9958,430,112,19,0,399,989,317,49,1,0,249,515,412,134,28,3,287,29,392,168,51,3,304
81075d7fb1fa1102e53b0f159004e81f30567b1e,16500,375,124,16,1,371,9163,408,111,20,3,383,361,337,17,0,0,183,752,424,158,32,1,336,19,441,183,40,2,312
ba631b9d4a542885303aa7bd5952ad38b3d7e990,16342,444,124,14,2,380,9598,386,108,18,0,377,1038,321,43,2,0,266,667,431,135,36,2,334,20,426,182,55,5,309
efbfe75d18d5022fb9c5175332cb5f4c06cd7ff1,16377,409,116,20,2,349,8649,372,105,18,3,371,385,328,16,1,0,196,486,435,120,31,3,331,29,431,197,48,6,300
77ca4ff79cbd1d6cd6ce81a6cfe53aa5dba68d30,16064,503,100,20,3,338,9952,401,124,35,1,409,747,365,32,0,0,251,752,439,118,30,3,328,23,439,194,38,7,300
010c87d9170f3e86a001a6351699aef1ae168fcf,17519,394,132,20,2,384,9503,416,101,27,2,406,705,313,34,2,0,264,520,408,130,29,3,329,29,389,175,49,3,324
2ae8ee5f981ca347b8cf000e8e0bd7b7bfadbd23,17512,432,114,20,1,369,9600,406,142,20,2,389,715,340,36,0,0,263,441,415,131,28,1,287,23,406,188,57,7,299
a79e8443ab85d01fc71154ae7d2296f65ad89d20,17425,514,117,26,2,397,9445,395,123,27,2,368,752,332,32,1,0,244,527,398,138,22,1,286,27,413,174,41,1,305
448718f23015abb49120fd77f4931c5b6266f2b0,16516,506,126,21,1,360,9596,402,99,25,1,356,715,333,32,2,0,253,787,439,179,21,4,316,27,411,173,32,2,303
4c306c847ebc63d8642f62d0de4f56ff6250afb5,16888,424,140,21,0,385,9933,425,126,21,1,345,880,336,35,1,0,263,495,406,149,30,2,279,18,422,189,44,1,304
4372e81347f5593c3dae8fc7b122c5d45c3057ef,17222,439,136,27,3,353,9724,461,120,14,2,390,1046,371,40,2,0,264,789,439,140,36,1,310,23,419,173,51,0,297
07b12a6d31144fe29c9b87e4dcfc0ea5d2bd3ad5,16973,427,123,27,0,381,9238,402,115,24,0,377,1063,331,38,2,0,265,2073,395,128,28,1,340,19,435,174,45,4,304
