sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
4522bb9ddc4b97bd8e705c0f3db3f8ac40e307d1,2768,61,30,1,0,93,2757,51,32,1,1,102,2874,54,29,2,1,94,2840,49,35,1,0,100,5,72,20,0,1,67
85f8b25c1ec8cd6f9c52be9ee9e91957e67bfa05,2840,53,36,0,0,113,1889,52,28,3,1,99,1061,39,22,4,1,72,286,51,27,5,2,63,3,38,31,1,1,74
a8d410dea8f0f58dcc50c85f98bb85bca9c503bd,2933,58,30,1,2,109,2006,53,26,4,1,104,1159,40,27,1,1,77,766,55,30,2,2,79,9,68,29,2,2,85
f75bc11df480f854e80b1c1b81cf825d3c733355,2781,55,30,2,0,98,1403,53,35,2,0,90,451,58,17,0,1,76,471,54,35,4,2,72,1,41,31,6,1,77
a8087ee62b4a0364f5947b0bf0c0afc8643229a6,3096,43,32,4,1,104,2065,46,27,3,0,83,1220,45,21,1,0,75,2022,65,32,2,0,86,1,60,25,4,0,91
ffec6c73941ac259fb8ffd8b0d1b9781656df0fb,3145,54,30,1,1,104,1553,55,27,2,0,107,540,49,17,4,0,69,457,48,28,4,1,74,4,47,33,4,0,90
e95c5e7548bb172a149bb80350aa58aa6e1437a7,3377,59,22,1,2,95,1787,47,21,0,0,87,954,36,19,0,0,88,871,65,32,0,1,100,1,54,29,3,1,77
ed62c9b53aefb7ce0a20e6a912530fa2f38a32ad,3108,49,26,1,1,100,1679,43,29,3,0,94,644,48,32,5,0,85,823,76,39,6,1,89,1,62,38,5,0,74
6fe1722ce0cbee846ce586cded9a75e37de7637a,3269,51,24,1,0,119,3502,65,23,2,1,96,3540,60,27,1,1,115,993,56,25,4,1,87,0,45,29,3,0,69
711bd2ded75b241b0cac73c94e8dfa6aafc87540,3411,57,21,3,2,106,1209,56,18,7,0,77,209,39,15,4,0,78,303,71,26,9,1,73,4,72,31,4,2,91
cc0d12a7e25f098324e2cfbf17387d449edf3565,3571,51,28,0,1,96,879,52,22,2,0,82,201,55,20,5,0,68,592,58,31,7,1,103,4,60,27,6,0,92
22a605a791345366be02e255cafd5c4ac37673e6,3612,55,22,1,2,112,1289,40,31,5,0,87,273,48,22,4,0,91,388,56,35,6,1,79,6,53,29,1,0,77
99d3ae18861ec9e696a3d4ceae31fc401a701ca8,15993,213,53,0,0,206,15600,178,35,1,0,179,15161,187,39,2,3,179,12916,217,38,5,1,149,3,130,23,4,1,79
52fe3322b0bbad223ea58f7cfe45be9e55e4b2e5,16788,226,42,0,1,221,8091,232,31,3,1,141,1801,140,21,4,2,108,924,200,32,5,0,145,7,139,27,6,0,87
c263f34812860ae719e1ae3b6af164c25c2af428,16620,204,30,2,1,194,6624,194,31,4,0,138,666,134,23,3,0,98,769,209,40,1,1,102,4,131,27,3,0,90
259ec0395436c934cd3600c8a964294177cc2a57,16330,182,49,0,1,189,0,0,0,0,0,0,0,0,0,0,0,0,383,208,31,7,0,101,5,152,39,3,1,93
18dc2587ea5502253d6aa2e82a45d197d895dee5,16250,211,47,2,4,198,6878,181,32,3,0,132,997,138,17,4,0,103,1014,212,36,7,1,106,3,143,33,2,1,80
c7c9aa6c4744188b8b36e84c0721b56da580db83,16792,185,36,2,0,203,7286,191,36,2,0,145,1112,155,16,4,0,92,824,206,37,8,1,109,2,149,36,3,1,80
c0036a59817bd72d006438249cef92a87ce1c413,16237,179,42,4,1,176,6659,167,32,5,0,140,1101,150,15,6,0,98,1184,192,42,7,1,125,3,151,27,4,0,80
752129deabd609cd535dc761fadfcf2da845d27d,16325,219,38,1,0,196,7371,181,32,6,0,139,1113,134,17,4,0,101,1117,204,44,9,1,109,3,145,29,5,1,80
7790b01d10a5617b82077e9bedbb3a876b7d4bb6,17575,213,30,3,0,195,7323,186,30,4,1,140,1080,168,15,3,0,100,756,181,48,8,1,116,6,140,31,4,0,89
d91a737753d4f1967d89c019c226d69bd06480e1,16942,208,46,1,2,203,6909,183,33,2,0,150,1149,161,23,5,0,90,237,216,51,10,0,97,6,152,31,7,0,91
6d8e4dec6622e6fc442b244c8192e9b92f0bb221,16874,210,33,0,0,191,7698,179,36,5,0,158,1098,143,14,5,0,99,735,210,43,5,2,113,4,163,29,2,2,91
0e676e70435281132fd8b98688b5f7c0318a0915,16446,188,41,3,1,208,8270,193,31,5,1,149,1985,140,22,6,0,113,597,199,34,7,1,109,5,155,35,5,3,80
c8b674a164681aec528b7ddf4a13c5b898947afb,15993,198,32,2,3,195,7503,190,38,4,1,155,1477,145,16,8,0,111,1749,183,34,6,1,105,4,152,27,6,1,91
1b4df587b9376c19b226cc284fde1d778fcb8a8a,16700,211,45,2,2,195,8698,214,29,1,1,172,1782,124,17,5,1,103,685,208,42,8,3,137,6,152,27,7,2,83
c31b9bd08e705dccd520cea1386ebb559a45dd86,16941,213,46,2,1,202,7955,199,23,4,1,149,1830,113,19,6,0,87,1741,211,45,10,1,131,3,149,22,10,1,76
b9458ba078086fc6d1283aab975982c5ddbaeffc,16064,192,32,0,1,187,7365,178,30,11,1,147,1449,163,16,5,0,110,1596,182,38,7,1,127,5,144,26,5,3,100
140220598b7af963498a0625eac1fe3833dbda20,15507,202,39,4,1,196,7085,202,31,8,1,139,1404,142,23,6,0,100,1224,191,30,9,2,112,5,161,35,9,1,89
3a4c79b7c20c6cae5a268867286c2bdf78db02ed,16110,166,35,7,2,189,7141,189,28,9,0,160,1375,140,23,5,0,120,683,202,38,6,0,116,6,152,30,4,1,99
2a170bce22d5660361d9b95b4643966a63e69f5a,15842,174,33,5,1,168,7240,172,25,8,0,141,1390,157,27,5,0,101,725,223,36,8,4,132,3,139,31,5,0,93
499bc286e6136ae2b3456a51f8dc17c04e4c984b,16687,200,40,5,1,205,8555,199,29,9,0,150,2000,136,17,4,0,122,2176,216,36,4,1,123,3,146,30,4,2,102
c7d86fe92050d812d701cf3a5dde6f3ee4a0c776,17472,218,41,7,1,217,7695,193,34,2,2,149,1812,160,20,6,0,110,1123,205,35,6,1,114,6,140,32,7,0,87
62a667dc5914563f6df8a0b3583d123a7eefd81d,16444,200,32,8,3,197,8161,197,37,8,0,147,1762,140,21,5,0,100,816,200,33,8,2,142,4,146,28,5,1,78
03dd9ebbac7d2c3d7c6c0be02049ae45d66a9513,17738,215,38,7,1,224,17504,222,39,7,0,214,0,0,0,0,0,0,11181,207,38,9,1,186,3,143,23,5,1,82
4c890084d7ef59185b299661d3fe6fdb472ac8a0,17165,219,37,5,1,188,0,0,0,0,0,0,0,0,0,0,0,0,1134,215,41,8,3,125,5,151,27,6,1,87
a63bf7bdc9aaf2bb9d8c69e10a799ceff5e71ae2,17562,224,44,7,3,216,9374,184,35,7,3,158,2510,179,24,6,3,119,912,183,36,8,1,131,5,168,40,4,4,97
1dc7dc03b0b9b914214f932c99e8a94e03b293df,16900,205,29,6,0,221,18539,217,26,10,1,206,17501,178,49,4,0,220,1669,177,40,11,3,125,5,170,28,8,1,86
40dca0494e3f978e34f39373abb342cd4cbd7d5c,18648,218,48,7,1,209,7870,188,37,10,2,151,1659,156,29,6,0,107,2209,202,40,13,2,118,5,160,31,8,2,95
dce780d0fd2e9bd677ef3f723198c63ffac41287,17399,201,38,7,0,205,0,0,0,0,0,0,0,0,0,0,0,0,271,211,39,7,1,106,0,0,0,0,0,0
b8d87c5058a500a37ade1b8e4b85ffe3257f2009,17237,222,40,5,0,195,9374,212,41,6,2,176,2503,158,26,7,1,112,1513,199,39,7,3,106,5,134,37,6,1,79
ddb2cf25fe505d84371bf7a2cdb8de91e46b75fc,17645,214,24,8,0,195,7098,184,44,10,1,150,619,157,17,7,0,94,909,188,41,5,0,129,8,145,40,5,2,107
c8dcdfdc9475a040b771921b92e92cda2f360edd,17983,217,48,12,0,212,0,0,0,0,0,0,0,0,0,0,0,0,255,205,34,5,3,105,0,0,0,0,0,0
b2ab94dff0b8a59cb4c53e77029de3aa79c74def,16695,180,35,3,1,185,7707,185,39,10,0,147,1351,170,19,7,0,118,659,196,44,8,5,142,5,142,31,5,2,95
b89e74d86e63159cb2c73daf3de251696410e140,17143,197,24,5,0,194,7972,214,36,13,1,135,1474,132,14,6,0,109,735,174,36,9,0,132,3,162,36,6,0,87
035cf18d2e2c76a8b5629c63232c15c2bac1c40d,17930,214,27,5,2,213,7445,187,33,11,0,142,1425,164,22,6,0,117,833,202,44,8,0,122,7,145,28,9,2,92
74e66cc09c8484b06d8bb20676708197aa95e805,17285,203,43,6,1,210,773,175,17,4,0,96,101,146,30,5,0,110,303,215,28,13,2,110,2,181,32,6,1,93
0408db8520beeda176e3fd8369b36da07a31a130,18103,204,37,8,5,228,16240,194,25,7,1,193,17820,190,49,10,3,213,306,213,41,10,2,94,3,160,36,5,1,90
c7fa1bca19dc823ceb4a6f5e9189995d921b22c2,17932,223,36,4,1,209,7879,176,31,13,0,142,1490,153,18,9,0,117,797,209,46,11,2,144,5,159,37,6,2,110
694f2cd0e3341dd2d4eaf61467ef9f91881ddb4d,16375,207,41,1,2,218,8091,186,34,11,1,148,1781,152,19,8,0,110,1230,210,35,9,1,124,1,166,33,10,2,98
