sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,dynamicCIAThreads instr,dynamicCIAThreads project,dynamicCIAThreads monitoring,dynamicCIAThreads lock,dynamicCIAThreads violation,dynamicCIAThreads other
58619effa9b97ee8c0ea5feb8963d0d735771d22,4233,217,182,34,1,147,4111,204,152,34,1,134,3990,206,137,35,1,161,4054,201,124,44,0,138,56,232,182,57,0,70
325708b171d198ba2551b9e355cc899af478bee1,4125,223,154,31,1,150,2811,229,146,33,0,81,290,199,22,2,0,61,4458,231,154,43,1,159,59,283,164,61,1,78
a67364475fd7384db84acacb2000a345a5d0aa45,4031,209,142,46,1,143,2828,210,180,31,1,92,387,219,33,5,0,59,4350,222,136,36,0,139,52,289,177,48,2,76
5828c2f3cbdc0b1ad63278c8e21121b152e6b17c,4187,226,163,30,0,153,2800,225,148,35,0,81,282,228,26,4,0,65,4089,221,166,35,1,146,54,292,157,65,1,63
759a540be691eea7d0c33f845a650ed9e8052382,4342,227,179,46,1,146,2821,215,176,29,1,70,324,184,32,4,0,60,4563,235,145,42,0,133,58,279,164,57,2,69
6f009859b3edbc83615dba1c1c7713905d9ab3d0,4251,226,170,33,1,134,2881,223,157,46,1,106,305,220,21,4,0,61,4206,200,125,22,1,143,64,276,184,48,1,82
d84a43cf8e92e5235b8cd3ebe88416ca15ab18f8,4107,213,128,29,2,135,2679,214,175,37,0,95,279,205,28,2,0,63,4337,187,146,30,2,137,66,271,185,43,1,77
33946239d80235c9ac13cec90b99c8cb35d31aa8,4386,239,161,35,1,151,2745,231,169,54,0,109,473,214,33,5,0,69,4240,229,132,45,0,151,62,294,193,50,0,73
363a0d899624ec59bd73211d79556fe2c65d42d9,4385,234,144,36,3,139,0,0,0,0,0,0,0,0,0,0,0,0,4216,224,163,42,1,155,0,0,0,0,0,0
9fb6bbb5637c8385823f5ffd0187ecda86d54ab5,4580,250,158,31,0,153,4544,232,142,46,1,135,4597,258,162,42,0,142,4341,196,133,35,2,152,75,276,163,56,1,68
bf18a741cca77fc601b74fcfc56e06ffa1468fcf,4752,243,145,42,2,151,2919,249,175,37,0,99,453,218,46,2,0,54,4799,285,129,44,0,154,54,326,164,46,0,74
333a45f0e88fd5e628667eb26f1e0d830e026dc3,4454,237,167,42,1,160,3018,245,158,37,0,94,419,238,42,6,0,54,4754,239,142,48,0,143,74,312,154,63,1,69
140b8c36f8a5f72e5b2d8b65f558246b67f41524,4710,249,164,40,0,161,3032,241,173,37,0,100,467,214,46,4,0,66,4635,253,157,34,1,161,52,309,162,59,1,68
602c7a8c532a04c703d6f1d55c388c3cc01d3b00,7274,278,156,37,1,160,7131,267,159,39,0,178,7365,290,163,36,2,165,7154,310,154,48,0,151,68,342,162,52,0,79
c9cf01835da0977cfe01fb7dad3d2aac5470b598,7254,309,170,30,1,162,4463,296,154,43,0,160,500,257,53,12,0,104,7025,291,168,32,1,155,55,353,180,51,3,78
36d2668067bc98d91529a332fe6084bfddba3999,7465,295,156,32,0,154,7649,301,162,36,0,181,7547,319,162,41,2,164,7759,300,174,32,0,166,59,358,164,55,0,73
e4e17f7bebb2ad6e390e6ac7356fae90b0cc250e,7625,290,135,41,0,164,4708,297,127,37,0,177,468,277,38,6,0,107,7105,277,142,39,0,158,63,343,155,67,0,76
ca0120d69ea86fdf59c89c87e300a2ec2307476d,7544,326,148,41,0,183,0,0,0,0,0,0,0,0,0,0,0,0,7682,326,148,45,0,167,0,0,0,0,0,0
f25cebd528632d3100f4d7701e79f622d3754843,7816,291,143,39,1,171,4691,239,143,32,0,150,212,249,28,0,0,65,7322,273,143,35,1,162,71,364,172,53,0,77
455a03aa215f6362bc10cefb5e691d28246b2ebc,22785,450,174,29,0,266,22786,485,184,33,0,271,22915,493,180,54,0,268,24157,476,172,25,0,284,29,531,217,51,1,88
