sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
a2b382da0a7424c9861da2750b40f332543314eb,5634,287,143,66,0,169,5835,302,168,45,1,205,5764,285,168,42,0,182,6045,295,182,56,0,199,8,274,163,34,0,153
5985fb7361c4b21cf789a9f5d89276afaa49674a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10777466f2c5ea11e738f55430a70c911ce6c4cb,4667,176,84,16,1,98,4500,165,62,6,0,112,4604,160,62,11,0,102,283,170,69,14,0,82,3,180,28,4,0,127
4926c32d147a7ace1b1729cffb3f106783b2e921,4721,225,122,20,2,138,2845,186,78,19,0,123,285,127,13,0,0,83,431,188,106,21,0,96,3,142,16,1,0,72
236ec5483c17b297a683493c74e55dcacbb6984f,3820,163,58,20,0,103,2037,136,73,13,0,73,178,92,11,0,0,47,377,179,97,17,0,72,1,92,14,1,0,83
9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,4932,201,107,31,2,145,2864,225,108,18,0,131,324,118,11,0,0,79,339,194,103,21,0,88,3,149,23,1,0,100
42e821c9948d2759c066fa35ab59ebf7a42ce70d,1228,22,26,4,0,55,844,24,11,0,1,47,112,18,11,0,0,37,170,27,24,2,0,48,2,24,12,0,0,51
dbece6b01144f7ec8ba4365895666ad0dbf7f53d,1205,37,30,4,0,54,945,32,20,0,0,51,133,20,10,0,0,41,158,27,24,5,0,48,3,23,17,0,0,92
922ccf0ce7597ce419fe208e67078b4ed7a0d047,5394,291,162,29,0,158,3066,240,110,20,1,127,411,217,15,1,0,121,632,304,198,27,0,167,3,181,37,4,0,129
34ce5b5f35adfbcbb5973de648987530cc9e7057,4821,141,69,8,1,105,2681,147,47,9,0,90,232,87,12,0,0,68,255,143,80,10,0,69,2,92,15,0,0,55
