sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
a02f1ada716e9b601d0223922d7e594073a2806c,259,0,25,4,0,41,258,0,23,4,1,40,257,0,15,5,0,35,375,0,18,0,0,44,0,1,0,0,0,18
6134f3867e9ee8cd55de8a4774a7a88324dd64e5,8574,421,100,18,1,243,9038,454,82,24,1,283,8981,443,97,29,0,308,9183,520,111,32,1,239,10,462,79,9,0,298
7baa9558512be83501a7a55cc28d479f55fe5ee3,8249,483,87,39,0,250,7689,396,61,31,2,237,8018,482,83,35,0,190,7776,414,78,20,0,240,9,510,86,11,0,217
cb55d5257375727c2504152609abf52e815dff07,7905,470,98,42,1,286,3695,381,48,6,0,170,133,338,17,0,0,122,8082,460,94,34,0,250,7,390,40,13,0,189
ce6fcf061ac67083c372a9de00b6f2d9c547d716,8222,429,86,24,2,220,8141,432,78,26,1,243,8128,433,68,33,1,272,8096,484,79,34,0,212,3,464,69,9,0,148
06a32ee38abd15691f802949c797e428c8b9f07b,8893,569,148,46,0,241,9024,589,146,65,0,295,8846,540,136,37,2,278,8839,532,147,59,1,333,11,500,116,28,1,268
2f3ff1431ce1fb76d196d902a5475233b4a40fef,8280,494,103,31,2,232,4621,441,65,19,0,162,246,307,10,0,0,152,8458,492,105,24,3,200,8,429,69,15,0,164
4b279a4f9b5f6719ef1d99014d6967eb460488e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e31ec7a8acded7cc6ed731a391ddaf86d13329da,8824,486,123,47,1,276,8953,485,137,33,1,237,8622,519,104,35,1,220,8546,482,101,45,2,287,12,530,97,17,0,172
6a3723db00bc61b67e48e38180a7e8c483c36e78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53667945a46b21043ee0081cb4e79cad55a8a1cc,8856,532,168,58,0,326,4591,490,76,26,0,230,362,433,13,0,0,176,8366,616,183,67,1,266,14,579,113,32,1,224
7d68643eb689d405218fb0b16245742e54f845ac,8731,640,186,80,1,392,4691,478,100,25,0,230,380,477,16,0,0,244,8762,517,172,65,2,312,9,508,74,35,0,218
5c59d54443ad209047a7a9b03d1dadc614b3e86c,535,16,23,2,0,51,116,10,12,0,0,39,57,5,10,0,0,21,481,5,21,1,0,35,1,7,11,0,0,58
511004a7d4b7bc94830bca223baf6c040f0c0ebf,8671,579,134,37,0,278,4542,466,87,21,0,180,374,381,19,0,0,150,8894,544,169,56,1,271,10,454,89,23,0,234
fe32984f0a4f8d859937281b380d84dc58bdd9e7,8860,551,176,59,2,397,4588,573,93,27,1,187,303,387,14,1,0,242,8877,555,160,72,2,355,6,629,110,30,1,232
802d8ad132617255852663e82e142666d46bfdbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,580,102,32,2,289
12dfa2f5e391134af41933386e47787b0c1235c0,8915,555,138,68,1,213,8501,533,131,89,2,227,8876,506,151,81,3,219,8816,514,152,51,0,249,12,526,193,53,0,271
9a692e1f226b30058ba4a190d8b51bc90c2e5540,8874,574,195,100,1,312,9049,556,208,88,1,339,8889,589,198,91,0,327,8975,591,210,92,0,290,8,509,151,64,2,323
6522cb0651600764b3148ad7cf00a87547710049,8580,547,155,109,1,257,8673,552,203,141,3,279,8740,552,166,104,2,264,8585,519,126,77,0,226,9,585,161,27,0,281
4bacdbf3254784b0148e2fd63bfb8655b609af04,8761,526,136,85,2,263,4511,518,104,23,0,221,221,344,13,0,0,140,8804,541,171,113,0,335,7,455,96,21,0,219
7319f9da0214261e63f0143386f69da123b75907,8604,532,136,93,2,279,4551,525,112,31,0,228,334,379,13,1,0,205,8726,517,148,104,3,261,8,564,104,25,0,265
be3165964a9991830da989154a468ef6881305aa,9084,555,151,90,0,251,4565,515,118,24,0,244,299,488,11,0,0,172,8849,484,112,90,1,222,8,484,114,20,1,230
1dbab50810188f63979fb01b6891efa36b99bbfd,8607,560,224,144,3,302,8686,539,132,121,2,263,9148,679,189,120,3,330,9082,584,194,129,0,245,7,467,145,33,0,278
fcb41fc3ff39e638e604a69359693b2995a44109,8817,554,139,116,1,255,9203,555,156,107,1,251,8605,503,135,89,1,269,8567,532,143,57,0,205,8,488,112,30,0,279
82282b9b7694f1a726024641bc2d85952ddab447,11216,704,223,75,1,381,10947,706,207,98,1,387,10767,707,207,95,1,449,10690,694,208,102,3,414,15,747,203,54,1,391
