sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
e62c4357c30998c53e58f57bf96af6d4161fefae,6179,641,145,283,2,283,6208,684,151,291,0,316,6084,648,123,269,1,328,6526,647,149,319,2,359,19,619,122,239,0,319
84889ddc96596abc9722bd7e49918ad183ab5264,5686,663,74,38,0,176,3367,637,43,21,0,102,131,561,16,1,0,86,268,683,121,23,1,115,6,598,82,219,0,303
acf94238558df6351df7518d6770eee3c9eb74b3,219,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,15,3,657,77,214,1,283
eadcc34b295d1c8e7a7b71747927cc84d5cfff04,6317,691,166,282,1,355,6332,639,150,270,2,336,6578,654,142,258,1,355,393,667,182,270,1,292,10,621,80,219,0,276
2a3d527692b84600b402e8374e2828178e6b6074,6229,682,133,285,0,322,3943,673,119,234,0,310,510,576,17,206,0,263,338,638,154,265,1,283,5,615,70,215,0,280
e468fd406d5fe199b7a81bfea710d8dd06544384,5900,580,88,33,0,231,3500,591,59,20,0,213,401,541,23,7,0,239,173,588,86,43,1,248,5,566,38,7,1,196
28300ba17102a82578b5a43de1bda75d998ff053,6238,643,155,270,1,363,3666,625,120,254,0,271,549,585,25,209,0,252,351,646,199,240,0,279,6,612,67,221,0,244
48911d8ad6e94637db88f49328d935b1098e30c9,6224,641,146,258,0,392,3751,651,125,241,0,276,453,552,21,208,1,222,334,620,176,274,0,312,3,638,77,221,0,290
868b4ef3b4374f696731d4cdfd5b696de021ca45,6279,686,165,291,1,378,3754,638,126,231,0,286,568,564,26,214,1,243,404,631,195,259,2,292,5,629,82,225,0,299
c5c311adc95449c472eb37c77e4a17e044fb51e7,6290,623,144,297,0,331,3637,649,115,225,0,257,544,598,25,208,0,233,515,651,168,268,2,255,7,638,101,239,1,282
