sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,jarThreads instr,jarThreads project,jarThreads monitoring,jarThreads lock,jarThreads violation,jarThreads other
3d5338b8680e57904440d860200d31f6a7579541,7850,780,445,173,0,426,7798,651,374,148,0,431,7714,686,350,160,2,433,7563,708,407,155,2,406,18,826,466,129,0,482
2fffa3091f578379e87509ef32ff637e0f518897,131,0,1,0,0,19,48,0,0,0,0,13,20,0,0,0,0,8,141,0,0,0,0,21,0,0,0,0,0,13
43370ad7a73a3b18872bb54de624e0202b6bcf1f,5602,252,82,24,0,145,17,217,0,0,0,69,22,149,0,0,0,58,5398,246,83,31,0,145,5,216,81,11,0,92
869173dc53dffc6d7de53a317f9bc842ed1f6f9f,6945,566,345,131,0,412,4335,538,320,123,0,348,660,424,15,1,0,175,7018,530,332,114,1,383,22,638,385,100,0,304
e2ebcf830d9622149689e73ba0da250e78edd136,133,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,16,0,0,0,0,0,0
3aa3e0a4c256249334a815e48d3d1ebf0efd0324,158,0,0,0,0,22,145,0,1,0,0,21,125,0,0,0,0,16,125,0,0,0,0,15,10,307,76,23,0,123
e85d61d62521644dbbf1cada0566af35f8c49607,7990,777,434,133,1,426,4679,648,337,153,2,334,1009,523,28,5,0,212,7828,739,383,144,2,424,30,830,469,118,0,409
8ad9ece9f00cc4c1bfc86109b3dd5e0ee0cae90a,7346,711,354,161,2,431,4590,682,345,126,2,374,1002,563,23,5,0,197,7333,677,351,174,1,420,21,738,343,97,0,357
7f2e97908ca753dc87d0d78342aab9a6dd152cc0,7424,775,433,172,2,378,4318,637,310,113,2,409,1013,542,22,1,0,232,7272,691,361,166,2,336,40,757,444,115,0,308
e8b90de90c99106d76a8394d02317cf0a2e4c81d,6767,567,353,114,0,422,4127,538,309,102,1,415,831,429,21,4,0,184,7101,592,318,142,1,355,26,560,344,102,0,317
a2e04d538060d598565c1c781b7c1e14751afd17,6723,506,280,134,1,352,3890,470,273,101,0,207,479,354,16,2,0,147,6825,518,269,118,0,268,16,496,254,95,0,224
482e8a4e8aa90acb951aa49e86e4f89ccb6039a1,7658,754,532,140,3,453,4607,745,413,161,2,417,1036,564,29,1,0,229,7690,844,474,205,1,501,36,880,492,142,0,446
c1f62baf6fa13014982e8098fc3a22ffb592892d,7181,747,444,149,0,436,4406,733,475,152,1,424,831,504,23,2,0,203,7499,861,491,160,0,471,36,751,505,116,0,380
32dbd8cadd41bf46dc0f8a02bf2b9b83fe0c898c,5116,297,257,111,1,159,3238,271,290,81,0,112,264,166,12,1,0,95,5031,287,267,87,0,186,12,288,286,91,0,228
f7e94f3b3a16d3f515c5e8f52f1c4552e2205701,161,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,24,0,0,0,0,0,0
c3432ac486ed955dbfcf6d277fd15c4af8b738d0,5149,343,359,69,1,187,3366,314,259,78,0,133,568,177,24,0,0,92,5090,277,283,83,0,173,16,260,254,91,1,212
62163ccf9a569a99aa3ad9f9151a32567447a62e,504,7,19,1,0,58,220,8,23,3,0,33,147,11,10,1,0,51,294,9,21,3,1,49,0,8,14,0,0,68
4c6e17d2354cb680b2dd773b969421e1a95fbf36,4151,110,49,6,0,111,1606,73,30,3,0,65,82,59,9,0,0,39,4008,107,51,6,0,95,4,92,30,4,0,47
a64b16658cadfee7a83f7809108e84eb06ad76c4,6176,398,119,34,1,185,3851,352,107,35,0,147,316,261,9,1,0,114,6334,379,118,39,0,189,8,454,134,39,0,150
89f6e7522da0bde5b982eacb2bed67df2e348928,6312,390,105,31,1,158,3737,406,143,41,1,159,319,301,11,4,0,112,6419,355,134,31,1,223,10,354,96,27,0,156
1a6738d8f050507d62c77141bda234d003c35e4b,6259,394,125,47,2,187,3887,400,116,54,0,160,411,345,11,0,0,126,6757,413,145,42,1,232,8,376,112,16,1,142
7be6325153b3f09e3f8e2a19a2de8ba82e7f8a7a,7820,770,501,185,3,488,4708,787,485,161,3,443,1025,532,32,4,0,219,7910,778,492,127,2,545,40,792,451,126,0,381
bf44eea7215db52b151dc2d907b8c5f6078b230b,6208,488,145,52,0,170,3912,421,115,38,1,142,388,360,11,0,0,131,6805,487,130,37,1,203,12,577,123,19,0,169
f29b89e391d8a7bfe1f6d84f102977a3652ab0b6,6566,383,131,49,0,196,6197,396,144,42,0,190,6291,394,142,58,2,203,6540,404,143,39,1,212,12,457,132,37,0,225
a7923c144db68f377965c8f1cf3aa402f79a3a33,6411,396,127,40,0,185,3858,437,136,37,0,185,351,309,13,1,0,134,6214,383,131,39,2,227,7,392,117,24,0,163
b69ec5beec33ad39b9e3ddab897aeca8d815cfb5,8433,501,157,41,2,293,8656,506,180,42,1,288,8746,514,160,50,1,369,8434,485,137,40,0,261,10,544,138,38,1,343
486a17ba40a116cb1764ab38aeb4c55de9b7dad4,111,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,26,11,407,144,28,0,215
1df20b4246e5dfba4d5c215cf8143cab384c4882,8884,603,168,69,1,342,8893,633,216,80,3,362,8710,584,201,65,3,346,9169,619,202,88,2,387,10,692,170,62,0,350
020b95c6cd345ddf8002d64a615ef6d65dd10029,5515,211,83,31,0,149,3248,216,70,20,0,116,282,142,14,0,0,92,5506,219,105,34,1,142,4,214,72,17,0,125
ff251d7c2b8d96733574ec62d8622bf9907913b1,5791,297,109,39,1,110,3106,224,71,27,0,103,289,148,11,1,0,67,5375,241,80,27,0,134,2,187,54,21,0,105
477a4baa1a3a12c47e981d33f8ca31c8f9aefc1b,5468,225,73,34,0,143,3475,263,85,27,0,137,292,141,17,0,0,87,5688,238,87,37,0,145,3,182,62,21,0,103
9601ff0aaf6adb2d36e0a056f786dcdba021bc8c,112,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,141,0,1,0,0,16,0,0,0,0,0,0
8189f3f824beb0318167061b6df15809132e4274,8288,450,119,48,0,253,8283,484,128,34,1,235,8274,475,138,46,0,265,7988,495,117,39,0,221,11,462,103,28,1,227
0c6c3086d3ea557c2999dda22d3c33519b58176c,8342,477,132,43,1,307,4968,441,113,30,2,218,341,346,11,0,0,120,8286,477,142,39,0,213,11,495,126,19,0,191
65bc02c27985e7ab70e3f5f73743ae386ff166ba,7543,622,345,140,2,338,4717,648,316,112,3,414,603,456,21,4,0,161,7392,654,375,106,1,359,17,651,356,86,0,392
26ac3c14208cc5a9abf957ac8974d0667598c013,7488,565,316,116,1,419,4644,560,312,103,0,289,634,481,29,2,0,201,7498,616,317,128,1,385,13,593,315,127,0,351
36dcdb43efc89c6aee1b81f10212751881edf73c,8963,701,373,128,2,514,5418,722,373,108,1,425,695,496,28,1,0,232,8887,805,468,193,4,560,14,719,389,133,0,454
2b15da7ed9033c39c1a0296e53a22a53158edb0c,156,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,21,0,0,0,0,0,0
e694a7e87d99dc4be55d01810f5e2184ea7452c1,4432,181,125,44,0,119,4295,221,122,24,1,95,4161,239,177,68,1,124,4506,190,136,49,2,103,6,154,126,28,0,70
22f5e53a1eb5bda27a716f23a965b5e0653ebda9,7719,630,351,114,4,418,4643,591,300,108,1,381,665,447,33,2,0,169,7393,622,375,101,1,393,17,677,282,128,0,359
b80e62b0b55d75baf41e27c3434304071b371758,223,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,13,16,678,377,121,0,279
96971cc28a978b2673d12b7ed334d6b402aa1bc5,7628,568,338,108,1,384,4667,592,284,158,0,331,716,449,26,5,0,189,7518,647,350,119,1,375,19,623,372,88,0,315
a50e85eecdd2de438736a9d8e3b1d803bf5101a0,7675,656,338,127,1,431,4703,641,321,98,3,312,626,452,20,2,0,177,7698,608,325,97,0,362,21,570,316,88,0,362
68f68ca5a3d152b545cceb29b69ed31d240940e1,8182,583,253,98,1,312,5101,553,243,80,1,276,449,441,19,1,0,226,8156,557,240,81,2,357,8,552,227,75,1,357
1f681f99276481daf8de7dfe92d0e0136c273e7a,8320,506,160,39,1,277,5292,467,122,31,2,224,317,428,11,1,0,133,8225,471,144,47,0,267,14,571,137,48,1,199
b440a3736c91b0db7a049a658497421d81d3dafd,9053,729,461,123,1,456,5670,723,381,136,2,400,862,546,25,4,0,207,9366,775,437,162,2,467,14,693,400,146,1,349
e7dddfe060ece499438cf3225a62a55829044ff4,9055,771,426,156,0,465,9116,727,417,130,2,408,9150,734,405,174,3,547,8768,760,409,155,0,486,30,710,414,126,0,384
1a42780eada478a68e5f893cec8e47e03a49d66b,9200,832,497,193,0,474,5488,738,423,181,3,402,933,548,25,6,0,251,9284,725,454,182,0,467,26,787,462,160,1,433
6684bdfde99e73812b16caed255b0c816b4c7e48,9192,759,368,164,2,484,5745,715,419,146,4,425,906,554,38,3,0,232,9194,780,483,154,2,429,22,850,528,154,0,515
3c4b1683465971aec08eb5e3f129f18f6fa0d36a,8971,857,426,180,1,455,6027,745,367,140,2,401,790,566,28,3,1,261,9053,856,478,163,1,509,17,838,385,153,1,413
