sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
0b6b6a2ed3e4710a76a55aeac6e41a72b9ebeab1,5644,3036,65,54,0,273,5421,2835,84,71,0,323,5429,2804,80,40,0,271,5411,2835,75,45,0,298,5,1227,35,12,1,296
a6b4031f9a574b9f7322194ec45cc6cc845a2da4,5301,2781,92,79,1,339,3319,2247,71,75,0,338,66,1127,10,3,0,274,208,1257,124,56,1,290,9,1263,35,9,1,389
8d47d7d846e55d1eba6fbcb286909bb9e6c2b23c,5368,3005,94,80,1,340,3395,2102,123,25,0,292,53,1083,9,3,0,264,138,1261,88,46,1,259,9,5175,45,10,2,448
1c88a25efbdb7f9294b6f5e386debcfb51ade230,5344,2772,97,78,2,325,5495,2809,98,89,0,353,5526,2698,94,112,0,441,2453,1692,108,69,1,345,5,1264,36,8,0,304
a5430d96dd7af6eff5cfb0ae5fbab5e404f49038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1338,37,12,1,302
979cbe8b2127495e5fd326ee05523924ac2f7ec6,5325,2942,150,104,1,390,5405,3007,95,104,1,377,5511,3119,141,84,2,432,1721,1645,117,91,3,334,7,1229,38,10,0,409
7159161974f3d2211a3185dd345976771bb6ef14,3767,5493,83,79,2,321,2689,4583,64,58,3,308,204,1122,14,1,0,217,322,1280,123,32,1,243,4,1348,49,3,1,384
bedb1d76063d1cd23be216e238e3e850e896440b,3643,5505,62,60,3,317,2632,4475,72,27,0,267,136,1136,12,2,0,254,283,1232,124,41,2,268,3,1191,55,7,1,349
0200591e68d89d1a1bcfe7f6f8145a43fb129542,3736,5919,98,80,2,309,2695,6430,79,47,1,246,122,1057,11,4,0,217,108,1140,94,38,2,255,10,1429,45,8,0,356
a4142b9d31841aea41cb8d3560f6b4ba8e9ce9dc,3795,5850,90,126,2,381,3706,5853,95,118,2,389,3816,6011,120,72,0,346,769,3058,160,54,0,304,4,1263,39,15,0,330
b5b316dd947356a40b4dc433dc9bf0cbc7f20fbc,3671,5813,86,123,2,382,2605,4273,115,81,1,305,127,1059,12,5,0,321,144,1131,129,62,2,335,3,1402,58,12,0,481
2f1033a0588c4f1b3cb69c2f4c66f3d02d4f1a4c,3670,5826,66,81,0,364,3609,5760,100,96,2,368,3619,5868,85,100,2,361,224,1440,149,34,3,314,8,1535,38,5,1,409
f1ab912108eec627afd45ac6ba4b3d34f9531aaa,5832,2808,118,109,0,395,4185,2359,68,102,5,398,172,1212,15,4,0,292,183,1225,129,28,1,302,6,1297,41,10,0,391
e680e98b2c0fa4f281c4889264781271f4342285,5657,2582,81,70,4,288,4457,1884,104,30,1,285,136,777,15,1,0,168,94,1178,129,49,0,251,4,1023,38,5,0,408
ab71efabaf1f1c4ddc955e813eec46a06bfe3c06,5570,2818,87,70,1,390,4127,2483,148,61,1,362,99,1061,10,1,0,231,140,1247,204,60,1,391,9,1339,40,7,0,414
29bf145d1a62492ad57ea698b97cbf7516b053d4,5961,2869,98,120,3,364,4200,2335,86,57,0,317,143,1042,12,2,0,299,204,1350,173,64,2,321,7,2028,48,13,1,431
c9258a07e0870398719537a0dcd4899cf6059528,5685,3126,105,121,0,393,5970,2951,114,90,1,403,5894,3074,113,100,1,451,2384,1886,85,96,1,358,11,1370,62,6,1,394
8b03a3fc2899f03f1fd5a38af67ee2a3a6105c8b,6144,2924,112,97,1,366,4486,2520,137,62,0,322,160,1089,15,4,0,307,210,1337,133,97,3,345,3,1285,54,10,2,475
cb065e0459e8a2f96af5fc75d3a40e48cd4179fb,6129,1298,51,46,1,235,4160,868,44,28,0,228,42,191,10,2,0,125,175,332,90,30,0,151,7,317,50,2,0,356
