sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
9435e5252e70babd05539c857f0fce17c9c7cb3d,7172,1007,229,96,1,281,7360,1000,189,90,1,267,7436,1019,171,114,2,315,7129,990,205,104,3,293,13,934,128,57,0,242
f2d1889c11e6abc68d1518ddca8c6870ae47e300,6005,249,62,22,1,165,4414,262,49,26,1,167,489,223,14,1,0,123,128,236,64,12,1,105,6,220,35,10,1,154
e2a67fc8b3e1568e60a01da44a4f551cf0f399b8,6565,269,49,24,0,170,5016,329,28,10,0,117,401,175,15,0,0,109,135,237,40,20,1,97,6,283,18,3,0,167
554a524af2d2b30d09505516adc412468a84d8fa,7097,929,181,60,3,363,7228,963,142,66,1,346,6205,871,156,63,1,337,2885,971,195,78,1,391,11,921,73,19,1,272
3a144732ddd24e4b1fac3e3d9cbd0370314e48d6,6768,626,77,30,1,211,5080,618,61,25,1,189,425,536,16,0,0,172,173,613,92,28,1,184,5,584,44,3,0,183
bf1b3b3f9ccf965b8a5dd5f38e63274dfef5378a,7882,1011,221,112,4,305,7609,1021,203,98,1,357,7635,1075,224,115,2,334,2834,1050,220,110,4,361,12,1026,168,61,0,310
873df3755f00cb12119a8646fa0a1ce0cf431c8c,7084,936,200,108,3,346,7222,943,208,109,3,344,7446,964,204,112,2,364,158,905,189,91,3,243,8,984,145,73,2,311
e83fe79a4083496dcbf87e29645e4dbe578957f0,6901,651,122,62,0,220,5293,666,100,63,1,226,416,603,21,1,0,168,194,612,125,73,1,179,5,677,99,46,0,220
322c261bbb6fd36162716abc3474e44f03c9a796,7830,1015,191,84,2,304,5418,967,205,53,3,250,548,847,36,7,0,211,132,949,201,76,1,237,8,934,170,57,1,280
6e0d8beb6fe1b3242ab1904065d8bd29d7da2e00,6224,861,110,49,1,293,3726,872,66,14,0,215,70,902,18,6,0,185,152,847,117,26,3,189,11,961,103,20,1,266
b2bed20f32897bd7f582a1752ba0a5f2a6799191,8086,1033,209,123,2,316,7771,1019,197,90,1,285,7811,1090,241,95,1,337,140,985,195,118,2,271,11,990,177,66,1,285
b72cbaf5080b37c3c2bed2bb7ebd0bbb29183fd0,7712,1037,230,76,1,345,6148,1020,179,82,2,301,537,942,37,3,0,263,233,1012,227,88,3,228,10,941,176,69,3,343
5b301ba50d647d4993635adcc3dc9eca0745f0c9,2359,74,150,34,1,79,1952,61,106,31,0,80,10,34,0,0,0,47,79,64,125,29,1,50,4,76,74,64,0,83
084f488f87a12de0657400c066a71c3b0b4b36fd,6904,923,124,57,3,257,5359,906,106,33,0,276,523,836,30,10,0,193,97,946,139,39,3,210,16,916,109,21,2,285
10d22fcb31027635156e722e62685a1932fab515,7594,695,156,112,3,291,6132,688,132,53,0,223,555,672,31,3,0,235,355,719,206,99,1,261,8,699,130,51,0,242
46a4d9e300f90db33758e2d058ef5ade9b094aae,148,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,16,0,0,0,0,0,0
997320f3270e3189b7bf2c960624f3f7a6c340b0,6935,574,85,103,0,198,6617,594,92,125,1,260,6842,585,72,120,1,239,3476,591,84,114,1,245,15,1071,133,357,2,415
2d26e32c9520dd5764ad449b6a2471467ce63599,6967,227,45,123,1,159,6429,240,44,65,0,155,6483,245,52,58,0,157,107,194,42,21,0,126,12,321,31,13,1,170
7b7f48cef921c8128fec0541780ecd8300249f21,7581,694,103,139,2,327,5764,622,55,121,1,279,451,609,18,6,0,200,158,639,116,62,1,249,8,675,80,21,0,316
f52f0d077e038a4ab2c9b934691300f74e0cd96e,7458,662,76,121,1,238,5794,656,45,107,0,220,442,585,15,3,0,151,131,643,103,40,2,168,8,623,47,16,0,211
3a0062f454ed19e1db53d6ea632a8ad06a9ec6e4,6622,231,71,104,0,188,5245,267,50,92,0,234,489,200,14,5,0,116,90,226,59,39,2,124,4,268,40,15,0,181
b2abd2e9c3f4f8521559d6282ff40896eb478291,6382,257,54,133,0,191,5271,235,33,111,2,179,447,178,13,3,0,123,88,244,60,30,1,125,12,339,44,12,1,214
0f7bdcd06fdd05b0159a205987fd1cc38bab3911,7512,712,108,140,3,263,6009,666,80,100,0,258,536,559,20,6,0,194,131,600,121,41,2,162,10,639,60,23,0,259
d56061dc9389545c712be42fe881ff16dd58182e,7866,1121,238,493,3,475,6191,1108,165,457,1,382,756,885,38,38,0,316,567,1094,285,403,2,437,17,1099,179,263,2,441
b03eb3c8c6083cc141fa8e9407cd115dba6eb5c0,7541,721,106,419,0,256,6026,659,79,377,0,251,558,549,24,25,0,190,210,687,153,326,2,204,11,725,72,207,1,282
1dd9a09bbe57e28f46ed2547c1efd5459f799f46,6600,229,45,62,1,179,5216,237,43,57,1,193,446,153,19,3,0,89,127,205,40,20,0,88,7,243,29,4,1,112
65e9fee782834ec89e310181d5de1bb41b67adf0,8003,729,128,410,3,300,6209,727,96,478,0,265,432,608,21,21,0,232,285,665,120,284,1,204,9,823,77,214,3,276
5f9e768c13b29b848542ad92614981cafc5f983d,6723,963,158,459,1,314,5430,1023,172,399,5,347,639,868,44,36,0,247,102,1026,203,268,1,259,15,1062,159,265,1,429
0830f01c740c80b5d544fbfab634bd648f369c95,1568,23,43,235,0,82,1381,19,22,186,1,68,294,15,13,9,0,63,187,22,35,55,0,57,3,17,13,43,0,50
ed7bb1573ffbc0ce3a875e1cf05cd36d9ca4418e,7655,656,108,129,1,222,5784,616,48,109,2,220,471,576,23,5,0,176,154,702,96,36,1,163,12,724,60,17,0,252
f49c7bd10f3252d166b185639e4d70d0fea7426a,7064,1001,182,512,2,371,5273,946,110,365,3,318,570,906,49,31,0,266,133,972,195,242,2,263,7,1029,168,225,1,420
d089708d84e3a87f1275b78e5d17d47dd155e66e,7526,616,91,156,0,257,6060,722,70,134,2,255,478,556,13,5,0,177,128,749,104,58,0,175,8,666,71,17,1,266
9c7af24630fb2f7e73ecceae3360d124195c85f7,7895,1093,203,476,4,380,6060,990,139,438,5,287,620,952,47,51,0,292,132,1085,196,249,2,274,14,989,142,169,0,407
c24b058c98debb980e82909ab1fccfb0e3c0dfa6,6598,221,48,109,1,167,4736,201,36,92,1,162,73,164,9,3,0,76,151,246,50,23,1,103,7,208,26,2,1,107
