sha,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other
c3083f49884b0b11d5b000b64eee96c3bf8cdd00,5819,174,69,18,0,156,5887,186,74,19,0,163
fac5e3d48a9f5fade7e2ea2f14ce3224de4dbe90,3004,172,60,12,0,141,294,107,12,0,0,111
1fcbd3a23ce621b4b8ed448cda66238e779ff020,2955,160,68,5,0,125,366,119,14,0,0,139
956a9b30ee71a54bcd40e981d9f3d3919f27939c,653,13,16,0,0,24,57,7,9,0,0,26
ecae46a87f3920ae3a1c9311e828cdcfd23bacb0,725,22,21,0,0,40,114,9,12,0,0,36
70b8809eebad7ebdcd9b7ed6f1ddd99ea1e30cb6,718,21,14,2,0,39,114,13,9,0,0,34
5e144b84c2052b42baab2a9fae900af0d523edaf,702,19,23,1,0,39,99,12,10,0,0,27
1d61d8243f0f9a5f0b9de0f7df6201b92d15024e,3000,192,84,18,1,117,176,100,12,0,0,93
5125549558dd8d59df4ed2e990fb6cd3334fb5ca,2947,170,84,19,0,103,166,132,10,0,0,92
6ac486614ab877d6971dec2b43157039bf7978f6,2880,169,55,11,1,115,230,97,13,0,0,96
dd82aff217f12ef66fdce3b18b963becc0734435,0,0,0,0,0,0,0,0,0,0,0,0
9145b3c51440fc3594cfd22e1b9aeb7221b552c1,5804,178,81,24,1,156,5881,133,72,14,0,158
a93ea4925ebf06f67e1efc7a19cf21bd5d94bd65,3088,175,66,7,0,106,191,95,12,0,0,97
9b696806c08e6fc9deef5aeb8bedc03c51606561,2973,154,61,10,0,133,226,103,12,0,0,102
b02dd3e1468a48f4763902002b5a390d47b606fa,3022,175,57,11,0,112,184,100,13,0,0,98
8fa6c285eaf39a69ac368e3e1c2778ac2c33fa5b,0,0,0,0,0,0,0,0,0,0,0,0
21d0c13d749e34793dde913345daf23e6a08be00,616,21,13,0,0,33,57,9,8,0,0,29
ad86bb6b5138a03dbbd64517f4a283aa01fd9593,706,16,11,0,0,36,63,7,8,0,0,33
3d61b585c6dc8cfd465e2d0ef0b7a0e7fba950b1,663,23,17,0,0,41,69,10,7,0,0,33
9ea7b79a55e4c9d31ca061858aeca3d22a605ed5,3075,178,50,10,0,137,346,106,10,0,0,98
239ac22ec54e6585b2a92f554e255cb16baecf5b,0,0,0,0,0,0,0,0,0,0,0,0
956922200886b753c57587d59900ce4e740ae775,916,40,18,3,0,49,310,37,13,0,0,50
