sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
b18e01a9920fdbcb4fbf1725c0908851a0a3e7fc,109,0,0,0,0,15,169,0,0,0,0,13,114,0,0,0,0,14,114,0,0,0,0,16,0,0,0,0,0,11
e40032eda81cc22dc4f63b18044c7515b849960d,153,0,0,0,0,15,77,0,0,0,0,14,22,0,0,0,0,6,49,0,1,0,0,13,0,0,0,0,0,14
03d5a5c6f4d9a1b7ee18b4efe9797492fd55949e,204,0,0,0,0,12,103,0,0,0,0,14,139,0,0,0,0,22,50,0,0,0,0,9,0,0,0,0,0,19
2234330f7e9f24b4efd2beba6ce2743114497bc7,179,0,0,0,0,13,119,0,0,0,0,12,138,0,0,0,0,7,50,0,0,0,0,11,0,0,0,0,0,11
c7d7332a53ea0620118dec480ff6dc77be988640,121,0,0,0,0,15,86,0,0,0,0,13,42,0,0,0,0,7,50,0,1,0,0,8,0,0,0,0,0,27
181cadbba3efe8573a2263a7d6cd60c140077491,123,0,0,0,0,17,135,0,0,0,0,10,34,0,0,0,0,9,49,0,0,0,0,9,0,0,0,0,0,17
9c0f946c2a3da7014c3ac6926bb19d73d0158041,118,0,0,0,0,16,85,0,0,0,0,10,70,0,0,0,0,15,59,0,0,0,0,9,0,0,0,0,0,11
bf2b195189bf2f47cf7a777e77e74b8f53bced43,125,0,0,0,0,13,65,0,0,0,0,15,32,0,0,0,0,7,120,0,0,0,0,9,0,0,0,0,0,21
c894b5366ccfaed194e158d3cd13f8635b00e085,120,0,0,0,0,10,82,0,0,0,0,11,61,0,0,0,0,9,123,0,0,0,0,11,0,0,0,0,0,11
6b72db7f24f1c530a837734094fd01d2b8f679a1,110,0,0,0,0,19,75,0,0,0,0,9,54,0,0,0,0,8,87,0,0,0,0,11,0,0,0,0,0,25
215eb26362e48c6839593fb8a723763178731bb9,113,0,0,0,0,14,105,0,0,1,0,7,75,0,0,0,0,8,113,0,0,0,0,11,0,0,0,0,0,26
ec43692567bf4dc297cefc79ea903e403afa0e31,111,0,0,0,0,16,72,0,0,0,0,10,23,0,0,0,0,8,50,0,0,0,0,9,0,0,0,0,0,13
b233dbb777fb03bfcaf3677001f5fda27288c5f0,145,0,0,0,0,17,71,0,0,0,0,9,49,0,0,0,0,8,82,0,0,0,0,10,0,0,0,0,0,12
7e36a361b38614ab202a5c4d7490750e1bb1d65a,124,0,0,0,0,15,85,0,0,0,0,8,71,0,0,0,0,8,143,0,0,0,0,10,0,0,0,0,0,10
a879c181168edb010a1075d507072ab068da3b98,144,0,0,0,0,17,71,0,0,0,0,11,54,0,0,0,0,12,99,0,0,0,0,10,0,0,0,0,0,29
818e789b26bc27956cfbf48766d2eb421d9d897c,186,0,0,0,0,13,154,0,0,0,0,13,47,0,0,0,0,8,79,0,0,0,0,8,0,0,0,0,0,35
74c78652dfefbc2596c925827c1015e51a51e003,130,0,0,0,0,17,64,0,0,0,0,16,76,0,0,0,0,10,51,0,0,0,0,10,0,0,0,0,0,11
bdc5223611c99b8d326b928084d62b42df466f68,126,0,0,0,0,10,104,0,0,0,0,13,29,0,0,0,0,8,60,0,0,0,0,9,0,0,0,0,0,12
2c5c2aa9de3e6fa15955def6b810927aa945f22d,153,0,0,0,0,10,89,0,0,0,0,7,57,0,0,0,0,7,49,0,1,0,0,9,0,0,0,0,0,11
6061a354c80e5fd4cf7293c67f5b0841f7d901b0,212,0,0,0,0,15,100,0,0,0,0,8,53,0,0,0,0,9,51,0,0,0,0,8,0,0,0,0,0,12
50c366800c72590b79fe175829954ae5f27a97d9,139,0,0,0,0,13,122,0,0,0,0,12,69,0,0,0,0,9,86,0,0,1,0,8,0,0,0,0,0,11
542c228b74a846ad33a20a7271266b6794f23fd1,122,0,0,0,0,11,99,0,0,1,0,10,97,0,0,0,0,13,75,0,0,0,0,13,0,0,0,0,0,18
e59bc83ad94917ac576ebb3e47f942306a13798b,129,0,0,0,0,15,130,0,0,0,0,15,89,0,0,1,0,14,94,0,0,0,0,12,0,0,0,0,0,16
3b71b2e4c00c53256c6d0dde9c1a22aa0e0fb8c7,157,0,0,0,0,15,61,0,0,0,0,13,67,0,0,0,0,10,51,0,0,0,0,8,0,0,0,0,0,26
e72385684c4fa6fed9afbdf3a2ac4b0e8b4fc7dd,116,0,0,1,0,10,135,0,0,0,0,13,51,0,0,0,0,7,103,0,0,1,0,13,0,0,0,0,0,47
51e5a4f209ba9e3381d00d46a2b03d2b73343b2b,117,0,0,0,0,14,60,0,0,0,0,12,20,0,0,0,0,8,56,0,0,0,0,9,0,0,0,0,0,40
9d2e9b617b2e604cbce5822a4718a9571bc1fa42,145,0,0,0,0,14,115,0,0,0,0,15,143,0,0,0,0,14,55,0,0,0,0,12,0,0,0,0,0,11
7a2a6f389f602f8235f3ead022f2018f440dfe98,167,0,1,0,0,10,84,0,0,0,0,12,34,0,0,0,0,7,56,0,1,0,0,10,0,0,0,0,0,35
4cf1ec3996b9958ad803420e57ec2871f4fdc422,144,0,0,0,0,11,72,0,0,0,0,6,29,0,0,0,0,9,50,0,0,0,0,10,0,0,0,0,0,43
f52a0581929c88a570ccdb8d03cb5521ac8fb102,119,0,0,0,0,19,66,0,0,0,0,7,74,0,0,0,0,8,113,0,0,0,0,12,0,0,0,0,0,12
4ba8d44a5087e28f620a454065b0bbeca9072d85,170,0,0,0,0,13,165,0,0,0,0,14,115,0,0,0,0,11,79,0,0,0,0,12,0,0,0,0,0,11
76216853b384cb6b603e2b134948256861048d0e,116,0,0,0,0,16,63,0,0,0,0,11,78,0,0,0,0,13,50,0,0,0,0,9,0,0,0,0,0,11
715b07289d7b0d6d900a6de65f18634617968234,125,0,0,0,0,13,88,0,0,0,0,11,97,0,0,0,0,12,68,0,1,0,0,10,0,0,0,0,0,12
fe0fbc319ced29ac619548f4aa9c4390776914bc,136,0,0,0,0,18,65,0,0,0,0,6,25,0,0,0,0,8,56,0,0,0,0,15,0,0,0,0,0,25
479f6e2f3d73fc3511b0f95e6ea1f8100d3ee4e1,166,0,0,0,0,16,61,0,0,0,0,10,63,0,0,0,0,9,72,0,0,0,0,10,0,0,0,0,0,13
9fa9274a1f38b60cf5b967125614eccbf8cc7d3f,240,0,0,0,0,13,86,0,0,0,0,10,26,0,0,0,0,8,51,0,0,0,0,9,0,0,0,0,0,13
3c08278d113343cf3981a1d0cc4ad89cd79aa020,116,0,0,0,0,14,101,0,0,0,0,10,33,0,0,0,0,15,50,0,0,0,0,8,0,0,0,0,0,11
048709f76479b6c091341f083160401a1752db4f,129,0,1,0,0,14,80,0,0,0,0,12,83,0,0,0,0,9,56,0,0,0,0,14,0,0,0,0,0,24
eeca3fadc8ae9bd4a643c14ef26c234646ddc1f7,163,0,1,0,0,16,26,0,0,0,0,7,19,0,0,0,0,7,56,0,0,0,0,10,0,0,0,0,0,18
af9af6febcdbf6f4aa253791557c8690ae057597,124,0,0,0,0,17,86,0,0,0,0,10,48,0,0,0,0,21,159,0,0,0,0,9,0,0,0,0,0,29
8bcc13d5882873038fcfc8f1b493bb732926971b,194,0,0,0,0,16,59,0,0,0,0,15,41,0,0,0,0,5,80,0,0,0,0,10,0,0,0,0,0,32
a7be0603aa7f9c1b830b49abf142a8c7660bc88b,141,0,0,0,0,9,59,0,0,0,0,12,58,0,0,0,0,7,49,0,0,0,0,10,0,0,0,0,0,26
e524bfc66d6400b2fb046d110b802e664112e312,126,0,0,0,0,12,61,0,0,0,0,12,75,0,0,0,0,13,61,0,0,0,0,9,0,0,0,0,0,12
752d5891073dea8da19d3dcae549aef0e84e29a7,131,0,0,0,0,12,117,0,0,0,0,10,39,0,0,0,0,7,54,0,0,0,0,11,0,0,0,0,0,22
419826f613542f0dabdd8e26ae13e79d3feb3282,128,0,0,0,0,13,60,0,0,0,0,11,35,0,0,0,0,22,50,0,0,0,0,10,0,0,0,0,0,11
79dfe704992fb90e4b40850a2af8ffde78d07334,117,0,0,0,0,14,137,0,0,0,0,11,170,0,0,0,0,9,50,0,0,0,0,11,0,0,0,0,0,30
faee35201780a55f2bb4554eb26877b640132b71,151,0,0,0,0,14,114,0,0,0,0,10,78,0,0,0,0,13,49,0,0,0,0,12,0,0,0,0,0,12
6bbd4896f68625778281e6a89793a95a2624a0a5,123,0,0,0,0,13,60,0,0,0,0,11,48,0,0,0,0,9,51,0,0,0,0,11,0,0,0,0,0,12
735a58c3fe4c4f3949cbbfe3223ed4a8c75c8b98,124,0,0,0,0,15,75,0,0,1,0,9,75,0,0,0,0,8,81,0,0,0,0,9,0,0,0,0,0,12
c3e65cf7766c09f0800f81920d2ada250e4846fb,173,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,11,0,0,0,0,0,0
