sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
18260e1ccbdb5fbf03fe752940193ffc7184f8b8,2741,66,80,7,0,205,2657,87,95,16,1,211,2629,81,82,11,0,204,2588,62,86,17,0,224,8,103,124,35,1,261
d5bd3a2f66a9d92e5b222303e2247b5c7f5966ca,2530,57,81,10,3,263,1773,73,76,10,0,176,210,45,27,1,0,116,251,50,95,8,1,162,9,78,111,30,1,227
11da199bb71f0496c2c00ea637bab089bc846603,753,10,20,3,0,42,525,12,19,0,0,46,57,7,13,0,0,33,121,8,21,3,0,42,1,12,11,0,1,58
620dd34a6b7bff998c56798adcae0c53903b552f,899,28,27,1,0,57,568,20,20,2,0,36,94,10,12,0,0,37,105,14,30,2,1,37,2,13,14,0,0,31
fc66bc6ecc3486418f63bbe35654a647b6039277,2637,54,92,15,0,181,1622,56,63,5,0,167,124,39,19,0,0,115,199,64,115,10,1,176,10,51,126,8,0,229
69b6f7f5b7b7a1597283322ee0c079cd51cbc196,2552,54,83,14,3,209,1627,55,78,9,1,169,172,46,18,0,0,125,169,67,79,12,1,154,12,59,137,14,1,175
abee8a0459dbf7651cf8c0ef9fb5018e85c387aa,2436,60,72,16,0,208,1540,44,55,6,0,192,156,54,29,0,0,129,176,41,82,16,1,150,7,32,105,24,2,164
a9605415da2153729f375cefa155230d402ab29a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aca383f00275e55a479d68c9ac72e3eebf9dae3b,2655,41,103,18,0,238,2565,50,75,10,0,227,2573,62,77,13,0,219,161,43,82,12,3,151,12,72,161,10,4,206
7b5d0c91522cb9e5ec0bb01baa4ffafd3ea6affb,802,15,35,2,2,35,646,15,19,2,0,55,118,9,10,0,0,33,85,11,23,6,0,40,2,13,17,0,0,37
9430f0c7b202e3b8c0db075eea217a67a49771d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b334963a55a911b63ef46c7be8e8cd0490417982,869,17,28,0,0,51,716,18,20,1,0,52,87,10,9,0,0,31,122,14,22,4,0,42,0,12,19,0,0,39
98f43f71bff9df873f41629810016f9d20b90e38,2626,66,81,7,0,214,1713,60,76,18,2,174,134,42,19,1,0,115,189,47,100,8,0,142,4,58,110,22,1,197
ed9c27b4231e747213c60581f2dd2864dae5496f,2632,58,88,10,0,205,1572,57,74,15,1,165,135,45,22,0,0,109,185,52,79,14,1,146,4,52,104,21,1,170
bc24abd8079234533f1f4bd5d6c7c8af50448ca8,2581,58,78,15,1,211,1520,58,65,8,0,163,181,44,20,1,0,107,270,55,85,14,2,155,5,55,112,11,4,180
757ed8182ced049e266a82c85cdf317db428c83c,2610,61,80,13,0,180,1722,87,73,8,1,190,170,46,20,1,0,128,179,49,84,6,0,144,2,55,110,16,2,180
588643a53afb09e8253888848945542f81f424c1,2559,52,96,10,0,215,1678,70,65,6,1,165,145,59,18,3,0,124,207,64,109,10,5,146,7,62,150,7,1,228
7f8e5e5833b87a3c0a190fa0ecc045e1c90fbed0,2564,58,102,11,0,216,1803,51,76,14,4,188,254,43,29,0,0,161,278,49,84,15,3,143,5,56,111,9,1,211
a968c4881c091fbbb407d74eca3a2d20af87b4eb,2694,61,84,14,1,199,1690,61,67,10,0,144,279,47,18,0,0,134,183,63,90,16,0,156,10,52,110,22,1,200
ccc13be1d8971ad63b0d47293ea9241962f7e0e1,2384,59,82,6,0,214,1682,56,73,9,0,183,246,40,17,0,0,117,179,80,102,11,1,158,8,90,129,11,3,210
f548e1d946e3e65585051a63af546b1d5b93a441,2701,68,88,16,1,239,1710,55,57,8,0,142,225,43,16,0,0,121,207,45,94,6,0,170,18,50,134,15,0,195
43404b142f799ce1c503daea97da0538d7160798,795,16,28,3,0,53,79,14,9,0,0,24,103,8,10,0,0,43,80,11,24,3,1,30,3,12,11,0,0,40
60df018d04cb8c721b89afc8810d6cec4785e372,758,14,18,8,0,49,564,14,25,3,1,35,36,5,9,0,0,28,79,9,19,1,1,39,0,10,14,0,0,58
98e7c5dbe4d84191a597f7c893178ec0b225f43b,842,13,26,3,0,49,603,22,18,3,1,43,84,9,10,1,0,29,71,12,20,3,0,34,1,13,14,0,0,56
8a64213bbd8be24d248c2594317ce81915df42ed,2495,45,80,7,2,214,1673,67,65,10,0,160,283,41,17,0,0,108,218,51,71,13,3,157,9,58,117,9,1,182
5cd9ca272355892b0d4cd29eea92dc46cf5b0bfa,2471,47,81,11,1,180,1602,46,69,9,0,142,218,41,18,4,0,115,190,52,126,13,2,147,10,54,152,17,0,202
6b50e6767cd00834d30cfaed35a177111bd985ae,2509,31,76,15,2,173,1914,43,82,6,1,175,211,42,23,4,0,122,202,47,91,5,1,164,9,54,134,14,0,204
274383e0804cf329efcc6e20363e4ebf40e6f889,2494,45,70,15,1,189,2747,59,76,12,0,182,2505,50,93,15,3,191,199,53,79,11,1,147,10,62,134,7,3,203
9bc3611ced184c47c62bf6a536dacf6c9ac76056,871,17,22,1,0,60,623,21,25,3,1,42,93,11,10,0,0,29,122,15,22,2,1,37,2,15,12,0,0,60
b212358d39dfc3f27329ca75ae51492a0a90a7e1,2748,56,86,17,1,214,1650,61,77,7,1,171,221,38,19,4,0,129,197,53,83,10,1,146,5,56,106,17,4,195
c87191dfc90098c5c8b8bfe4488c97cf236cae46,928,15,28,3,0,44,684,22,19,2,0,45,79,12,10,0,0,35,110,19,40,2,0,48,2,13,14,0,0,98
8b37d7266d103ba926eaf8bba3091813ff6366de,2572,72,84,12,0,192,1653,61,105,6,1,153,207,38,23,0,0,124,196,46,104,10,1,140,8,76,110,16,1,184
ad072dd5218e37ab8e3f130a638e17d313d3a38a,923,16,26,5,0,52,588,17,20,2,0,36,77,10,9,0,0,35,114,12,28,2,0,40,2,13,13,0,1,67
325331efce79867d993288734baca73835365b56,850,13,28,1,0,62,617,18,18,1,0,42,90,13,10,1,0,33,140,15,21,3,0,35,2,11,18,0,0,33
8feb6c9548c9913dfec8237110125bf1c253741d,819,14,13,1,0,39,568,18,23,3,0,34,102,8,9,0,0,28,65,10,16,3,0,33,1,11,13,0,0,32
1ff6ad702bf4e534be62f13d662d8b1683e770fd,2323,45,77,9,0,178,1621,39,65,6,1,173,164,28,11,10,0,106,155,48,99,5,0,125,10,43,104,18,2,200
12dd5c6cc1cf9db67f2ee77f6f3fec05cd1d97d4,13394,237,159,51,2,420,13595,277,162,48,2,381,13038,218,140,47,1,328,9397,268,179,38,1,348,9,181,123,16,4,297
c06ee44be2b29ecac2195d6847862d907c4049d8,12934,170,177,34,0,438,8206,180,158,27,1,346,292,108,25,0,0,221,282,266,206,34,2,356,13,184,159,26,1,401
7e81fea8f53bab9a536898c9adb28c20fe936496,4545,125,49,7,0,122,2924,112,35,7,0,93,134,65,12,0,0,48,182,121,57,13,1,74,3,96,16,0,0,102
faece266ff48a79f85f7d44c4c9f75676539a409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714dc81b60a2fd724787340f453d60b990330a73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9959af6aa780317f0e8ad81ad7e51f732feea6eb,4678,118,50,6,0,99,3211,111,30,8,0,77,112,60,11,0,0,47,199,92,32,6,0,66,1,83,31,2,0,63
607dd4d3094a96bedc1e3c1a55d814e3135525d0,12824,198,158,22,1,360,8153,196,139,21,1,337,246,131,22,1,0,201,275,145,166,32,2,316,5,135,115,18,1,286
dde6ba63a4e6e8995085da68b74261fc0740630d,13359,235,153,31,1,358,7821,238,144,24,1,332,302,178,30,1,0,263,265,245,188,40,1,315,8,150,95,18,1,257
bde26035f5d662ab1754100be3638fd88fd2e0dd,898,12,21,2,0,51,621,17,22,0,0,47,60,9,9,0,0,28,197,14,15,2,0,31,1,11,15,1,0,32
7f1c5e9a4fff0360eeba895e3d4fca4cde45541b,13084,236,177,32,1,359,8022,233,164,27,2,389,379,180,44,1,0,263,354,236,195,28,3,328,5,190,100,28,3,294
3aed45816d48322b271bf03bfb372225363ab857,13001,173,136,24,0,406,7946,182,125,17,1,372,265,141,24,1,0,211,232,166,151,25,1,302,8,141,90,16,2,320
9139538504de73a8ffe4973dfa410fed4b752da7,13412,179,142,40,0,381,7820,179,117,16,3,395,221,124,27,4,0,203,236,206,189,34,4,282,7,154,107,15,1,304
f249238f3bec99c6d30f710f0fc3b3a2904645ad,12914,169,137,32,0,334,8043,178,135,17,0,309,292,212,41,0,0,245,211,152,170,40,2,315,13,168,96,21,2,356
c6ffc58dc99056aee6d7c16d9f32d8d8eb6f6e2e,13550,222,150,41,1,417,13404,215,141,36,1,399,13832,275,166,41,1,396,1816,253,174,64,3,340,5,189,94,18,2,302
