sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
9b15b2008bd9dc654127629d40009899a4104e67,6785,553,245,86,1,360,6346,592,321,96,2,300,6730,526,297,88,3,306,6988,568,327,87,1,317,14,462,272,83,0,291
a345812f8fe6e80b8626b44eeb9f960842737bb6,6644,461,251,86,0,413,3623,356,202,67,1,232,277,276,16,1,0,177,550,305,256,32,0,278,5,397,104,36,1,169
bae558d829400e0fee781cf60de295841afcf68b,3995,22,64,12,0,202,2092,29,53,7,0,172,42,12,9,0,0,92,177,21,53,16,0,156,1,22,11,0,0,123
989cea121f33b6a4e35d99a0fdd3f8d599abff0c,6097,491,158,49,2,174,3559,437,160,32,0,108,106,288,10,0,0,95,369,402,225,38,2,104,7,372,103,21,0,91
9f8fe5b1bfed58169a01c6f2d8648f77b8743b89,6229,436,247,108,1,333,3731,371,202,48,1,236,362,254,14,0,0,189,524,334,226,75,2,283,3,296,116,36,1,225
3c2e5880e592b327c179c59efb269bbfbfe2d52f,6060,574,162,54,2,183,3732,485,137,38,0,146,107,300,10,1,0,82,432,405,150,47,2,132,6,351,97,28,0,101
6756fd62dd70a8eaa6f53527a96a87f3ec54c765,6044,521,149,55,2,154,3683,523,149,63,0,131,99,296,13,0,0,83,372,402,146,60,1,97,6,384,112,20,0,149
eafa46e2f5e53791f6dbaa1acab007b2394909aa,5789,400,121,32,1,231,3626,412,125,21,0,198,140,301,4,0,0,143,158,272,160,36,0,174,10,278,110,29,1,149
15cc3d301ac848eddc1dfbb6df9745d61c2f76f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0be34d87125f0e5a14feb6dd27cd1d9ecca0ad51,3808,2,50,14,0,230,3892,6,63,18,0,234,3849,5,50,16,0,214,214,6,57,11,0,173,2,5,9,1,0,137
c76b75f68c5f90e8d82198130877042d4ff388e3,5963,407,158,46,1,249,3457,348,97,44,0,205,176,265,10,0,0,140,252,291,133,48,0,176,3,271,91,30,0,147
1c33a71c86d499bbc0381552763c759ef22134c8,6656,585,328,67,2,324,3889,550,257,77,0,261,304,333,14,1,0,138,830,417,330,88,1,294,9,337,93,26,1,136
63b64ba9d1a7d0e0a5fcbd3259335e364a84d441,6083,395,122,42,0,241,6400,389,133,39,1,244,6106,445,133,39,0,222,1532,285,142,44,0,255,14,504,229,74,1,237
8dc4eec3bc4dd7fe3eb698c5cae8e204317d3e67,6096,446,157,59,1,310,3585,408,161,29,1,204,211,256,14,0,0,135,250,266,163,19,0,223,7,261,97,24,1,178
c78e510a6d557740eb1c692bf385dbc71bf6dd09,6063,404,127,32,2,261,3445,341,108,49,0,190,152,256,13,0,0,150,248,307,177,36,3,273,5,270,114,30,0,205
9c0b8ad67142f44e7dcc84583c8182e20351d992,5837,456,106,38,0,206,5888,391,105,40,0,212,5767,373,115,27,1,224,1481,348,166,22,0,182,9,438,223,67,0,222
b68a9cf2a9662d8243498a0c8131fbad5102014b,234,0,19,2,0,37,8,0,0,0,0,18,10,0,0,0,0,15,102,0,19,1,0,31,0,0,0,0,0,76
3389583fd6c1960c48f3e384067617659a255bed,5826,398,133,45,0,222,3407,388,127,23,0,174,81,252,3,0,0,119,118,261,188,30,0,231,4,265,130,33,1,247
0faec47ffceada0c9909fb28e794366f752d5fe5,251,0,17,2,0,40,24,0,0,1,0,18,8,0,0,0,0,18,123,0,21,3,0,36,0,0,0,0,0,77
