sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,incrementalJarThreads instr,incrementalJarThreads project,incrementalJarThreads monitoring,incrementalJarThreads lock,incrementalJarThreads violation,incrementalJarThreads other
2d7b0d1949403a5cce39c893da5f047fb596070b,6214,282,88,39,1,257,6615,291,109,46,2,287,6501,307,138,41,0,261,6854,296,117,28,2,289,12,306,116,17,2,251
845f651300dbcdbfae00ec75db0c9a94244b6e93,5585,195,82,18,0,224,3451,204,67,20,0,206,380,139,17,0,0,145,188,215,102,25,0,191,5,242,93,26,1,234
81075d7fb1fa1102e53b0f159004e81f30567b1e,2786,137,53,11,1,114,1818,118,33,1,0,78,111,70,8,0,0,48,204,98,53,10,1,63,2,94,27,0,0,57
ba631b9d4a542885303aa7bd5952ad38b3d7e990,3253,134,28,6,1,96,2041,125,18,1,1,101,168,94,16,1,0,100,241,124,36,6,0,75,3,127,18,3,0,70
efbfe75d18d5022fb9c5175332cb5f4c06cd7ff1,3144,134,34,5,1,113,2017,113,27,5,0,99,90,83,11,0,0,58,141,134,51,3,0,71,1,123,20,3,0,99
77ca4ff79cbd1d6cd6ce81a6cfe53aa5dba68d30,5217,178,82,31,0,190,3188,161,76,14,1,196,258,128,19,0,0,126,317,229,90,27,0,198,11,151,102,24,1,284
010c87d9170f3e86a001a6351699aef1ae168fcf,5745,235,108,17,1,265,3646,200,68,15,1,215,277,148,18,0,0,182,246,186,123,38,1,206,11,188,114,30,0,180
2ae8ee5f981ca347b8cf000e8e0bd7b7bfadbd23,5231,195,98,19,2,261,3282,160,63,13,0,204,219,131,22,0,0,119,146,193,106,35,1,183,11,155,84,18,3,195
a79e8443ab85d01fc71154ae7d2296f65ad89d20,5307,168,76,18,1,229,3161,179,60,8,0,186,271,136,20,0,0,136,152,161,105,19,0,202,15,171,82,38,0,252
448718f23015abb49120fd77f4931c5b6266f2b0,5282,204,96,27,1,253,3268,163,54,21,1,198,221,116,20,0,0,125,329,174,143,24,1,220,14,190,127,44,1,320
4c306c847ebc63d8642f62d0de4f56ff6250afb5,5986,290,96,21,0,289,3754,245,93,22,0,213,378,160,20,0,0,149,214,222,137,32,0,215,10,208,102,23,1,230
4372e81347f5593c3dae8fc7b122c5d45c3057ef,5585,219,62,18,1,249,3604,190,64,26,0,219,402,141,19,0,0,151,258,243,98,42,1,225,7,168,111,29,0,288
07b12a6d31144fe29c9b87e4dcfc0ea5d2bd3ad5,6568,289,108,25,4,293,3968,237,86,14,4,228,483,226,38,0,0,204,909,277,121,21,0,236,7,232,88,28,2,254
77f7422ee589c192669dd962ff51be5143222177,3109,137,29,10,0,119,1902,117,18,1,0,85,142,88,12,0,0,62,103,125,71,6,0,63,2,104,16,3,0,102
f0c656067eafac31d99f38724bf422442848f4e4,6697,286,118,28,2,316,4221,315,80,10,1,213,426,201,23,0,0,183,280,282,162,34,2,307,4,248,102,18,2,242
a557ff1d4d283e8d5aca1be48f94cae919387b68,3289,142,30,6,0,123,2023,156,22,8,0,87,150,117,13,0,0,54,133,115,23,8,0,67,5,106,18,1,0,80
b70c659f88b83374092a4045f34318f5dd929423,3139,138,30,7,0,124,2120,128,22,1,0,78,126,91,10,1,0,62,139,126,47,5,0,58,2,132,20,1,0,68
2599ebe7d0008d8f342204e32f2ee05ea5b90fe4,3137,154,37,4,0,135,1895,119,19,5,0,72,85,87,9,0,0,50,169,111,55,4,0,84,2,110,22,1,0,101
c92a666d9f981cae52575957109dac5eb3e253b7,3169,161,28,2,0,105,2020,148,14,2,0,90,99,87,9,1,0,55,94,116,34,5,0,66,5,104,20,0,0,70
5882ac1c31f0a6d4a06767bafb5c46f674efedd7,3229,162,40,2,0,101,1905,112,22,2,0,76,121,81,10,0,0,54,112,106,29,5,0,58,3,110,22,0,0,88
e3a783d2d9f5c3d63d81647e0dcfb88ba610f3f9,6234,256,100,25,1,292,3879,240,69,20,0,209,390,221,22,1,0,184,220,245,129,32,1,269,12,244,113,29,1,216
d91858ca9e210f4cbe64f14e26af54aa03bfa389,3079,128,27,8,1,109,1993,131,17,2,0,95,153,91,11,0,0,57,116,116,44,5,1,53,3,124,23,1,0,81
83947c19ed11be929cd4349c6747df4c9e970b81,5295,169,70,14,1,219,3192,174,54,11,0,202,356,115,21,0,0,145,319,193,128,20,0,196,7,173,113,23,1,204
abd274913677669318771323b501609c506d52fd,3105,124,30,6,1,121,1934,129,15,1,0,75,53,84,9,0,0,48,135,118,34,6,0,66,3,99,17,0,0,64
568df5e6db9766c6f9a6dcd490984a55e6f0097e,2952,129,25,5,0,101,1977,120,16,1,0,71,53,82,9,0,0,48,121,107,32,7,1,56,2,122,22,1,0,71
eb16c9b7c53f4c7d5700805734a447e08588f344,5933,244,99,24,0,301,3575,250,60,16,0,202,370,172,16,0,0,149,206,248,145,30,0,231,5,208,96,24,3,215
03c874f477518dd16a142f4e38578fcd8a9219e7,5724,210,95,22,0,249,3586,223,90,18,0,181,353,164,21,0,0,158,343,218,120,21,4,242,13,261,178,44,6,342
afbdc413d3bd59b3464c894610a6177a0e3a6610,5179,197,81,26,0,222,3373,203,58,7,1,179,212,114,18,0,0,122,149,179,96,28,2,167,11,186,93,27,0,199
61a7495ad100167dca5b83c5a82ea3b26bb877da,5831,263,95,25,0,234,3470,233,74,17,0,189,358,179,22,0,0,145,265,222,110,26,0,202,7,253,105,20,3,180
3f9ac491a4409a3d9de032ad58d413a831676b49,5881,228,85,16,0,242,3818,229,83,15,1,234,364,162,19,0,0,148,211,224,178,27,1,201,10,205,134,41,3,266
550a96e139805eb22ce178c957d78919a0f10148,6244,238,123,37,1,307,3789,298,82,19,0,204,455,228,20,0,0,157,171,246,121,31,1,211,11,282,141,41,1,278
3441305fcab3e1fce7ddb628b88b3d39c68a3dcc,3488,180,53,16,1,113,2254,196,45,4,1,97,149,112,10,0,0,62,289,154,51,11,0,96,3,162,45,7,0,82
14a4ec54e04a709b9fbe2cd82f5385ff76b34ded,2827,126,46,7,1,92,1959,120,43,5,0,94,150,89,11,0,0,61,257,104,77,10,1,71,2,115,27,2,0,66
0d9726ed0b718db4252278f307d8d7bcb7711d63,3458,193,71,12,0,133,2190,180,66,8,0,95,165,114,10,0,0,61,236,163,60,10,1,67,5,164,38,8,0,99
4733f94d757e92df3aada583deaad2905652d10f,5729,221,91,25,0,283,3732,239,82,19,0,217,303,145,20,0,0,148,196,212,156,26,1,206,14,256,104,24,0,239
c6fd69528af76d31eac796c5d93ae7427df77124,3171,142,31,5,1,118,1993,129,21,4,0,82,96,83,11,0,0,57,97,115,33,6,0,59,2,99,18,1,0,109
da222f9df4ab35510582531461430df1a15dbcf8,5101,183,81,28,1,211,3462,181,63,21,1,209,350,115,22,1,0,136,195,214,96,32,1,191,10,163,85,21,0,233
8f0ee53200c4ff0898a4a16383d561c7d9915c3f,5089,187,79,21,0,242,3207,177,66,19,0,222,330,122,23,1,0,136,297,196,182,23,1,202,14,188,104,27,0,245
