sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIA instr,classCIA project,classCIA monitoring,classCIA lock,classCIA violation,classCIA other
a2b382da0a7424c9861da2750b40f332543314eb,5392,195,112,24,1,160,5578,196,121,33,0,108,5460,204,98,41,1,121,5870,205,98,38,0,118,11,293,137,38,0,152
5985fb7361c4b21cf789a9f5d89276afaa49674a,5436,180,87,24,0,116,0,0,0,0,0,0,0,0,0,0,0,0,451,181,102,45,0,58,0,0,0,0,0,0
10777466f2c5ea11e738f55430a70c911ce6c4cb,5417,188,96,26,0,150,3074,168,114,28,0,86,308,92,10,1,0,37,509,214,134,41,1,80,2,182,17,3,0,64
4926c32d147a7ace1b1729cffb3f106783b2e921,5782,215,123,26,0,167,3187,199,107,28,0,94,366,183,29,2,0,49,477,233,124,34,0,79,0,197,22,4,1,34
236ec5483c17b297a683493c74e55dcacbb6984f,5377,174,96,20,0,120,3157,182,105,28,0,91,177,194,31,0,0,55,506,275,108,42,0,82,3,222,29,3,0,41
9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,5398,190,78,29,1,127,3295,188,107,29,0,145,359,161,11,2,0,64,496,198,135,35,0,60,2,179,8,1,0,79
42e821c9948d2759c066fa35ab59ebf7a42ce70d,5447,198,88,21,1,110,3121,174,94,36,0,79,292,144,10,2,0,48,525,245,103,47,0,60,3,163,24,5,0,32
dbece6b01144f7ec8ba4365895666ad0dbf7f53d,5486,190,91,22,1,148,3204,170,105,24,1,93,341,206,9,0,0,50,508,206,110,38,0,65,3,124,12,3,0,36
922ccf0ce7597ce419fe208e67078b4ed7a0d047,5402,176,95,17,0,148,3328,192,126,25,0,91,312,103,11,1,0,59,677,202,87,25,0,78,3,153,25,7,0,79
34ce5b5f35adfbcbb5973de648987530cc9e7057,5568,194,85,39,1,120,3340,192,109,20,0,144,336,102,10,1,0,31,592,268,108,41,0,82,2,183,19,4,0,38
