sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
a02f1ada716e9b601d0223922d7e594073a2806c,240,0,0,0,0,24,351,0,0,0,0,31,247,0,0,0,0,25,208,1,0,0,0,19,0,1,0,0,0,7
6134f3867e9ee8cd55de8a4774a7a88324dd64e5,8124,314,45,13,0,151,8366,376,45,9,0,133,8356,335,39,11,1,141,8505,323,40,10,1,124,4,284,39,6,0,92
7baa9558512be83501a7a55cc28d479f55fe5ee3,8141,316,43,10,2,147,8197,293,47,16,0,159,8330,370,38,8,0,151,8462,370,41,20,0,144,7,241,41,7,0,67
cb55d5257375727c2504152609abf52e815dff07,8175,339,42,11,0,130,3944,313,33,11,0,130,161,222,9,1,0,63,8178,350,38,7,0,168,3,346,48,24,0,137
ce6fcf061ac67083c372a9de00b6f2d9c547d716,8894,405,57,2,0,161,8713,328,52,11,0,146,8462,333,43,15,0,138,8384,335,39,12,0,114,4,268,38,7,1,81
06a32ee38abd15691f802949c797e428c8b9f07b,8863,390,102,18,0,186,9622,446,92,27,0,178,8958,400,66,25,0,186,8764,420,100,38,0,174,8,352,93,29,3,118
2f3ff1431ce1fb76d196d902a5475233b4a40fef,9233,474,86,31,1,185,4588,388,57,17,0,137,211,277,6,1,0,56,8799,408,69,22,0,185,11,339,96,31,0,138
4b279a4f9b5f6719ef1d99014d6967eb460488e5,9438,485,99,37,0,197,0,0,0,0,0,0,0,0,0,0,0,0,8746,433,92,33,0,156,0,0,0,0,0,0
e31ec7a8acded7cc6ed731a391ddaf86d13329da,9032,406,83,26,0,203,4881,397,88,20,0,115,216,388,9,0,0,84,8804,384,90,24,0,170,7,380,103,27,0,110
6a3723db00bc61b67e48e38180a7e8c483c36e78,9216,399,98,19,0,211,0,0,0,0,0,0,0,0,0,0,0,0,8854,377,78,22,0,163,0,0,0,0,0,0
53667945a46b21043ee0081cb4e79cad55a8a1cc,8920,409,70,30,2,177,4766,469,124,48,1,138,274,290,11,0,0,91,8662,478,116,47,2,187,7,431,96,25,0,112
7d68643eb689d405218fb0b16245742e54f845ac,9139,466,95,35,0,146,4679,380,70,20,1,127,313,310,5,1,0,121,8857,428,61,21,1,153,6,347,92,54,1,114
5c59d54443ad209047a7a9b03d1dadc614b3e86c,9370,387,84,23,0,183,626,337,33,5,0,72,70,281,14,0,0,50,8956,390,72,31,0,141,10,303,76,24,0,106
511004a7d4b7bc94830bca223baf6c040f0c0ebf,8765,400,87,16,0,163,4808,400,72,38,0,172,323,330,11,0,0,98,8951,415,78,24,0,148,8,386,79,29,0,94
fe32984f0a4f8d859937281b380d84dc58bdd9e7,9155,398,93,31,0,143,4835,436,87,38,0,185,315,339,8,0,0,122,8922,435,102,19,0,167,12,400,120,42,0,134
802d8ad132617255852663e82e142666d46bfdbe,9007,441,89,46,1,215,0,0,0,0,0,0,0,0,0,0,0,0,9214,418,83,24,0,165,10,419,107,60,1,131
12dfa2f5e391134af41933386e47787b0c1235c0,8970,460,120,71,0,129,9688,441,115,71,0,219,8843,461,104,79,0,146,8947,454,117,71,1,159,13,415,128,89,1,110
9a692e1f226b30058ba4a190d8b51bc90c2e5540,9323,488,137,105,0,223,4716,542,164,86,0,129,290,302,8,1,0,70,9414,457,109,70,1,212,6,412,122,107,0,119
6522cb0651600764b3148ad7cf00a87547710049,9893,558,153,131,0,236,9211,402,114,92,0,220,9242,477,127,85,1,227,9155,446,104,105,0,222,13,364,121,26,0,192
4bacdbf3254784b0148e2fd63bfb8655b609af04,9071,440,102,101,0,211,4779,406,91,59,0,129,256,393,9,0,0,79,9196,460,122,71,0,246,11,432,112,55,1,133
7319f9da0214261e63f0143386f69da123b75907,9379,465,115,96,0,232,4680,426,125,54,0,141,272,335,7,1,0,140,9055,416,120,85,1,192,8,400,121,44,0,139
be3165964a9991830da989154a468ef6881305aa,9162,441,97,94,0,212,4776,456,104,52,0,138,285,334,8,0,0,60,9093,413,140,100,0,208,14,433,118,40,1,124
1dbab50810188f63979fb01b6891efa36b99bbfd,9515,460,124,104,0,161,9283,476,108,82,2,224,9059,380,108,97,1,211,8971,442,102,97,0,215,6,401,103,33,0,145
fcb41fc3ff39e638e604a69359693b2995a44109,9214,420,101,103,2,193,9368,453,114,107,0,245,9049,416,106,94,0,205,9074,513,147,141,0,206,8,346,95,48,0,114
82282b9b7694f1a726024641bc2d85952ddab447,11265,502,119,75,0,242,11218,522,117,33,1,239,11418,565,131,54,2,263,10878,523,108,37,2,239,11,464,129,48,1,149
