sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,classCIAThreads instr,classCIAThreads project,classCIAThreads monitoring,classCIAThreads lock,classCIAThreads violation,classCIAThreads other
e62c4357c30998c53e58f57bf96af6d4161fefae,5829,627,94,246,0,174,5995,680,88,251,0,210,5960,615,98,251,0,195,6195,632,107,253,0,194,6,570,121,232,0,220
84889ddc96596abc9722bd7e49918ad183ab5264,6167,615,92,249,2,167,3575,621,86,251,0,152,162,534,8,207,0,95,419,567,87,254,0,145,9,599,88,224,1,192
acf94238558df6351df7518d6770eee3c9eb74b3,5892,597,77,254,0,203,0,0,0,0,0,0,0,0,0,0,0,0,261,544,77,232,1,156,3,576,57,226,0,129
eadcc34b295d1c8e7a7b71747927cc84d5cfff04,5980,623,75,254,1,200,3724,630,83,241,0,176,484,599,21,210,0,114,353,623,80,247,0,124,5,621,67,227,0,228
2a3d527692b84600b402e8374e2828178e6b6074,6001,646,103,230,0,200,3638,631,112,247,0,157,377,557,18,213,1,103,294,620,102,241,0,146,7,610,77,241,0,161
e468fd406d5fe199b7a81bfea710d8dd06544384,5958,584,96,256,0,191,3668,660,96,244,1,185,373,574,16,207,0,91,213,593,86,243,0,149,9,625,87,237,0,180
28300ba17102a82578b5a43de1bda75d998ff053,6244,631,118,277,0,212,3621,606,82,242,0,163,429,575,18,211,1,150,334,570,85,241,2,140,13,729,96,244,0,161
48911d8ad6e94637db88f49328d935b1098e30c9,5689,629,84,244,0,169,3871,644,88,239,0,152,416,597,21,209,0,118,256,556,103,245,0,146,6,640,90,241,1,85
868b4ef3b4374f696731d4cdfd5b696de021ca45,5883,614,74,244,1,177,3445,607,85,239,0,169,469,570,21,213,1,130,300,582,84,248,0,200,2,632,81,236,0,138
c5c311adc95449c472eb37c77e4a17e044fb51e7,5817,604,86,256,0,167,3521,598,88,234,0,185,387,560,20,205,0,98,448,567,96,243,0,164,7,656,85,232,1,123
6fee973deae4da8ceb40d64a6de88d9fd331acb6,5976,652,111,262,0,217,3482,574,101,246,0,129,465,570,15,206,1,166,316,579,85,238,0,216,9,687,110,240,0,165
280e3326ca30746a4db66ccde2a7073da3142a07,5848,603,86,245,0,184,3511,597,72,232,0,182,370,539,20,210,0,92,383,603,91,219,0,168,4,564,45,213,0,197
a574b245044e988a2a2324af67987a239b98756f,6013,634,75,240,0,194,3580,611,86,237,1,159,462,582,25,209,1,124,326,645,96,243,0,176,5,667,86,235,0,145
330acc5081e9f7451c95e40df86992151474c08a,6074,678,86,240,0,175,3873,633,102,245,0,192,393,560,19,211,0,118,388,588,109,259,0,127,7,603,74,230,0,137
b29b2f1c38f2d00e91cd5c676e65d6ec1e4ce576,6169,621,106,253,0,184,3437,620,96,252,1,137,203,623,7,203,0,144,293,681,103,252,1,127,6,610,72,224,1,129
e7a0c412b94c97ff49e4cfac539c243f46821f11,6053,632,79,246,0,175,3558,614,88,237,0,186,507,575,17,208,0,139,856,620,106,247,3,144,5,647,83,239,0,110
