sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCacheShared instr,mopCacheShared project,mopCacheShared monitoring,mopCacheShared lock,mopCacheShared violation,mopCacheShared other,jarThreads instr,jarThreads project,jarThreads monitoring,jarThreads lock,jarThreads violation,jarThreads other
3d5338b8680e57904440d860200d31f6a7579541,7531,548,259,103,1,246,7374,464,287,94,0,326,7218,509,235,95,0,203,7421,607,281,165,0,308,34,550,265,107,0,185
2fffa3091f578379e87509ef32ff637e0f518897,7301,571,300,153,0,287,3498,527,279,89,0,244,97,410,18,1,0,55,7286,583,264,119,0,276,15,571,335,118,1,204
43370ad7a73a3b18872bb54de624e0202b6bcf1f,7715,507,235,110,0,271,24,449,0,1,0,50,34,566,0,0,0,51,6915,512,262,113,0,268,24,626,320,133,1,221
869173dc53dffc6d7de53a317f9bc842ed1f6f9f,7293,521,225,86,1,221,4320,559,288,101,0,221,574,371,10,3,0,59,7330,542,270,104,0,282,21,621,303,121,0,175
e2ebcf830d9622149689e73ba0da250e78edd136,7322,505,294,136,0,257,0,0,0,0,0,0,0,0,0,0,0,0,7065,511,288,106,0,307,0,0,0,0,0,0
3aa3e0a4c256249334a815e48d3d1ebf0efd0324,7333,533,257,111,0,284,0,0,0,0,0,0,0,0,0,0,0,0,7524,564,293,126,0,297,13,584,303,135,0,159
e85d61d62521644dbbf1cada0566af35f8c49607,7284,545,270,123,0,227,4171,496,287,88,0,259,835,475,17,2,0,72,7111,552,247,106,1,239,29,649,323,166,1,241
8ad9ece9f00cc4c1bfc86109b3dd5e0ee0cae90a,7201,582,276,136,0,303,4298,541,349,128,0,223,857,522,15,5,0,60,7170,547,251,102,0,265,23,543,287,138,0,210
7f2e97908ca753dc87d0d78342aab9a6dd152cc0,7393,513,288,119,0,264,4588,562,304,101,0,282,854,425,12,3,0,60,7126,509,275,86,0,248,31,544,292,119,0,168
e8b90de90c99106d76a8394d02317cf0a2e4c81d,7253,530,315,103,0,261,4194,499,259,100,0,225,933,420,18,6,0,78,7191,540,290,80,0,300,22,585,307,136,0,212
a2e04d538060d598565c1c781b7c1e14751afd17,7861,581,378,152,0,273,4152,565,349,119,0,286,480,528,8,5,0,66,7327,586,333,149,0,287,46,774,451,233,1,231
482e8a4e8aa90acb951aa49e86e4f89ccb6039a1,7402,558,333,133,0,288,4315,513,316,138,0,263,938,619,18,4,0,82,7407,585,316,140,0,265,34,559,369,144,0,187
c1f62baf6fa13014982e8098fc3a22ffb592892d,7850,588,357,133,0,349,4145,562,353,123,1,258,763,471,12,3,0,71,7182,566,386,133,0,272,21,601,349,141,1,222
32dbd8cadd41bf46dc0f8a02bf2b9b83fe0c898c,7625,571,330,151,0,291,4049,562,351,152,0,259,443,440,8,0,0,61,7307,550,307,148,0,308,31,748,434,151,0,282
f7e94f3b3a16d3f515c5e8f52f1c4552e2205701,7445,571,397,160,0,319,0,0,0,0,0,0,0,0,0,0,0,0,7372,571,341,136,0,261,0,0,0,0,0,0
c3432ac486ed955dbfcf6d277fd15c4af8b738d0,7467,541,344,156,0,249,4082,558,390,116,0,254,456,430,12,2,0,64,7463,582,332,109,0,338,24,567,354,132,1,154
62163ccf9a569a99aa3ad9f9151a32567447a62e,7625,603,334,115,0,325,3585,519,351,125,0,218,221,500,15,3,0,45,7658,519,321,138,0,360,23,608,397,102,0,231
4c6e17d2354cb680b2dd773b969421e1a95fbf36,7515,591,351,143,0,266,2359,491,245,113,0,212,249,409,6,2,0,50,7347,533,315,98,0,260,20,517,372,136,1,201
a64b16658cadfee7a83f7809108e84eb06ad76c4,7522,555,329,118,0,302,3988,536,351,153,0,348,335,401,7,3,0,49,7498,606,376,141,0,320,23,541,321,120,1,174
89f6e7522da0bde5b982eacb2bed67df2e348928,7475,509,332,141,0,343,4052,580,371,126,0,237,361,460,9,2,0,58,7545,568,371,148,0,333,21,518,333,123,0,177
1a6738d8f050507d62c77141bda234d003c35e4b,7423,544,363,117,1,339,4124,557,333,135,0,262,468,550,6,4,0,99,7212,551,338,96,0,337,32,551,393,126,0,249
7be6325153b3f09e3f8e2a19a2de8ba82e7f8a7a,7448,510,323,118,0,276,4636,617,340,127,2,267,866,444,13,6,0,61,7482,540,321,120,0,257,26,625,449,152,0,213
bf44eea7215db52b151dc2d907b8c5f6078b230b,7510,558,344,113,0,340,4302,577,379,138,0,336,530,437,13,3,0,53,7548,560,380,129,1,330,24,637,402,134,0,309
f29b89e391d8a7bfe1f6d84f102977a3652ab0b6,7523,561,339,150,0,261,7369,534,358,99,1,332,7557,601,413,186,0,367,7208,544,340,82,0,263,20,616,412,154,0,268
a7923c144db68f377965c8f1cf3aa402f79a3a33,7242,505,314,86,0,244,4044,563,349,129,0,261,370,377,8,5,0,54,7285,560,358,102,2,266,21,520,325,103,1,232
b69ec5beec33ad39b9e3ddab897aeca8d815cfb5,9262,622,369,108,0,399,9592,578,393,113,0,282,9372,606,408,170,0,321,9172,694,381,156,1,322,31,633,411,122,0,279
486a17ba40a116cb1764ab38aeb4c55de9b7dad4,9704,630,343,114,1,319,0,0,0,0,0,0,0,0,0,0,0,0,9526,636,405,152,0,419,25,696,410,148,1,322
1df20b4246e5dfba4d5c215cf8143cab384c4882,9532,641,387,101,0,321,5500,557,378,86,0,255,596,507,12,2,0,108,10101,674,402,127,1,340,25,696,410,146,0,226
020b95c6cd345ddf8002d64a615ef6d65dd10029,9567,640,432,123,0,422,5509,517,376,110,0,288,459,454,9,4,0,111,9779,636,400,110,1,344,17,556,393,129,0,300
ff251d7c2b8d96733574ec62d8622bf9907913b1,9625,607,386,130,0,286,5613,600,389,109,0,260,395,446,10,1,0,100,9430,624,365,89,0,427,28,595,368,110,0,288
477a4baa1a3a12c47e981d33f8ca31c8f9aefc1b,9344,579,366,110,0,328,5466,578,408,122,0,278,493,621,8,5,0,100,9278,621,392,111,1,282,22,540,390,130,0,346
9601ff0aaf6adb2d36e0a056f786dcdba021bc8c,9642,633,392,139,1,376,0,0,0,0,0,0,0,0,0,0,0,0,9368,620,355,100,1,301,0,0,0,0,0,0
8189f3f824beb0318167061b6df15809132e4274,9245,603,358,112,0,317,9360,637,440,154,0,319,9514,666,411,142,2,490,9696,622,379,96,1,308,29,577,439,139,0,333
0c6c3086d3ea557c2999dda22d3c33519b58176c,10070,611,421,152,1,404,9689,551,366,123,0,337,9405,593,381,123,0,339,9719,649,410,146,0,392,27,773,417,136,0,263
65bc02c27985e7ab70e3f5f73743ae386ff166ba,9687,652,388,112,1,422,5892,601,411,130,1,358,688,538,17,2,0,143,9639,631,393,131,1,334,19,597,382,119,1,232
26ac3c14208cc5a9abf957ac8974d0667598c013,9761,636,392,118,0,383,5291,586,363,114,1,274,784,597,19,5,0,137,9373,616,374,126,0,316,25,700,431,135,0,265
36dcdb43efc89c6aee1b81f10212751881edf73c,9674,669,404,153,0,281,5427,567,376,131,0,270,752,549,33,2,0,149,9711,634,357,128,0,329,36,608,423,117,2,308
2b15da7ed9033c39c1a0296e53a22a53158edb0c,9700,669,420,114,1,430,0,0,0,0,0,0,0,0,0,0,0,0,9620,613,388,93,1,462,0,0,0,0,0,0
e694a7e87d99dc4be55d01810f5e2184ea7452c1,9651,740,487,160,0,424,5511,612,378,106,0,327,802,634,11,5,0,142,9708,766,407,154,0,393,29,722,456,133,1,285
22f5e53a1eb5bda27a716f23a965b5e0653ebda9,9400,658,378,111,0,307,5743,637,441,165,1,328,724,565,19,1,0,144,9722,613,391,139,0,312,21,689,410,144,0,254
b80e62b0b55d75baf41e27c3434304071b371758,9427,622,390,135,0,381,0,0,0,0,0,0,0,0,0,0,0,0,9748,686,409,112,0,284,17,692,474,172,0,304
96971cc28a978b2673d12b7ed334d6b402aa1bc5,9813,698,423,183,1,354,6292,669,413,168,0,326,743,627,17,2,0,136,9480,607,356,105,0,307,18,672,409,174,0,307
a50e85eecdd2de438736a9d8e3b1d803bf5101a0,9517,621,361,143,0,376,5575,605,363,116,0,425,707,540,15,4,0,147,9806,628,370,107,0,409,26,738,461,156,0,302
68f68ca5a3d152b545cceb29b69ed31d240940e1,9404,648,347,111,0,350,5982,564,391,111,0,287,751,522,11,6,0,129,9265,606,361,126,0,406,31,653,427,120,0,273
1f681f99276481daf8de7dfe92d0e0136c273e7a,9338,579,384,109,0,437,5416,554,356,117,0,274,343,615,34,2,0,139,9230,600,348,112,0,288,18,639,419,133,0,259
b440a3736c91b0db7a049a658497421d81d3dafd,9836,663,423,145,0,406,5537,555,416,101,0,378,928,468,19,6,0,124,9295,620,380,121,0,270,15,632,425,155,1,297
e7dddfe060ece499438cf3225a62a55829044ff4,9813,641,382,148,0,391,9647,590,391,102,0,346,9442,558,369,113,0,417,9502,647,384,117,1,402,22,622,371,130,0,343
1a42780eada478a68e5f893cec8e47e03a49d66b,9819,672,353,137,0,329,5954,608,392,127,0,273,961,450,18,3,0,98,9755,751,443,128,0,440,36,678,458,163,0,336
6684bdfde99e73812b16caed255b0c816b4c7e48,9298,606,381,106,0,406,5872,600,410,135,0,389,1059,489,17,7,0,123,9728,623,379,116,0,318,27,649,375,130,2,309
3c4b1683465971aec08eb5e3f129f18f6fa0d36a,9211,601,361,101,0,471,5718,632,441,143,0,369,994,645,15,7,0,158,9575,651,366,142,0,431,28,699,482,166,1,267
