sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
0b6b6a2ed3e4710a76a55aeac6e41a72b9ebeab1,5055,2718,13,25,0,159,5025,2725,23,11,0,108,5101,2776,14,16,0,120,5393,2674,24,24,0,141,5,1138,27,9,1,86
a6b4031f9a574b9f7322194ec45cc6cc845a2da4,5024,2682,21,24,0,175,3233,2010,12,9,0,96,96,1026,6,2,0,59,139,1105,21,11,0,70,3,1120,21,8,0,67
8d47d7d846e55d1eba6fbcb286909bb9e6c2b23c,5248,2610,22,26,0,151,3052,3871,23,7,0,106,52,983,7,3,0,45,120,1233,34,6,0,92,4,1026,17,10,0,89
1c88a25efbdb7f9294b6f5e386debcfb51ade230,5257,2782,15,14,0,115,5048,2708,27,21,0,160,5223,2790,20,25,0,125,2208,1426,16,3,0,102,9,1077,23,7,1,81
a5430d96dd7af6eff5cfb0ae5fbab5e404f49038,4860,2574,20,34,0,101,0,0,0,0,0,0,0,0,0,0,0,0,1640,1483,16,5,0,110,8,1197,22,11,0,81
979cbe8b2127495e5fd326ee05523924ac2f7ec6,4952,2636,24,25,0,110,2895,2045,13,7,1,125,92,1824,7,0,0,43,134,1142,24,10,0,81,5,1242,24,9,0,53
7159161974f3d2211a3185dd345976771bb6ef14,3433,4441,16,10,0,114,2707,3322,24,18,0,126,140,1148,8,0,0,57,214,1110,15,6,0,93,8,1132,20,9,0,96
bedb1d76063d1cd23be216e238e3e850e896440b,3327,5725,22,12,0,120,2470,4239,15,9,0,137,164,1166,24,1,0,69,224,1339,22,8,1,104,7,1308,21,7,1,120
0200591e68d89d1a1bcfe7f6f8145a43fb129542,3529,5731,22,25,0,136,2635,4042,38,13,0,130,99,1154,7,1,0,54,131,1461,26,17,0,90,5,1357,24,14,0,93
a4142b9d31841aea41cb8d3560f6b4ba8e9ce9dc,3643,5595,13,17,2,165,3588,5767,12,27,0,103,3531,6037,20,26,0,134,736,2904,36,7,1,139,9,1320,18,6,0,74
b5b316dd947356a40b4dc433dc9bf0cbc7f20fbc,3480,5994,21,24,0,151,2763,4335,16,10,0,136,101,1191,7,2,0,53,78,1477,18,9,0,110,7,1194,27,7,0,85
2f1033a0588c4f1b3cb69c2f4c66f3d02d4f1a4c,3627,5716,16,32,0,118,3862,5756,21,12,0,154,3513,5785,17,30,0,138,163,1342,19,8,1,92,4,1308,21,8,0,103
f1ab912108eec627afd45ac6ba4b3d34f9531aaa,5114,2943,20,23,0,123,3815,2189,17,12,0,134,113,1029,7,2,0,63,144,1268,20,11,0,67,11,1371,40,13,1,94
e680e98b2c0fa4f281c4889264781271f4342285,5519,2749,14,14,0,124,3871,2281,12,17,0,114,126,1134,7,2,0,57,83,1261,30,11,0,73,5,1336,32,12,0,101
ab71efabaf1f1c4ddc955e813eec46a06bfe3c06,5327,2638,19,14,0,142,3884,2411,16,12,0,119,91,1147,6,0,0,45,137,1239,32,9,0,71,9,1297,43,14,0,123
29bf145d1a62492ad57ea698b97cbf7516b053d4,5251,2974,13,13,0,161,4085,2242,30,19,0,124,100,1178,6,1,0,82,95,1307,25,8,1,70,5,1300,34,7,0,101
c9258a07e0870398719537a0dcd4899cf6059528,5772,2769,24,19,0,140,5858,2984,19,20,0,164,5627,2634,20,26,0,162,2462,1598,21,7,0,130,4,1199,22,12,1,91
8b03a3fc2899f03f1fd5a38af67ee2a3a6105c8b,5741,3117,26,17,1,156,4068,2448,23,13,0,118,141,1109,6,2,0,63,105,1278,40,7,1,59,6,1338,18,11,3,109
cb065e0459e8a2f96af5fc75d3a40e48cd4179fb,5676,2653,22,28,0,152,3875,1995,14,12,0,99,42,939,7,3,0,59,141,1150,26,9,0,73,7,1035,32,6,0,119
58933f01abcb1c913abb4dadda7a50cebcfa86c8,5640,2741,29,24,0,147,4295,2211,25,18,0,118,149,955,8,1,0,81,138,1116,15,11,0,66,9,1177,28,14,1,120
c44ca0051c4fd27117e54174b0d0f07cbc0aecc0,5568,2622,16,23,0,170,4055,2279,17,13,1,123,149,963,17,2,0,51,223,1192,38,7,0,74,7,1033,40,16,0,76
326352782b0ef56a31dcef08377a2cf34f5018b3,5766,4666,23,30,0,172,5914,2740,22,28,0,163,5621,2747,23,22,1,151,188,1038,25,13,2,94,8,1094,37,22,0,104
776c5e5f8415984c2d8400ee2f9738ebd7d5b37d,5717,2593,27,19,0,145,4167,2126,15,16,0,147,182,956,9,2,0,78,114,1077,28,4,1,84,4,1097,29,16,1,105
9ac7d6eb99b85782fb585ca2200b89b34dddcc6f,5782,2863,18,17,2,166,5994,2635,20,20,0,123,5511,2455,24,12,1,130,160,1051,26,11,0,70,2,1089,27,11,0,89
48914cf0436b93951720ff350f22bff06a849089,5686,2834,19,18,0,142,4143,2943,21,12,0,83,155,943,14,3,0,70,156,1227,41,14,0,101,5,1156,52,18,3,114
105eb88c47d0efd8800421c28f465c080ac5e48e,5858,2764,24,18,1,148,4167,2133,30,17,1,104,109,866,8,3,0,64,78,1155,21,11,0,105,8,1035,17,10,1,89
9e4bcf83d9cef09395c3e0145bd763a67c9aa53e,5918,2956,28,20,0,142,4198,2317,49,18,1,128,209,1488,26,5,0,52,166,1719,44,18,0,67,3,2426,93,7,0,79
5db96d20fb0eabace8fe3d5b68bbfc96538b808b,5813,2836,31,29,0,149,5948,2938,37,28,1,164,5905,3059,31,30,2,140,2623,2037,124,19,1,191,7,2216,71,11,1,83
6f4a66bc05a72fe101b2d4a953175d017f70d117,5814,2754,35,29,1,125,4273,2577,23,12,0,142,92,1544,26,3,0,59,128,1666,88,23,1,91,9,1612,83,19,1,95
