sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,cleanByteCodeThreads instr,cleanByteCodeThreads project,cleanByteCodeThreads monitoring,cleanByteCodeThreads lock,cleanByteCodeThreads violation,cleanByteCodeThreads other
9435e5252e70babd05539c857f0fce17c9c7cb3d,6690,866,87,76,1,128,7086,893,112,75,0,141,6811,808,92,76,1,109,6984,840,93,55,0,124,9,864,97,72,1,59
f2d1889c11e6abc68d1518ddca8c6870ae47e300,6868,825,103,73,1,122,5127,878,86,62,1,150,462,793,10,5,0,61,108,859,93,90,1,69,22,1119,108,77,2,76
e2a67fc8b3e1568e60a01da44a4f551cf0f399b8,6710,837,95,81,0,135,5232,845,85,65,0,155,538,791,14,7,0,67,103,860,94,89,1,61,8,858,98,86,0,52
554a524af2d2b30d09505516adc412468a84d8fa,7087,842,92,65,1,114,7173,868,108,60,1,125,6840,887,91,75,0,142,2612,897,121,66,2,140,7,824,102,81,0,74
3a144732ddd24e4b1fac3e3d9cbd0370314e48d6,6945,866,109,76,0,131,5175,848,99,64,0,114,420,823,12,6,0,78,93,857,111,89,2,68,5,875,100,60,0,50
bf1b3b3f9ccf965b8a5dd5f38e63274dfef5378a,7521,846,116,61,1,127,7519,908,114,76,0,119,7370,875,101,62,1,131,2600,896,115,87,0,103,10,970,128,65,0,104
873df3755f00cb12119a8646fa0a1ce0cf431c8c,7095,880,102,78,1,159,7178,890,86,81,0,148,6926,838,90,94,1,124,144,933,93,86,0,65,13,829,99,92,0,69
e83fe79a4083496dcbf87e29645e4dbe578957f0,6995,869,115,96,0,145,5433,883,90,55,0,96,409,806,16,5,0,53,171,937,109,100,1,73,6,783,96,79,1,52
322c261bbb6fd36162716abc3474e44f03c9a796,7022,869,102,70,1,125,5275,841,112,62,0,141,517,881,17,9,0,62,114,827,128,76,0,73,8,820,82,81,0,84
6e0d8beb6fe1b3242ab1904065d8bd29d7da2e00,6898,842,121,98,3,119,3998,792,70,63,0,133,57,823,17,1,0,50,126,882,122,110,0,66,6,847,100,89,0,84
